No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]","Hit Spin [rpm]",Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
1,2020/01/22,13:01:41,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,,,,,,,,,,36.779,0.858,-2.542,1861.00,201.197,12:45,1.332,-0.519,1.305,-0.584,0.520,0.114,0.999,0.109,32.609,-3.398,-1.708,0.482,,,,,,,,,,,,-0.082,0.278,-0.436,15.240,1.353,1.560,-36.287,0.284,-1.370,8.712,-5.150,"Coe College","Coe College",,,,,{8FA32C80-5C7C-433C-89A5-CF5768732868},0.109,0.999
2,2020/01/22,13:02:38,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,,,,,,,,,,36.737,0.290,-0.564,1594.00,193.672,12:30,1.322,-0.403,2.034,-0.496,0.510,0.111,0.907,-0.357,32.895,-3.478,0.279,0.459,,,,,,,,,,,,-0.067,0.297,-0.392,15.240,1.326,0.325,-36.464,0.035,-1.136,8.493,-4.750,"Coe College","Coe College",,,,,{C50781F2-9A21-42BD-8369-681AC6B6B240},-0.357,0.907
3,2020/01/22,13:02:52,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,,,,,,,,,,36.794,0.572,-2.095,1064.00,196.207,12:30,1.324,-0.447,1.797,-0.523,0.512,0.086,0.962,0.060,32.967,-3.340,-1.455,0.465,,,,,,,,,,,,-0.064,0.287,-0.396,15.240,1.334,1.303,-36.450,0.179,-1.094,8.310,-4.917,"Coe College","Coe College",,,,,{B2492881-0008-492E-B206-40447EF1C08E},0.060,0.962
4,2020/01/22,13:03:18,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,,,,,,,,,,38.333,-1.461,-1.425,1791.00,189.816,12:15,1.350,-0.397,1.663,-0.393,0.577,0.066,0.539,-0.057,34.265,-4.378,-0.933,0.451,,,,,,,,,,,,-0.048,0.335,-0.359,15.240,1.307,0.918,-37.938,-1.124,-0.880,9.196,-3.632,"Coe College","Coe College",,,,,{BED7E351-6FFC-44F1-8E36-028EC1F5E856},-0.057,0.539
5,2020/01/22,13:03:37,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,,,,,,,,,,37.241,-1.274,-1.957,1045.00,190.023,12:15,1.348,-0.414,1.589,-0.440,0.598,0.054,0.543,0.093,33.328,-4.519,-1.556,0.466,,,,,,,,,,,,-0.046,0.342,-0.359,15.240,1.308,1.237,-36.837,-0.996,-0.793,8.574,-3.856,"Coe College","Coe College",,,,,{28D25E76-C15D-46EA-AC08-CE9BDB926AAA},0.093,0.543
6,2020/01/22,13:03:58,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,,,,,,,,,,37.773,0.107,-2.199,1870.00,200.139,12:45,1.319,-0.447,1.980,-0.434,0.526,0.133,0.915,0.036,33.800,-3.173,-1.197,0.448,,,,,,,,,,,,-0.093,0.305,-0.401,15.240,1.319,1.396,-37.456,-0.070,-1.661,8.930,-4.330,"Coe College","Coe College",,,,,{159EF2AA-629D-46F9-9149-825670CFC3BE},0.036,0.915
7,2020/01/22,13:04:14,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,,,,,,,,,,38.272,-0.749,-1.393,1699.00,183.719,12:0,1.302,-0.416,1.633,-0.395,0.582,-0.005,0.693,-0.013,34.172,-3.674,-1.427,0.453,,,,,,,,,,,,-0.010,0.331,-0.377,15.240,1.278,0.923,-37.879,-0.654,-0.179,9.203,-3.731,"Coe College","Coe College",,,,,{BEE0B51F-A1AA-45A7-9B9A-E8F82EA652BE},-0.013,0.693
8,2020/01/22,13:04:34,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,,,,,,,,,,37.885,-0.929,-2.828,1766.00,199.766,12:45,1.313,-0.497,1.593,-0.454,0.550,0.122,0.592,0.192,33.518,-4.301,-1.920,0.461,,,,,,,,,,,,-0.092,0.321,-0.419,15.240,1.283,1.800,-37.424,-0.790,-1.626,9.611,-4.122,"Coe College","Coe College",,,,,{CFE17621-C2D0-4312-94BB-5B8A54E44007},0.192,0.592
9,2020/01/22,13:20:22,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,,,,,,,,,,37.001,-0.116,-2.763,2196.00,196.204,12:30,1.338,-0.493,1.675,-0.516,0.525,0.071,0.789,0.224,32.999,-3.953,-2.234,0.468,,,,,,,,,,,,-0.063,0.298,-0.420,15.240,1.331,1.739,-36.598,-0.270,-1.070,8.687,-4.704,"Coe College","Coe College",,,,,{203CDBA1-7CCB-45D5-82DF-A93AE8CAC732},0.224,0.789
10,2020/01/22,13:21:52,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Kyle Alvarado",{287722BA-CBE3-4BDC-82A2-08FF8059A8FA},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Called Strike",,,,,,,37.669,-1.362,-1.149,3183.00,162.035,11:30,1.210,-0.443,1.608,-0.421,0.591,-0.254,0.399,0.140,33.659,-4.471,-3.033,0.461,,,,,,,,,,,,0.125,0.342,-0.409,15.240,1.168,0.849,-37.269,-1.055,2.213,8.985,-3.751,"Coe College","Coe College",,,,,{77AC6F0E-2A0F-4F18-8AC7-4965A5E4DE8E},0.140,0.399
