No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Col28,"Pitch Speed [mph]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [ft]","Pitch Release Side [ft]","Pitch Extension [ft]","Pitch Break (V) [in]","Pitch Break Ind (V) [in]","Pitch Break (H) [in]","Pitch Strike Zone - Height [ft]","Pitch Strike Zone - Offset [ft]","Pitch Zone Speed [mph]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [mph]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [ft]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [in]","pfxz [in]","x0 [ft]","y0 [ft]","z0 [ft]","vx0 [ft/s]","vy0 [ft/s]","vz0 [ft/s]","ax [ft/s²]","ay [ft/s²]","az [ft/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [ft]","pz [ft]"
1,2019/02/02,14:45:39,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,83.554,-2.106,-2.937,2392.00,242.449,2:0,5.584,1.810,7.191,-32.520,6.174,11.834,0.964,0.134,75.616,-8.272,-0.517,0.448,,,,,,,,,,,,-19.749,26.899,-1.702,50.001,5.531,7.646,-120.891,-6.121,-20.540,25.602,-21.897,"Coe College","Coe College",,,,,{AECF8808-5B1C-40C2-8C3E-BE1E2D45592E},-0.300,1.060
2,2019/02/02,14:45:51,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,83.030,0.833,-0.157,2274.00,123.697,10:0,5.048,1.758,6.372,-30.550,9.950,-14.921,3.269,0.371,74.449,-5.075,-2.765,0.458,,,,,,,,,,,,-4.406,14.661,-2.034,50.001,5.045,3.824,-120.014,1.776,-0.963,25.427,-29.613,"Coe College","Coe College",,,,,{02EE64A4-6524-4FDC-B8D2-936FF87EA1C6},-0.511,3.174
3,2019/02/02,14:46:04,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Slider,,Ball,,,,,,,73.094,1.797,-1.250,1250.00,64.868,8:15,4.862,1.777,6.508,-59.357,-8.052,-17.163,1.565,-0.801,66.134,-9.509,-4.089,0.515,,,,,,,,,,,,-0.506,7.827,-1.725,50.001,4.969,3.849,-106.875,2.694,5.026,21.589,-42.695,"Coe College","Coe College",,,,,{4F36EA71-6B4C-4037-9164-254A46711247},0.662,1.453
4,2019/02/02,14:46:15,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,83.390,0.005,0.124,1536.00,142.376,10:45,5.253,1.857,7.271,-24.261,14.417,-11.112,3.236,1.043,74.967,-4.755,-1.927,0.448,,,,,,,,,,,,-3.982,21.033,-2.056,50.001,5.146,2.582,-120.671,-0.035,-2.355,26.621,-21.814,"Coe College","Coe College",,,,,{93AA9A81-D110-4736-B34B-1B48F837D7E0},-1.179,3.211
5,2019/02/02,14:46:27,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",Stretch,,Top,,,,Changeup,,Ball,,,,,,,74.197,1.001,-2.086,1897.00,135.108,10:30,4.957,1.140,6.909,-43.930,5.561,-5.540,2.208,-1.222,66.661,-7.444,-3.062,0.506,,,,,,,,,,,,-13.161,13.353,-1.164,50.001,4.912,6.369,-107.800,2.316,-8.138,20.710,-35.648,"Coe College","Coe College",,,,,{7E81163B-8F03-4AAA-9E0F-CCA16401EC2D},0.928,2.080
6,2019/02/02,14:46:47,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",Stretch,,Top,,,,Curveball,,"Called Strike",,,,,,,70.636,1.573,-1.729,2490.00,175.668,11:45,5.440,2.175,5.865,-37.026,19.765,-1.497,3.817,0.444,63.082,-5.507,-2.049,0.542,,,,,,,,,,,,-0.299,19.696,-1.929,50.001,5.472,2.338,-102.734,3.180,2.972,19.479,-28.418,"Coe College","Coe College",,,,,{FA1816D1-6D34-475F-A236-27829E962172},-0.420,3.601
7,2019/02/02,14:47:00,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",Stretch,,Top,,,,Curveball,,Ball,,,,,,,71.057,1.470,-3.500,2383.00,32.028,7:0,5.029,1.594,6.800,-68.529,-13.778,-8.619,0.662,-2.322,64.007,-11.475,-5.227,0.532,,,,,,,,,,,,-0.639,5.172,-1.361,50.001,5.030,5.799,-103.337,2.506,7.384,22.780,-46.934,"Coe College","Coe College",,,,,{4F769C2C-6C3D-41AE-987A-BC8D6C8E5B23},2.396,0.559
8,2019/02/02,14:47:13,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",Stretch,,Top,,,,Fastball,,Ball,,,,,,,84.400,0.781,-2.552,2410.00,247.615,2:15,4.939,2.158,6.806,-32.925,5.845,14.191,2.908,1.011,75.597,-5.445,0.293,0.448,,,,,,,,,,,,-17.294,14.011,-2.061,50.001,4.931,6.270,-121.820,1.358,-19.058,26.637,-30.712,"Coe College","Coe College",,,,,{B15C6B9B-D650-42F7-A148-A8C8DDF66AB4},-1.100,2.852
9,2019/02/02,14:47:25,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",Stretch,,Top,,,,Changeup,,Ball,,,,,,,73.801,2.601,-0.304,1941.00,100.617,9:15,4.644,1.650,7.171,-48.598,1.049,-5.595,2.953,0.909,66.038,-6.799,-1.045,0.507,,,,,,,,,,,,-4.838,12.670,-1.759,50.001,4.782,2.255,-107.167,4.070,-3.049,21.074,-34.212,"Coe College","Coe College",,,,,{F3AD14D1-0CB9-402E-AFCF-A81C83D2653F},-1.034,2.887
10,2019/02/02,14:47:37,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",Stretch,,Top,,,,Fastball,,Ball,,,,,,,84.838,-1.042,-2.985,2437.00,272.384,3:0,5.240,2.328,7.798,-37.224,-0.683,16.407,1.204,1.021,76.916,-8.190,0.275,0.435,,,,,,,,,,,,-22.084,18.016,-2.203,50.001,5.199,7.673,-123.134,-3.225,-25.623,25.822,-31.035,"Coe College","Coe College",,,,,{8D4F48DD-24E3-4191-A44C-6D5FCCA2D142},-1.212,1.263
