No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
1,2019/11/20,15:12:44,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,36.675,-0.425,-3.253,1797.00,195.886,12:30,1.650,0.491,1.664,-0.596,0.193,0.055,0.500,-0.384,33.509,-7.924,-2.617,0.465,,,,,,,,,,,,-0.039,0.139,-0.364,15.240,1.696,1.880,-36.273,-1.228,-0.682,6.619,-7.413,"Coe College","Coe College",,,,,{953B5174-4B2A-43FB-A028-5AA9B0725A9D},0.373,0.506
2,2019/11/20,15:12:55,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,36.977,-1.267,-1.964,1822.00,216.901,1:15,1.904,0.392,1.811,-0.353,0.417,0.313,0.860,-0.008,33.690,-6.382,-0.830,0.458,,,,,,,,,,,,-0.226,0.301,-0.417,15.240,1.910,1.803,-36.555,-1.526,-3.990,6.395,-4.496,"Coe College","Coe College",,,,,{42C78883-8DD7-4278-B83F-FE2A3A5F1F5D},-0.012,0.871
3,2019/11/20,15:13:06,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,37.302,-1.283,-0.652,1294.00,224.435,1:30,1.810,0.328,1.646,-0.464,0.298,0.292,0.608,0.117,34.107,-7.418,-0.785,0.457,,,,,,,,,,,,-0.209,0.213,-0.394,15.240,1.825,1.353,-36.935,-1.673,-3.757,6.725,-5.978,"Coe College","Coe College",,,,,{0C4476C5-1BF3-4263-95EE-206BFC264519},-0.157,0.609
4,2019/11/20,15:13:16,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,37.460,-0.646,-1.108,2556.00,239.638,2:0,1.748,0.451,1.686,-0.655,0.098,0.168,0.664,0.232,34.247,-7.227,-0.194,0.454,,,,,,,,,,,,-0.121,0.071,-0.449,15.240,1.712,0.968,-37.113,-0.746,-2.187,6.901,-8.529,"Coe College","Coe College",,,,,{D2B151A1-64EB-4D7F-BA44-3A02A7D21F4C},-0.236,0.668
5,2019/11/20,15:13:29,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,37.900,-0.107,-1.441,1928.00,243.863,2:15,1.679,0.516,1.739,-0.627,0.107,0.217,0.634,0.240,34.669,-7.511,-0.244,0.447,,,,,,,,,,,,-0.157,0.077,-0.515,15.240,1.721,1.253,-37.567,-0.943,-2.904,7.178,-8.385,"Coe College","Coe College",,,,,{C4CD717F-0311-483E-928C-7730B0E873E7},-0.245,0.629
6,2019/11/20,15:13:42,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,37.547,-1.999,-1.047,1686.00,205.599,12:45,1.895,0.422,1.783,-0.379,0.373,0.179,0.731,0.187,34.191,-6.461,-0.560,0.452,,,,,,,,,,,,-0.128,0.267,-0.428,15.240,1.856,1.015,-37.225,-1.687,-2.330,6.911,-4.947,"Coe College","Coe College",,,,,{BA7C7DCF-CF2C-4228-973B-1FB296E009EE},-0.207,0.734
7,2019/11/20,15:13:53,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,37.662,-3.195,-2.000,1869.00,197.154,12:30,1.762,0.418,1.773,-0.092,0.650,0.201,0.322,-0.273,34.524,-7.179,-2.833,0.450,,,,,,,,,,,,-0.144,0.467,-0.399,15.240,1.683,2.033,-37.381,-2.948,-2.651,6.918,-1.221,"Coe College","Coe College",,,,,{4F80AEC9-6E3A-4395-A049-003F76689EDE},0.213,0.365
8,2019/11/20,15:14:06,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,37.332,-1.911,-0.454,1706.00,180.500,12:0,1.965,0.481,1.752,-0.341,0.424,0.004,0.936,0.340,33.860,-5.576,-0.476,0.457,,,,,,,,,,,,-0.003,0.304,-0.440,15.240,1.900,0.212,-36.924,-1.398,-0.047,7.010,-4.378,"Coe College","Coe College",,,,,{13FC8474-2E40-4CC4-85F9-362348C4E653},-0.355,0.935
9,2019/11/20,15:14:22,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,37.746,-1.088,-0.790,1819.00,193.189,12:30,1.910,0.374,1.678,-0.265,0.480,0.112,0.962,0.155,34.430,-5.818,-0.806,0.451,,,,,,,,,,,,-0.080,0.342,-0.375,15.240,1.884,0.802,-37.457,-1.417,-1.482,6.890,-3.486,"Coe College","Coe College",,,,,{7B9601D1-3A86-45E5-AE38-2BB4B5A7CEE5},-0.170,1.007
10,2019/11/20,15:15:09,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,37.588,-4.763,-2.264,1787.00,192.576,12:30,1.933,0.384,1.900,-0.103,0.639,0.143,0.151,-0.345,34.475,-8.059,-2.959,0.448,,,,,,,,,,,,-0.103,0.463,-0.346,15.240,1.897,1.921,-37.154,-3.915,-1.884,6.672,-1.366,"Coe College","Coe College",,,,,{C36A165C-AD60-45FC-8306-F62025DE4FE4},0.288,0.159
