No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Col28,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
1,2019/01/26,10:44:32,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,35.455,0.869,1.098,2303.00,131.482,10:30,1.653,0.540,3.247,-0.526,0.412,-0.467,1.351,0.357,32.043,-3.603,-2.453,0.437,,,,,,,,,,,,0.108,0.310,-0.601,15.240,1.563,0.003,-35.341,1.412,1.999,6.994,-9.416,"Coe College","Coe College",,,,,{D873CF0F-4CCA-4C35-9FA3-00196B57C6B8},-0.408,1.278
2,2019/01/26,10:44:49,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,37.203,-0.513,-1.746,1152.00,182.373,12:0,1.716,0.631,2.052,-0.030,0.970,0.040,1.543,0.185,33.423,-0.907,-1.452,0.452,,,,,,,,,,,,-0.113,0.788,-0.592,15.240,1.678,1.064,-36.692,0.024,-0.494,7.648,-1.459,"Coe College","Coe College",,,,,{BEA0B09D-D964-489E-8303-A1E188ECF044},-0.190,1.560
3,2019/01/26,10:45:02,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,36.984,1.231,-1.245,1233.00,55.796,7:45,1.535,0.576,2.164,-1.121,-0.126,-0.186,0.754,0.046,33.498,-7.240,-2.340,0.450,,,,,,,,,,,,-0.162,0.107,-0.567,15.240,1.536,1.321,-36.663,0.867,-1.049,7.135,-13.807,"Coe College","Coe College",,,,,{6E2564EB-9040-4CBE-8675-25A4101D9DCE},-0.106,0.689
4,2019/01/26,10:45:17,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,36.863,0.630,-2.290,2342.00,209.150,1:0,1.644,0.662,2.198,-0.468,0.531,0.296,1.349,0.326,33.175,-3.039,-0.123,0.451,,,,,,,,,,,,-0.316,0.505,-0.620,15.240,1.631,1.462,-36.525,0.564,-3.859,7.611,-6.372,"Coe College","Coe College",,,,,{3E76BA39-B6D0-4E13-BE93-6BD9E2DB5CCE},-0.346,1.303
5,2019/01/26,10:45:33,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,37.288,0.276,0.414,2389.00,144.724,10:45,1.705,0.638,2.231,-0.578,0.398,-0.282,1.203,0.470,33.564,-4.277,-1.519,0.446,,,,,,,,,,,,-0.179,0.544,-0.666,15.240,1.687,0.739,-36.875,0.080,-2.393,7.702,-6.210,"Coe College","Coe College",,,,,{8DFAE186-B3E8-482C-B77F-B18B19F52ECE},-0.566,1.179
6,2019/01/26,10:45:55,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Wind Up",,Top,,,,Changeup,,Ball,,,,,,,34.218,1.968,-2.670,,246.590,2:15,1.590,0.720,2.141,-0.923,0.245,0.566,1.213,0.546,30.743,-4.941,1.706,0.488,,,,,,,,,,,,-0.568,0.384,-0.706,15.240,1.597,1.857,-33.866,1.116,-6.928,6.181,-9.067,"Coe College","Coe College",,,,,{E91DABDF-6A37-41F6-B400-B3D0B6B048A8},-0.576,1.170
7,2019/01/26,10:46:10,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,33.402,2.500,-2.501,1349.00,247.197,2:15,1.494,0.719,2.098,-1.038,0.196,0.466,1.152,0.490,29.962,-5.271,1.163,0.502,,,,,,,,,,,,-0.660,0.272,-0.702,15.240,1.527,2.073,-32.997,1.505,-7.686,5.904,-10.693,"Coe College","Coe College",,,,,{7D6BB4DD-C863-43B0-9439-691D856292E6},-0.570,1.069
8,2019/01/26,10:46:27,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,32.601,1.703,-2.835,1935.00,272.844,3:0,1.532,0.711,2.117,-1.322,-0.031,0.631,0.684,0.556,29.392,-8.236,1.876,0.513,,,,,,,,,,,,-0.560,0.272,-0.673,15.240,1.554,1.677,-32.320,0.860,-6.301,5.844,-11.877,"Coe College","Coe College",,,,,{33DE463D-99D2-4215-8404-E2F4F359E519},-0.588,0.618
9,2019/01/26,10:46:42,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,37.335,-0.407,-0.474,2407.00,167.243,11:30,1.742,0.560,2.126,-0.151,0.833,-0.189,1.478,0.240,33.582,-1.699,-1.862,0.448,,,,,,,,,,,,0.021,0.687,-0.561,15.240,1.716,0.474,-36.996,0.001,1.230,8.097,-3.355,"Coe College","Coe College",,,,,{D536216F-CE64-4049-B079-FA9AD9CEA609},-0.256,1.425
10,2019/01/26,10:46:56,0,0,"Tyrell Johnson",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Swinging Strike",,,,,,,37.399,0.444,-2.206,2453.00,191.744,12:30,1.693,0.681,2.186,-0.467,0.502,0.104,1.348,0.176,33.771,-3.195,-1.451,0.444,,,,,,,,,,,,-0.227,0.613,-0.636,15.240,1.691,1.496,-37.024,0.097,-2.143,7.507,-4.629,"Coe College","Coe College",,,,,{DE348325-12D7-42C1-A319-B871D641464A},-0.199,1.332
