No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Col28,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
1,2019/01/29,15:50:34,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,35.987,2.646,-4.005,1841.00,288.690,3:30,1.220,0.681,2.212,-1.173,-0.124,0.367,0.778,-0.059,32.432,-6.140,-1.023,0.463,,,,,,,,,,,,-0.582,0.145,-0.643,15.240,1.250,2.902,-35.545,1.490,-6.319,6.815,-12.249,"Coe College","Coe College",,,,,{8B7FF8DA-EBB6-45C9-A4BB-CBF166E94AA5},0.021,0.749
2,2019/01/29,15:50:47,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,35.520,2.164,-1.962,1839.00,197.179,12:30,1.288,0.636,2.127,-0.733,0.366,0.113,1.155,0.205,31.709,-3.464,-1.139,0.473,,,,,,,,,,,,-0.272,0.313,-0.625,15.240,1.308,1.470,-35.025,1.528,-2.634,7.072,-9.216,"Coe College","Coe College",,,,,{3E4C027E-A044-4889-9F25-84F828B0080B},-0.233,1.089
3,2019/01/29,15:51:01,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Curveball,,Ball,,,,,,,31.623,1.630,-2.404,2313.00,98.693,9:15,1.342,0.640,2.251,-1.328,0.020,-0.131,0.463,-0.153,28.543,-8.478,-3.324,0.524,,,,,,,,,,,,-0.081,0.333,-0.591,15.240,1.342,1.317,-31.431,0.882,0.700,5.611,-11.224,"Coe College","Coe College",,,,,{B67BDD63-F896-4553-9DC4-43C1DD2B7C97},0.138,0.427
4,2019/01/29,15:51:15,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,36.150,2.466,-3.050,1897.00,295.217,3:45,1.214,0.807,2.273,-1.238,-0.215,0.457,0.654,0.426,32.740,-6.891,0.446,0.457,,,,,,,,,,,,-0.470,0.175,-0.765,15.240,1.256,1.978,-35.866,1.188,-5.811,7.155,-12.098,"Coe College","Coe College",,,,,{213A5279-24B5-414C-947E-547EF5ACECA7},-0.451,0.652
5,2019/01/29,15:51:28,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Changeup,,"Called Strike",,,,,,,34.018,2.848,-4.724,1574.00,300.674,4:0,1.179,0.727,2.126,-1.503,-0.306,0.515,0.469,-0.070,30.548,-8.301,-0.608,0.494,,,,,,,,,,,,-0.664,0.140,-0.678,15.240,1.210,3.055,-33.380,1.381,-6.454,5.938,-12.966,"Coe College","Coe College",,,,,{D60383FE-2BE7-4FB7-B85A-0D2E65286B3E},0.045,0.474
6,2019/01/29,15:51:49,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Slider,,"Called Strike",,,,,,,31.573,3.507,-0.281,2287.00,95.603,9:15,1.292,0.592,1.903,-1.352,0.065,-0.666,0.927,-0.152,28.302,-6.736,-4.785,0.538,,,,,,,,,,,,0.255,0.317,-0.598,15.240,1.357,0.445,-31.309,1.637,4.384,5.704,-10.391,"Coe College","Coe College",,,,,{7D436025-8D61-48EE-A80D-FBE00E4F212E},0.150,0.907
7,2019/01/29,15:52:14,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",Stretch,,Top,,,,Slider,,Ball,,,,,,,31.957,2.204,-4.765,2395.00,83.262,8:45,1.315,0.764,1.931,-1.376,-0.005,-0.046,0.560,-0.623,28.892,-8.036,-4.768,0.529,,,,,,,,,,,,-0.446,0.180,-0.678,15.240,1.338,3.109,-31.645,1.332,-2.218,5.288,-12.769,"Coe College","Coe College",,,,,{D9530F50-428D-4B69-947B-FD18A63DA5A5},0.568,0.485
8,2019/01/29,15:52:29,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",Stretch,,Top,,,,Fastball,,"Called Strike",,,,,,,36.160,2.348,-5.833,1991.00,284.596,3:30,1.206,0.697,2.067,-1.205,-0.147,0.564,0.658,-0.367,32.646,-6.641,-1.669,0.464,,,,,,,,,,,,-0.792,0.111,-0.643,15.240,1.219,4.094,-35.587,1.445,-8.438,6.596,-12.956,"Coe College","Coe College",,,,,{81DA4603-52DA-4108-946F-D834122F062D},0.338,0.639
9,2019/01/29,15:52:40,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",Stretch,,Top,,,,Changeup,,Ball,,,,,,,34.034,3.039,-2.646,1831.00,309.788,4:15,1.127,0.774,2.201,-1.541,-0.373,0.448,0.426,0.491,30.753,-8.540,0.831,0.488,,,,,,,,,,,,-0.484,0.012,-0.759,15.240,1.157,1.777,-33.735,1.665,-5.547,6.114,-14.647,"Coe College","Coe College",,,,,{2F6B8DD6-985C-4F04-8CFE-0272A2A64850},-0.525,0.396
10,2019/01/29,15:52:54,0,0,"TJ Deardorff",{4F3782F9-C68D-40EF-9A5A-E4A0376B5031},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",Stretch,,Top,,,,Fastball,,Ball,,,,,,,36.105,2.515,-2.203,1951.00,268.209,3:0,1.228,0.756,2.270,-1.017,0.011,0.341,0.903,0.492,32.591,-5.211,0.430,0.458,,,,,,,,,,,,-0.510,0.149,-0.773,15.240,1.253,1.946,-35.746,1.623,-6.616,6.842,-11.914,"Coe College","Coe College",,,,,{F9920BE4-A9D9-473F-A487-CD344C851573},-0.548,0.850
