No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
1,2019/11/06,15:11:18,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,35.839,-1.834,0.396,1787.00,201.204,12:45,1.920,-0.059,2.205,-0.181,0.615,0.238,0.769,0.104,32.717,-6.781,0.810,0.460,,,,,,,,,,,,-0.177,0.455,-0.028,15.240,1.942,0.421,-35.619,-2.131,-2.942,6.504,-2.227,"Coe College","Coe College",,,,,{E1E06124-B32A-4DFF-8C8E-B9910EBB76C0},-0.121,0.810
2,2019/11/06,15:11:43,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,36.660,-0.915,-2.484,1969.00,293.161,3:45,1.544,0.182,2.255,-0.980,-0.213,0.498,0.154,-0.304,33.427,-9.441,-0.744,0.451,,,,,,,,,,,,-0.369,-0.158,-0.246,15.240,1.472,2.572,-36.357,-0.465,-6.367,7.049,-12.534,"Coe College","Coe College",,,,,{9E673DB8-CB74-459A-B754-2E2B31918158},0.272,0.144
3,2019/11/06,15:11:56,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,37.017,-2.147,-2.649,1940.00,205.836,12:45,1.818,0.134,2.333,-0.220,0.524,0.254,0.731,-0.367,33.719,-5.964,-0.872,0.443,,,,,,,,,,,,-0.190,0.393,-0.090,15.240,1.832,1.744,-36.692,-1.990,-3.348,7.239,-2.895,"Coe College","Coe College",,,,,{98CF4752-D4A8-4C69-B435-3218DCADAB62},0.347,0.738
4,2019/11/06,15:12:17,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,36.960,-1.260,1.163,2109.00,209.124,1:0,1.853,-0.090,2.371,-0.158,0.581,0.324,1.003,0.173,33.715,-5.211,0.767,0.441,,,,,,,,,,,,-0.243,0.437,-0.055,15.240,1.906,0.549,-36.751,-1.651,-4.298,7.140,-2.095,"Coe College","Coe College",,,,,{68CB2D42-DE61-487C-BCB4-1138F33BFEB9},-0.203,1.028
5,2019/11/06,15:13:23,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,34.872,-1.649,0.342,1843.00,181.576,12:0,1.667,0.469,2.052,0.001,0.860,0.024,0.541,0.674,31.611,-6.713,1.205,0.480,,,,,,,,,,,,-0.017,0.626,-0.430,15.240,1.766,-0.507,-34.683,-2.630,-0.270,6.551,0.014,"Coe College","Coe College",,,,,{D7593FEB-A6A0-42BD-AC3E-1DAC554FF712},-0.682,0.595
6,2019/11/06,15:13:35,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,34.314,0.102,0.775,1776.00,169.028,11:45,1.624,0.211,2.057,-0.219,0.664,-0.129,0.976,0.136,30.999,-5.058,-1.403,0.487,,,,,,,,,,,,0.095,0.489,-0.266,15.240,1.717,-0.058,-33.997,-1.006,1.430,6.248,-2.435,"Coe College","Coe College",,,,,{00E4E975-C1B6-4A7A-860F-CA8072504B3D},-0.145,1.009
7,2019/11/06,15:14:00,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,34.997,-0.511,-1.941,1776.00,181.810,12:0,1.697,0.388,1.979,-0.083,0.769,0.024,0.968,-0.134,31.685,-4.989,-1.724,0.479,,,,,,,,,,,,-0.018,0.564,-0.363,15.240,1.767,1.199,-34.616,-1.485,-0.280,6.293,-0.957,"Coe College","Coe College",,,,,{DEA05FB3-B763-4B67-91E8-290CD76278E2},0.143,1.010
8,2019/11/06,15:14:12,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Two Seam Fastball",,,,,,,,,34.925,-0.059,2.676,1830.00,157.936,11:15,1.678,0.158,2.013,-0.381,0.474,-0.192,0.748,0.603,31.685,-6.949,0.488,0.479,,,,,,,,,,,,0.141,0.348,-0.290,15.240,1.682,-1.169,-34.703,-0.963,2.204,6.819,-4.372,"Coe College","Coe College",,,,,{15B8F71A-8381-44C1-AD6C-FA6A57E47A71},-0.592,0.817
9,2019/11/06,15:14:43,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,34.664,-0.281,-0.966,1990.00,182.334,12:0,1.668,0.473,2.073,-0.376,0.487,0.020,0.875,0.106,31.427,-5.746,-1.635,0.481,,,,,,,,,,,,-0.015,0.359,-0.484,15.240,1.663,0.858,-34.376,-0.720,-0.226,6.317,-4.274,"Coe College","Coe College",,,,,{9055863F-6A8F-4601-BE05-FFA193A429E1},-0.121,0.908
10,2019/11/06,15:14:57,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College",,,Top,,,,"Four Seam Fastball",,,,,,,,,34.182,-0.626,0.320,1963.00,190.436,12:15,1.642,0.451,1.934,-0.458,0.432,0.080,0.500,0.509,31.156,-7.849,0.133,0.490,,,,,,,,,,,,-0.058,0.317,-0.452,15.240,1.690,0.000,-34.029,-1.371,-0.877,6.544,-5.047,"Coe College","Coe College",,,,,{AB9C0A56-58A4-45EA-A261-DCC89C19133B},-0.543,0.544
