No,Date,Time,PA of Inning,Pitch of PA,Pitcher,Pitcher ID,Pitcher Handedness,Pitcher Team,Batter,Batter ID,Batter Handedness,Batter Team,Pitch Set,Col15,Top/Bottom,Col17,Col18,Col19,Pitch Type,Col21,Pitch Call,Col23,Col24,Col25,Col26,Col27,Notes,Pitch Speed [m/s],Pitch Launch (V) [°],Pitch Launch (H) [°],Pitch Spin [rpm],Pitch Spin Axis [°],Pitch Spin Tilt,Pitch Release Height [m],Pitch Release Side [m],Pitch Extension [m],Pitch Break (V) [m],Pitch Break Ind (V) [m],Pitch Break (H) [m],Pitch Strike Zone - Height [m],Pitch Strike Zone - Offset [m],Pitch Zone Speed [m/s],Pitch Approach (V) [°],Pitch Approach (H) [°],Pitch Time [s],Hit Ball Speed [m/s],Hit Ball Launch (V) [°],Hit Ball Launch (H) [°],Hit Spin [rpm],Col51,Col52,Col53,Hit Carry Distance [m],Col55,Col56,Hit Ball Flight Time [s],pfxx [m],pfxz [m],x0 [m],y0 [m],z0 [m],vx0 [m/s],vy0 [m/s],vz0 [m/s],ax [m/s²],ay [m/s²],az [m/s²],Home Team,Away Team,Col71,Col72,Col73,Col74,GUID,px [m],pz [m],Supervisor
1,1/29/20,15:11:53,0,0,Jared Gordon,{2E3E1409-3BEA-4D52-97D1-636D2570D513},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Stretch,,Top,,,,Four Seam Fastball,,Ball,,,,,,,33.627,4.073,-0.18,1759,261.945,2:45,1.242,-0.577,1.892,-1.098,0.131,0.247,1.292,-0.774,30.015,-4.19,1.685,0.508,,,,,,,,,,,,-0.137,0.056,-0.575,15.24,1.329,0.03,-33.263,2.035,-1.941,7.129,-9.021,Coe College,Coe College,,,,,{E4D01A6E-D4F5-42B0-9519-24A09DA27302},-0.774,1.292,
2,1/29/20,15:12:05,0,0,Jared Gordon,{2E3E1409-3BEA-4D52-97D1-636D2570D513},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Stretch,,Top,,,,Four Seam Fastball,,Called Strike,,,,,,,34.023,3.322,-2.641,1714,290.618,3:45,1.237,-0.62,1.719,-1.284,-0.056,0.26,0.9,-0.129,30.582,-6.201,-0.704,0.506,,,,,,,,,,,,-0.162,-0.042,-0.553,15.24,1.314,1.462,-33.624,1.515,-2.352,6.967,-10.416,Coe College,Coe College,,,,,{FBCC1C0F-7B70-423F-8062-EEF93FE88ECF},-0.129,0.9,
3,1/29/20,15:12:17,0,0,Jared Gordon,{2E3E1409-3BEA-4D52-97D1-636D2570D513},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Stretch,,Top,,,,Slider,,Called Strike,,,,,,,29.801,4.49,-4.789,1810,307.51,4:15,1.186,-0.751,1.686,-1.66,-0.04,0.016,0.812,0.6,26.582,-7.81,-4.67,0.584,,,,,,,,,,,,-0.053,-0.033,-0.624,15.24,1.293,2.451,-29.31,1.81,-0.575,5.744,-10.172,Coe College,Coe College,,,,,{CE1BED41-E420-4A41-9B1B-1DBF4801D0D1},0.6,0.812,
4,1/29/20,15:12:29,0,0,Jared Gordon,{2E3E1409-3BEA-4D52-97D1-636D2570D513},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Stretch,,Top,,,,Slider,,Called Strike,,,,,,,30.025,3.499,-2.377,1804,15.483,6:30,1.203,-0.703,1.647,-1.698,-0.107,-0.126,0.506,0.102,27.123,-9.01,-3.309,0.577,,,,,,,,,,,,0.047,-0.064,-0.637,15.24,1.284,1.27,-29.654,1.283,0.525,5.543,-10.532,Coe College,Coe College,,,,,{329DAE5C-A51A-4C39-A6F2-84670EDAB546},0.102,0.506,
5,1/29/20,15:12:41,0,0,Jared Gordon,{2E3E1409-3BEA-4D52-97D1-636D2570D513},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Stretch,,Top,,,,Changeup,,Ball,,,,,,,31.15,2.139,0.73,1225,273.99,3:15,1.215,-0.536,1.826,-1.424,0.015,0.217,0.395,-0.959,28.137,-8.477,2.353,0.549,,,,,,,,,,,,-0.111,0.011,-0.555,15.24,1.257,-0.457,-30.858,0.734,-1.359,6.044,-9.67,Coe College,Coe College,,,,,{7D628B0A-23F5-4EFF-A3E8-268E6FD2FFFF},-0.959,0.395,
6,1/29/20,15:12:55,0,0,Jared Gordon,{2E3E1409-3BEA-4D52-97D1-636D2570D513},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Stretch,,Top,,,,Changeup,,Ball,,,,,,,31.195,1.389,-2.894,1199,279.539,3:15,1.228,-0.595,1.857,-1.475,-0.043,0.213,0.146,0.009,28.327,-9.582,-1.297,0.547,,,,,,,,,,,,-0.141,-0.016,-0.528,15.24,1.252,1.5,-30.891,0.323,-1.723,5.891,-10.005,Coe College,Coe College,,,,,{CE726052-37E9-4A93-AF31-A9395EB2BE83},0.009,0.146,
7,1/29/20,15:13:09,0,0,Jared Gordon,{2E3E1409-3BEA-4D52-97D1-636D2570D513},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Stretch,,Top,,,,Four Seam Fastball,,Called Strike,,,,,,,34.33,3.687,-4.339,1777,289.942,3:45,1.197,-0.47,1.814,-1.323,-0.126,0.439,0.921,0.32,30.737,-6.187,-1.058,0.501,,,,,,,,,,,,-0.276,-0.083,-0.368,15.24,1.278,2.427,-33.867,1.758,-4.051,7.21,-11.03,Coe College,Coe College,,,,,{023EC26D-0556-4B16-A670-9B967ACC883D},0.32,0.921,
8,1/29/20,15:13:20,0,0,Jared Gordon,{2E3E1409-3BEA-4D52-97D1-636D2570D513},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Stretch,,Top,,,,Four Seam Fastball,,Ball,,,,,,,33.761,1.039,-3.222,1777,247.954,2:15,1.18,-0.533,1.961,-1.072,0.135,0.23,0.4,0.141,30.46,-7.018,-1.491,0.502,,,,,,,,,,,,-0.154,0.082,-0.465,15.24,1.197,1.816,-33.446,0.293,-2.211,6.933,-8.631,Coe College,Coe College,,,,,{D53E88B8-213C-4A3A-B1F0-66C5ACC37190},0.141,0.4,
9,1/29/20,15:13:32,0,0,Jared Gordon,{2E3E1409-3BEA-4D52-97D1-636D2570D513},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Stretch,,Top,,,,Slider,,Ball,,,,,,,29.616,5.147,-0.259,1833,65.572,8:15,1.205,-0.707,1.763,-1.564,0.051,-0.162,1.104,-0.471,26.831,-6.432,-1.464,0.579,,,,,,,,,,,,0.085,0.002,-0.699,15.24,1.323,0.179,-29.256,2.178,0.947,4.914,-9.785,Coe College,Coe College,,,,,{575A00F3-3C1D-4839-867A-9D17E31B03F6},-0.471,1.104,
10,1/29/20,15:13:49,0,0,Jared Gordon,{2E3E1409-3BEA-4D52-97D1-636D2570D513},R,Coe College,Ryan Baranowski,{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,Coe College,Stretch,,Top,,,,Slider,,Called Strike,,,,,,,29.498,4.254,-2.172,1793,21.504,6:45,1.243,-0.69,1.746,-1.721,-0.091,-0.14,0.733,0.068,26.65,-8.495,-3.217,0.584,,,,,,,,,,,,0.057,-0.063,-0.633,15.24,1.339,1.146,-29.134,1.667,0.624,5.276,-10.491,Coe College,Coe College,,,,,{40A31FF0-7692-4447-A081-EA36427F6FC9},0.068,0.733,
