No,Date,Time,PA of Inning,Pitch of PA,Pitcher,Pitcher ID,Pitcher Handedness,Pitcher Team,Batter,Batter ID,Batter Handedness,Batter Team,Pitch Set,Col15,Top/Bottom,Col17,Col18,Col19,Pitch Type,Col21,Pitch Call,Col23,Col24,Col25,Col26,Col27,Notes,Pitch Speed [m/s],Pitch Launch (V) [°],Pitch Launch (H) [°],Pitch Spin [rpm],Pitch Spin Direction [°],Pitch Spin Tilt,Pitch Release Height [m],Pitch Release Side [m],Pitch Extension [m],Pitch Break (V) [m],Pitch Break Ind (V) [m],Pitch Break (H) [m],Pitch Strike Zone - Height [m],Pitch Strike Zone - Offset [m],Pitch Zone Speed [m/s],Pitch Approach (V) [°],Pitch Approach (H) [°],Pitch Time [s],Hit Ball Speed [m/s],Hit Ball Launch (V) [°],Hit Ball Launch (H) [°],Hit Spin [rpm],Col51,Col52,Col53,Hit Carry Distance [m],Col55,Col56,Hit Ball Flight Time [s],pfxx [m],pfxz [m],x0 [m],y0 [m],z0 [m],vx0 [m/s],vy0 [m/s],vz0 [m/s],ax [m/s²],ay [m/s²],az [m/s²],Home Team,Away Team,Col71,Col72,Col73,Col74,GUID,px [m],pz [m]
16,2/20/21,12:08:47,0,0,Jack Greene,{71467B30-DB12-4EBC-A32B-EAC78E02FF60},L,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coe College,Coe College,,,,,{3C1E73A6-703B-4DCD-B1BA-2B71599C7895},,
17,2/20/21,12:09:02,0,0,Jack Greene,{71467B30-DB12-4EBC-A32B-EAC78E02FF60},L,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,Coe College,Wind Up,,Top,,,,Changeup,,,,,,,,,32.877,2.523,2.933,1649,23.093,6:45,1.635,-0.45,1.421,-1.711,-0.37,-0.139,0.655,0.261,30.061,-9.829,1.925,0.532,,,,,,,,,,,,0.094,-0.188,0.36,15.24,1.695,-1.61,-32.47,0.772,1.289,6.009,-12.373,Coe College,Coe College,,,,,{749C2E01-119B-40B1-A23D-2BB426EBDCF0},-0.261,0.655
18,2/20/21,12:09:18,0,0,Jack Greene,{71467B30-DB12-4EBC-A32B-EAC78E02FF60},L,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,Coe College,Wind Up,,Top,,,,Changeup,,Called Strike,,,,,,,35.843,1.318,2.629,1877,45.317,7:30,1.766,-0.3,1.327,-1.394,-0.263,-0.233,0.755,0.233,32.96,-8.68,0.949,0.487,,,,,,,,,,,,0.138,-0.127,0.217,15.24,1.793,-1.529,-35.541,0.202,2.277,6.815,-11.906,Coe College,Coe College,,,,,{0CC786EF-73AB-4EAF-8286-8877F6FA72DC},-0.233,0.755
19,2/20/21,12:09:38,0,0,Jack Greene,{71467B30-DB12-4EBC-A32B-EAC78E02FF60},L,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,Coe College,Wind Up,,Top,,,,Changeup,,Called Strike,,,,,,,36.027,1.833,-0.789,1897,284.203,3:30,1.708,0.09,1.271,-1.285,-0.147,0.451,0.959,0.311,32.907,-7.36,2.452,0.489,,,,,,,,,,,,-0.235,-0.071,-0.069,15.24,1.754,0.286,-35.55,0.556,-3.871,6.776,-10.982,Coe College,Coe College,,,,,{036993ED-0BA8-44B4-9947-0FE976EF5104},-0.311,0.959
20,2/20/21,12:09:49,0,0,Jack Greene,{71467B30-DB12-4EBC-A32B-EAC78E02FF60},L,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,Coe College,Wind Up,,Top,,,,Changeup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coe College,Coe College,,,,,{6856A8BB-9D44-4617-B919-8D49E1C9C449},,
28,2/20/21,12:15:14,0,0,TJ Johnson,{5523E84E-5878-4B20-ACCB-0B59D1E460FC},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,Coe College,Wind Up,,Top,,,,Curveball,,Ball,,,,,,,32.695,2.707,-0.423,1948,319.163,4:45,1.931,-0.309,1.504,-1.699,-0.35,0.273,1.012,-0.158,30.037,-9.581,1.565,0.531,,,,,,,,,,,,-0.145,-0.184,0.318,15.24,1.995,0.137,-32.252,0.894,-1.976,5.523,-12.31,Coe College,Coe College,,,,,{75758B78-1A96-41F2-8AF6-9CC9B77DF0BC},0.158,1.012
29,2/20/21,12:15:31,0,0,TJ Johnson,{5523E84E-5878-4B20-ACCB-0B59D1E460FC},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,Coe College,Wind Up,,Top,,,,Changeup,,Called Strike,,,,,,,34.5,-0.916,4.027,2071,88.724,9:00,1.938,-0.493,1.423,-1.255,-0.042,-0.533,0.418,0.142,31.869,-9.912,0.171,0.504,,,,,,,,,,,,0.303,0.001,0.373,15.24,1.896,-2.188,-34.163,-1.06,4.634,6.131,-9.797,Coe College,Coe College,,,,,{34D74DBD-5B76-4306-BFF7-3F38E578AD0F},-0.142,0.418
30,2/20/21,12:15:57,0,0,TJ Johnson,{5523E84E-5878-4B20-ACCB-0B59D1E460FC},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,Coe College,Wind Up,,Top,,,,Changeup,,Called Strike,,,,,,,34.144,1.564,2.96,2008,17.268,6:30,1.816,-0.446,1.445,-1.686,-0.45,-0.131,0.583,0.279,31.67,-10.532,2.011,0.508,,,,,,,,,,,,0.088,-0.229,0.357,15.24,1.846,-1.696,-33.812,0.249,1.322,5.909,-13.237,Coe College,Coe College,,,,,{098801E1-CB8E-4191-9535-39E2DB0537AA},-0.279,0.583
31,2/20/21,12:16:17,0,0,TJ Johnson,{5523E84E-5878-4B20-ACCB-0B59D1E460FC},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,Coe College,Wind Up,,Top,,,,Four Seam Fastball,,Called Strike,,,,,,,36.254,-1.518,1.752,1751,122.113,10:00,2.005,-0.303,1.459,-0.82,0.269,-0.478,0.746,-0.274,33.253,-7.44,-1.724,0.478,,,,,,,,,,,,0.261,0.167,0.254,15.24,1.951,-0.898,-35.936,-1.299,4.395,6.928,-6.994,Coe College,Coe College,,,,,{22FF31C1-ACA6-4784-95DC-44970A5EC972},0.274,0.746
32,2/20/21,12:16:35,0,0,TJ Johnson,{5523E84E-5878-4B20-ACCB-0B59D1E460FC},R,Coe College,Luke Smailes,{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,Coe College,Wind Up,,Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coe College,Coe College,,,,,{D49E29FB-C5A8-4C79-940B-6864B17BC1C8},,
