No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Direction [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]","Hit Spin [rpm]",Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
1,2022/02/02,14:53:47,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Jacob Schmit",{F2EF57AB-2C5E-48E0-B08F-F4D59A19782F},R,"Coe College","Wind Up",,Bottom,,,,,,Ball,,,,,,,24.269,2.300,0.966,2443.00,138.728,10:30,2.294,-0.453,1.386,-2.397,0.125,-0.175,0.566,-0.349,22.376,-14.806,-0.311,0.728,,,,,,,,,,,,0.098,0.085,0.425,15.240,2.341,-0.351,-23.801,0.270,0.718,3.327,-9.186,"Coe College","Coe College",,,,,{E4C77859-99AB-4030-AB62-A34719B5664D},0.349,0.566
2,2022/02/02,15:16:49,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,36.576,1.202,-5.289,1839.00,313.754,4:30,1.464,0.659,2.065,-1.479,-0.462,0.447,0.321,-0.370,33.229,-9.872,-1.923,0.463,,,,,,,,,,,,-0.290,-0.248,-0.556,15.240,1.481,3.192,-35.899,0.322,-4.850,7.369,-13.944,"Coe College","Coe College",,,,,{7D921125-A8C4-4E27-9C42-664AAD297A9F},0.370,0.321
3,2022/02/02,15:17:03,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Slider,,"Called Strike",,,,,,,33.145,-0.609,-3.163,2680.00,254.248,2:30,1.738,0.685,1.690,-1.268,0.024,0.193,0.297,-0.024,30.426,-9.844,-1.743,0.519,,,,,,,,,,,,-0.125,0.033,-0.603,15.240,1.712,1.737,-32.625,-0.781,-1.743,5.623,-9.342,"Coe College","Coe College",,,,,{7EBBA6E4-CD8D-41DA-A152-E65D11A57EC5},0.024,0.297
4,2022/02/02,15:17:16,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Called Strike",,,,,,,36.581,-1.520,-3.044,1997.00,209.677,1:0,1.740,0.596,1.910,-0.505,0.524,0.317,0.808,0.057,33.044,-5.286,-0.670,0.465,,,,,,,,,,,,-0.197,0.316,-0.529,15.240,1.703,1.811,-36.026,-1.124,-3.319,7.272,-4.470,"Coe College","Coe College",,,,,{2CE5351B-5715-4DBC-874B-E5DD590C4080},-0.057,0.808
5,2022/02/02,15:17:43,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,36.385,0.744,-1.857,1888.00,319.731,4:45,1.590,0.675,2.111,-1.433,-0.431,0.336,0.363,0.495,33.352,-10.026,0.688,0.460,,,,,,,,,,,,-0.203,-0.228,-0.641,15.240,1.598,1.074,-36.062,0.060,-3.416,7.495,-13.649,"Coe College","Coe College",,,,,{DAB2CF07-0D6F-4287-BE11-98CACB02E0A7},-0.495,0.363
6,2022/02/02,15:20:41,0,0,"Jacob Schmit",{F2EF57AB-2C5E-48E0-B08F-F4D59A19782F},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,32.848,2.177,-2.615,2170.00,253.283,2:30,1.941,0.759,1.979,-1.141,0.121,0.564,1.410,0.591,29.588,-6.398,1.641,0.517,,,,,,,,,,,,-0.333,0.075,-0.706,15.240,1.982,1.322,-32.411,0.912,-4.515,6.301,-8.785,"Coe College","Coe College",,,,,{78B672FF-F933-4070-8B54-D5571C983FB1},-0.591,1.410
7,2022/02/02,15:21:01,0,0,"Jacob Schmit",{F2EF57AB-2C5E-48E0-B08F-F4D59A19782F},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Called Strike",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coe College","Coe College",,,,,{EDC150C8-C962-445E-8B1F-9EEF57511833},,
8,2022/02/02,15:21:18,0,0,"Jacob Schmit",{F2EF57AB-2C5E-48E0-B08F-F4D59A19782F},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Changeup,,"Called Strike",,,,,,,32.437,-0.271,-4.007,1846.00,207.597,1:0,1.947,0.669,2.181,-0.984,0.285,0.172,0.887,-0.267,29.343,-7.722,-2.699,0.517,,,,,,,,,,,,-0.129,0.188,-0.598,15.240,1.938,2.196,-31.939,-0.386,-1.703,5.961,-7.324,"Coe College","Coe College",,,,,{E5540C62-5A4F-4496-98EA-5D87473849BD},0.267,0.887
9,2022/02/02,15:21:37,0,0,"Jacob Schmit",{F2EF57AB-2C5E-48E0-B08F-F4D59A19782F},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Changeup,,Ball,,,,,,,31.816,0.654,-4.648,1705.00,230.136,1:45,1.936,0.640,2.156,-1.120,0.204,0.299,0.998,-0.350,28.791,-7.814,-2.382,0.528,,,,,,,,,,,,-0.205,0.135,-0.556,15.240,1.944,2.475,-31.320,0.092,-2.605,5.697,-8.091,"Coe College","Coe College",,,,,{F97B869B-E7D6-43C2-82B3-C22B7A70A31A},0.350,0.998
10,2022/02/02,15:21:58,0,0,"Jacob Schmit",{F2EF57AB-2C5E-48E0-B08F-F4D59A19782F},R,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Curveball,,Ball,,,,,,,29.723,5.633,1.467,1930.00,52.413,7:45,1.896,0.654,1.875,-1.866,-0.317,-0.336,1.622,0.731,26.985,-8.286,-1.053,0.572,,,,,,,,,,,,0.196,-0.189,-0.686,15.240,2.016,-0.663,-29.455,2.395,2.186,5.227,-11.914,"Coe College","Coe College",,,,,{A6A5331A-5292-48AA-AEA0-9A1693F9889F},-0.731,1.622
