No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Col28,"Pitch Speed [mph]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [ft]","Pitch Release Side [ft]","Pitch Extension [ft]","Pitch Break (V) [in]","Pitch Break Ind (V) [in]","Pitch Break (H) [in]","Pitch Strike Zone - Height [ft]","Pitch Strike Zone - Offset [ft]","Pitch Zone Speed [mph]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [mph]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [ft]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [in]","pfxz [in]","x0 [ft]","y0 [ft]","z0 [ft]","vx0 [ft/s]","vy0 [ft/s]","vz0 [ft/s]","ax [ft/s²]","ay [ft/s²]","az [ft/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [ft]","pz [ft]"
1,2019/01/21,12:27:13,0,0,"AJ Reuter",{D215ACB7-67D3-4E8C-9C29-B5569CDADE0C},L,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,78.624,0.128,6.110,1880.00,111.685,9:45,5.446,-2.473,6.933,-33.099,10.806,-27.176,2.805,0.845,70.890,-6.281,1.094,0.477,,,,,,,,,,,,25.946,23.703,2.082,50.001,5.497,-11.301,-113.759,-1.043,21.138,21.295,-23.087,"Coe College","Coe College",,,,,{FCACED64-92AF-48F8-9B1F-5A286B61ED64},-0.850,2.771
2,2019/01/21,12:27:57,0,0,"AJ Reuter",{D215ACB7-67D3-4E8C-9C29-B5569CDADE0C},L,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,78.561,-0.143,4.384,1995.00,144.212,10:45,5.353,-2.067,6.989,-29.131,14.971,-10.793,2.794,1.027,70.580,-5.818,2.450,0.478,,,,,,,,,,,,15.398,19.515,1.810,50.001,5.295,-8.458,-113.789,0.089,9.702,22.333,-27.658,"Coe College","Coe College",,,,,{87B5CA2C-D7E3-45A4-AC82-8B0675C86811},-0.988,2.613
3,2019/01/21,12:28:20,0,0,"AJ Reuter",{D215ACB7-67D3-4E8C-9C29-B5569CDADE0C},L,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,79.268,0.137,2.523,1865.00,147.035,11:0,5.388,-2.018,6.714,-30.914,12.482,-8.095,2.937,-0.386,71.443,-5.820,1.013,0.474,,,,,,,,,,,,10.285,20.590,1.901,50.001,5.369,-5.100,-115.258,-0.172,7.673,22.658,-25.605,"Coe College","Coe College",,,,,{F686EA0D-BD67-415F-80F7-D4559E4ACE17},0.404,2.843
4,2019/01/21,12:28:35,0,0,"AJ Reuter",{D215ACB7-67D3-4E8C-9C29-B5569CDADE0C},L,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,78.563,0.033,1.806,1891.00,173.734,11:45,5.377,-1.944,6.730,-22.332,21.569,-2.368,3.546,-0.491,70.849,-4.361,1.236,0.477,,,,,,,,,,,,10.815,20.731,1.909,50.001,5.336,-4.880,-114.765,0.785,8.707,23.230,-24.186,"Coe College","Coe College",,,,,{BE4AB8BC-3481-4822-B88A-43A2683863F8},0.605,3.340
5,2019/01/21,12:28:52,0,0,"AJ Reuter",{D215ACB7-67D3-4E8C-9C29-B5569CDADE0C},L,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,78.992,0.819,1.109,1887.00,171.560,11:45,5.258,-1.997,6.234,-31.076,13.458,-1.997,3.425,-1.141,70.999,-5.128,0.760,0.480,,,,,,,,,,,,9.085,16.956,1.980,50.001,5.258,-3.453,-114.870,1.733,8.395,23.085,-28.324,"Coe College","Coe College",,,,,{7086AFD1-30B4-4E4C-B5C7-A3C5BF62ACC5},1.273,3.289
6,2019/01/21,12:29:09,0,0,"AJ Reuter",{D215ACB7-67D3-4E8C-9C29-B5569CDADE0C},L,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,79.954,-0.068,3.655,1979.00,156.311,11:15,5.351,-2.291,6.322,-11.415,32.417,-14.223,4.337,-0.106,71.338,-2.401,1.041,0.476,,,,,,,,,,,,20.620,21.888,2.040,50.001,5.274,-8.128,-115.835,1.593,18.915,24.469,-20.498,"Coe College","Coe College",,,,,{E1D697B1-2C60-43DE-B03C-94882B5EE107},0.294,4.019
7,2019/01/21,12:29:42,0,0,"AJ Reuter",{D215ACB7-67D3-4E8C-9C29-B5569CDADE0C},L,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,79.072,1.344,5.297,1822.00,99.935,9:15,5.134,-2.327,6.409,-39.287,5.019,-28.655,3.101,0.169,71.129,-6.134,0.019,0.479,,,,,,,,,,,,24.511,14.229,1.965,50.001,5.170,-9.690,-114.599,2.129,21.930,22.597,-31.982,"Coe College","Coe College",,,,,{28D4B00E-6E9D-447E-ABBE-A6FDFACBA2AA},-0.176,3.011
8,2019/01/21,12:29:57,0,0,"AJ Reuter",{D215ACB7-67D3-4E8C-9C29-B5569CDADE0C},L,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,80.963,0.757,2.891,1884.00,163.135,11:30,5.184,-2.195,5.819,-16.504,28.232,-8.559,4.514,-0.218,71.207,-2.498,1.366,0.481,,,,,,,,,,,,13.547,19.139,1.998,50.001,5.138,-6.227,-115.546,2.955,10.954,24.265,-22.665,"Coe College","Coe College",,,,,{7F99F9D8-6284-4681-8F62-BAFE4C875E16},0.323,4.266
9,2019/01/21,12:30:20,0,0,"AJ Reuter",{D215ACB7-67D3-4E8C-9C29-B5569CDADE0C},L,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Curveball,,Ball,,,,,,,73.377,0.961,4.692,,109.383,9:45,5.181,-3.259,6.307,-45.608,5.806,-16.503,2.269,-0.302,66.172,-7.699,1.680,0.516,,,,,,,,,,,,14.191,15.937,2.851,50.001,5.189,-7.435,-106.672,1.483,7.751,18.535,-33.776,"Coe College","Coe College",,,,,{63EFC504-6C1A-4CB1-A757-26BF00315AD5},0.207,2.132
10,2019/01/21,12:30:37,0,0,"AJ Reuter",{D215ACB7-67D3-4E8C-9C29-B5569CDADE0C},L,"Coe College","Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Wind Up",,Top,,,,Slider,,"Called Strike",,,,,,,74.062,4.184,2.447,2011.00,264.328,2:45,4.448,-2.275,5.854,-50.754,0.399,4.019,4.115,0.335,66.531,-5.378,3.162,0.515,,,,,,,,,,,,4.094,8.542,2.111,50.001,4.747,-4.791,-107.486,6.727,-1.708,18.651,-35.480,"Coe College","Coe College",,,,,{1BBFCFC8-3D23-443D-B16D-96FAB3855590},-0.316,4.014
