No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Col28,"Pitch Speed [mph]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [ft]","Pitch Release Side [ft]","Pitch Extension [ft]","Pitch Break (V) [in]","Pitch Break Ind (V) [in]","Pitch Break (H) [in]","Pitch Strike Zone - Height [ft]","Pitch Strike Zone - Offset [ft]","Pitch Zone Speed [mph]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [mph]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [ft]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [in]","pfxz [in]","x0 [ft]","y0 [ft]","z0 [ft]","vx0 [ft/s]","vy0 [ft/s]","vz0 [ft/s]","ax [ft/s²]","ay [ft/s²]","az [ft/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [ft]","pz [ft]"
1,2019/02/05,14:41:59,0,0,"Jeffrey Anders",{A098B26A-5758-4BE4-BE69-1983040DDDC9},R,"Coe College","JT Henry",{4B2C93B6-724B-47D4-B45F-644FA936C12C},R,"Coe College","Wind Up",,Top,,,,Slider,,"Called Strike",,,,,,,74.383,2.028,-1.758,1349.00,134.072,10:30,"4' 9""","2' 7""","5' 11""",-41.595,8.594,-8.877,"3' 2""","0' 2""",67.198,-5.865,-3.334,0.510,,,,,,,,,,,,-0.779,13.547,"-2' 5""",50',"4' 11""",3.718,-109.188,3.578,4.567,21.995,-32.901,"Coe College","Coe College",,,,,{CA1760A0-23A5-4891-A58E-C9B43F15F7A6},"0' 2""",3'
2,2019/02/05,14:42:16,0,0,"Jeffrey Anders",{A098B26A-5758-4BE4-BE69-1983040DDDC9},R,"Coe College","JT Henry",{4B2C93B6-724B-47D4-B45F-644FA936C12C},R,"Coe College","Wind Up",,Top,,,,Slider,,Ball,,,,,,,75.831,0.482,-5.197,2662.00,238.416,2:0,"5' 1""","3' 1""","6' 2""",-41.322,7.674,12.482,"2' 1""","0' 8""",68.020,-7.355,-2.951,0.504,,,,,,,,,,,,-18.477,16.499,"-2' 8""",50',"5' 1""",9.772,-109.776,0.762,-10.808,22.660,-32.894,"Coe College","Coe College",,,,,{509F16D0-FDE3-4919-AC48-24295770D749},"0' 8""","1' 11"""
3,2019/02/05,14:42:30,0,0,"Jeffrey Anders",{A098B26A-5758-4BE4-BE69-1983040DDDC9},R,"Coe College","JT Henry",{4B2C93B6-724B-47D4-B45F-644FA936C12C},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Foul Ball",,,,,,,83.325,0.024,-2.449,2156.00,146.496,11:0,5',"2' 5""","6' 11""",-28.269,10.871,-7.197,"2' 8""","0' 5""",75.229,-5.415,-3.833,0.450,,,,,,,,,,,,-3.690,17.867,"-2' 4""",50',5',5.644,-121.051,-0.065,3.263,25.511,-26.850,"Coe College","Coe College",,,,,{78C0366D-22DA-4A34-9DD6-8F08351324DA},"0' 4""","2' 7"""
4,2019/02/05,14:42:52,0,0,"Jeffrey Anders",{A098B26A-5758-4BE4-BE69-1983040DDDC9},R,"Coe College","JT Henry",{4B2C93B6-724B-47D4-B45F-644FA936C12C},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,86.638,1.314,-3.871,2516.00,187.733,12:15,"4' 10""","2' 11""","5' 11""",-20.976,17.661,2.398,"4' 4""","0' 6""",76.939,-2.712,-3.450,0.447,,,,,,,,,,,,-14.024,16.682,"-2' 8""",50',"4' 10""",9.302,-123.818,2.940,-8.935,26.542,-22.237,"Coe College","Coe College",,,,,{F1109CCC-A6E0-4B75-A1B8-3CC7765F16EA},"0' 5""","4' 2"""
5,2019/02/05,14:43:09,0,0,"Jeffrey Anders",{A098B26A-5758-4BE4-BE69-1983040DDDC9},R,"Coe College","JT Henry",{4B2C93B6-724B-47D4-B45F-644FA936C12C},R,"Coe College","Wind Up",,Top,,,,Slider,,Single,,,,,,,70.996,5.249,-2.253,2475.00,15.778,6:30,4',"3' 2""","6' 8""",-67.290,-12.202,-3.448,"3' 3""","0' 9""",63.306,-7.514,-3.127,0.534,,,,,,,,,,,,-3.000,-0.655,"-2' 11""",50',"4' 4""",3.894,-102.882,8.576,1.894,19.646,-45.567,"Coe College","Coe College",,,,,{649961BD-50A3-4FF8-85CC-FD9EA8F19B14},"0' 10""",3'
6,2019/02/05,14:43:49,0,0,"Jeffrey Anders",{A098B26A-5758-4BE4-BE69-1983040DDDC9},R,"Coe College","Colton Knox",{49B61A5C-1745-4445-9ADC-3312A5A6F38B},L,"Coe College","Wind Up",,Top,,,,Fastball,,Single,,,,,,,85.017,-1.463,-1.668,1020.00,161.401,11:30,"5' 10""","2' 5""","5' 9""",-21.672,17.500,-5.889,"2' 8""","0' 5""",76.829,-5.543,-2.874,0.450,50.935,25.737,-13.320,,,,,"121' 11""",,,2.071,2.854,28.491,"-2' 2""",50',"5' 7""",2.621,-123.417,-4.044,9.597,26.400,-13.520,"Coe College","Coe College",,,,,{BEC0D3A3-8F34-4B17-BF29-CB1E7458D673},"0' 4""","2' 9"""
7,2019/02/05,14:44:32,0,0,"Jeffrey Anders",{A098B26A-5758-4BE4-BE69-1983040DDDC9},R,"Coe College","Kyle Alvarado",{287722BA-CBE3-4BDC-82A2-08FF8059A8FA},R,"Coe College","Wind Up",,Top,,,,Curveball,,Ball,,,,,,,70.361,2.135,2.685,2500.00,163.333,11:30,5',"2' 6""","6' 2""",1.305,59.357,-17.771,"7' 1""","3' 6""",61.477,1.937,-0.572,0.548,,,,,,,,,,,,14.813,34.865,"-2' 8""",50',"5' 1""",-4.349,-101.123,5.473,11.306,20.121,-8.389,"Coe College","Coe College",,,,,{C8FB9644-54C6-4C54-A20B-17C2ADF64E8A},"-3' 6""","6' 9"""
8,2019/02/05,14:44:52,0,0,"Jeffrey Anders",{A098B26A-5758-4BE4-BE69-1983040DDDC9},R,"Coe College","Kyle Alvarado",{287722BA-CBE3-4BDC-82A2-08FF8059A8FA},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,86.316,0.659,-1.869,2342.00,183.116,12:0,"4' 11""","2' 6""","6' 6""",-10.092,27.191,1.480,"4' 8""","0' 11""",77.350,-1.382,-1.608,0.439,,,,,,,,,,,,-5.784,19.087,"-2' 4""",50',"4' 11""",4.186,-124.796,2.686,-3.166,27.321,-17.912,"Coe College","Coe College",,,,,{06C1D7CE-24CB-4D14-A892-0F9451273C35},"0' 11""","4' 6"""
9,2019/02/05,14:45:07,0,0,"Jeffrey Anders",{A098B26A-5758-4BE4-BE69-1983040DDDC9},R,"Coe College","Kyle Alvarado",{287722BA-CBE3-4BDC-82A2-08FF8059A8FA},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Swinging Strike",,,,,,,84.162,2.086,-2.658,2329.00,198.345,12:30,"4' 8""","2' 7""","6' 7""",-31.185,7.547,2.503,4',"0' 4""",75.834,-3.887,-2.230,0.448,,,,,,,,,,,,-9.153,10.698,"-2' 6""",50',"4' 9""",6.163,-122.126,4.277,-5.367,25.091,-31.255,"Coe College","Coe College",,,,,{519BEDC7-7BA3-415B-973D-69FD717C5606},"0' 5""","3' 10"""
10,2019/02/05,14:45:23,0,0,"Jeffrey Anders",{A098B26A-5758-4BE4-BE69-1983040DDDC9},R,"Coe College","Kyle Alvarado",{287722BA-CBE3-4BDC-82A2-08FF8059A8FA},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,84.156,1.812,-2.771,2546.00,172.962,11:45,"4' 10""","2' 7""","6' 2""",-25.764,13.600,-1.679,"4' 4""","0' 1""",75.756,-3.117,-3.128,0.451,,,,,,,,,,,,-5.063,16.150,"-2' 5""",50',"4' 11""",5.802,-122.134,3.331,1.120,25.654,-23.383,"Coe College","Coe College",,,,,{A8ACCC7C-C442-45DF-B7B1-CEB435BB7302},"0' 1""","4' 3"""
