No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [km/h]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [cm]","Pitch Break Ind (V) [cm]","Pitch Break (H) [cm]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [km/h]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [km/h]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [cm]","pfxz [cm]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
1,2019/09/07,09:50:53,0,0,"Zach Kammin",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,141.800,-0.336,-1.290,2329.00,198.491,12:30,1.851,0.380,2.119,-26.483,39.718,13.282,1.226,0.152,129.647,-4.405,-0.362,0.421,,,,,,,,,,,,-9.744,29.136,-0.359,15.240,1.883,0.894,-39.227,-0.868,-1.968,7.860,-3.924,"Coe College","Coe College",,,,,{6E1F0E85-1C15-4BEA-B0EC-5B46BB3A4935},-0.159,1.239
2,2019/09/07,09:51:05,0,0,"Zach Kammin",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,141.762,-2.777,-1.588,2304.00,191.093,12:15,1.840,0.358,2.187,-15.707,49.863,9.776,0.606,-0.047,130.538,-6.352,-1.357,0.418,,,,,,,,,,,,-7.238,36.918,-0.344,15.240,1.835,1.256,-39.209,-2.595,-1.463,7.755,-2.350,"Coe College","Coe College",,,,,{CF71E12B-A7AA-4A0E-AA2F-2A5A0B121615},0.037,0.634
3,2019/09/07,09:51:18,0,0,"Zach Kammin",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,143.012,-2.125,-1.575,2290.00,202.307,12:45,1.910,0.384,2.187,-32.487,31.989,13.124,0.778,0.126,131.584,-6.275,-0.255,0.414,,,,,,,,,,,,-9.708,23.663,-0.345,15.240,1.890,0.948,-39.493,-1.866,-1.997,7.615,-4.943,"Coe College","Coe College",,,,,{6A71F9CD-7F87-4BC2-A7F0-27879818320D},-0.128,0.787
4,2019/09/07,09:51:32,0,0,"Zach Kammin",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,144.690,-2.007,-2.676,2406.00,194.656,12:30,1.793,0.343,2.221,-23.003,40.036,10.471,0.688,-0.301,133.115,-6.207,-2.012,0.409,,,,,,,,,,,,-7.725,29.538,-0.299,15.240,1.798,1.875,-39.985,-2.111,-1.629,7.772,-3.580,"Coe College","Coe College",,,,,{21986BEF-DCA9-49F0-9D37-3E092342C2D4},0.302,0.721
5,2019/09/07,09:51:44,0,0,"Zach Kammin",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,144.587,-2.747,-0.870,2369.00,210.280,1:0,1.841,0.332,2.215,-28.088,35.376,20.656,0.571,0.185,132.779,-6.652,-0.162,0.411,,,,,,,,,,,,-15.183,26.003,-0.350,15.240,1.798,0.979,-39.964,-2.282,-3.193,7.920,-4.342,"Coe College","Coe College",,,,,{1E789F98-3DF1-4EF7-861B-6B2901E60372},-0.210,0.597
6,2019/09/07,09:51:57,0,0,"Zach Kammin",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,Changeup,,"Called Strike",,,,,,,124.536,-0.840,-0.986,1597.00,214.794,1:15,1.798,0.357,2.073,-45.685,39.884,27.713,0.823,0.333,113.707,-6.494,0.831,0.479,,,,,,,,,,,,-20.348,29.284,-0.349,15.240,1.832,0.720,-34.435,-1.110,-3.177,5.875,-5.238,"Coe College","Coe College",,,,,{597A7865-BE1D-42B2-BCE3-2FCD6BAD5D74},-0.345,0.812
7,2019/09/07,09:52:09,0,0,"Zach Kammin",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,Changeup,,Ball,,,,,,,124.755,-1.450,-2.711,1697.00,207.687,1:0,1.844,0.413,1.963,-57.416,27.403,14.379,0.447,-0.174,115.185,-8.816,-1.367,0.478,,,,,,,,,,,,-10.463,19.941,-0.340,15.240,1.866,1.523,-34.558,-1.682,-1.663,5.280,-6.641,"Coe College","Coe College",,,,,{ACEC43A6-2892-4DCE-BC2C-E9CEE82341C3},0.172,0.467
8,2019/09/07,09:52:24,0,0,"Zach Kammin",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,Changeup,,Ball,,,,,,,124.831,-1.979,-1.817,1501.00,211.954,1:0,1.819,0.336,2.019,-57.215,28.642,17.865,0.337,-0.038,114.357,-8.901,-0.614,0.480,,,,,,,,,,,,-13.024,20.880,-0.310,15.240,1.787,1.235,-34.497,-1.730,-2.041,5.886,-6.537,"Coe College","Coe College",,,,,{5CF20E2E-F431-43F4-826F-97F4A81F1D47},0.038,0.364
9,2019/09/07,09:52:39,0,0,"Zach Kammin",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,144.108,-0.652,-3.121,2277.00,206.340,1:0,1.860,0.397,2.288,-28.175,35.015,17.336,1.121,-0.220,132.275,-4.958,-1.364,0.409,,,,,,,,,,,,-12.885,26.025,-0.336,15.240,1.887,1.977,-39.826,-1.064,-2.691,7.855,-4.374,"Coe College","Coe College",,,,,{58D56DEA-04FD-4AFC-A6D0-F9283D64AEB6},0.227,1.149
10,2019/09/07,09:52:51,0,0,"Zach Kammin",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College",,,Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coe College","Coe College",,,,,{9E00C02F-420C-47C9-B708-C795B78B4755},,
