No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
1,2019/09/07,09:50:53,0,0,"Zach Kammin",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,Fastball,,Ball,,,,,,,39.389,-0.336,-1.290,2329.00,198.491,12:30,1.851,0.380,2.119,-0.265,0.397,0.133,1.226,0.152,36.013,-4.405,-0.362,0.421,,,,,,,,,,,,-0.097,0.291,-0.359,15.240,1.883,0.894,-39.227,-0.868,-1.968,7.860,-3.924,"Coe College","Coe College",,,,,{6E1F0E85-1C15-4BEA-B0EC-5B46BB3A4935},-0.159,1.239
2,2019/09/07,09:51:05,0,0,"Zach Kammin",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,39.378,-2.777,-1.588,2304.00,191.093,12:15,1.840,0.358,2.187,-0.157,0.499,0.098,0.606,-0.047,36.261,-6.352,-1.357,0.418,,,,,,,,,,,,-0.072,0.369,-0.344,15.240,1.835,1.256,-39.209,-2.595,-1.463,7.755,-2.350,"Coe College","Coe College",,,,,{CF71E12B-A7AA-4A0E-AA2F-2A5A0B121615},0.037,0.634
3,2019/09/07,09:51:18,0,0,"Zach Kammin",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,39.725,-2.125,-1.575,2290.00,202.307,12:45,1.910,0.384,2.187,-0.325,0.320,0.131,0.778,0.126,36.551,-6.275,-0.255,0.414,,,,,,,,,,,,-0.097,0.237,-0.345,15.240,1.890,0.948,-39.493,-1.866,-1.997,7.615,-4.943,"Coe College","Coe College",,,,,{6A71F9CD-7F87-4BC2-A7F0-27879818320D},-0.128,0.787
4,2019/09/07,09:51:32,0,0,"Zach Kammin",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,40.192,-2.007,-2.676,2406.00,194.656,12:30,1.793,0.343,2.221,-0.230,0.400,0.105,0.688,-0.301,36.976,-6.207,-2.012,0.409,,,,,,,,,,,,-0.077,0.295,-0.299,15.240,1.798,1.875,-39.985,-2.111,-1.629,7.772,-3.580,"Coe College","Coe College",,,,,{21986BEF-DCA9-49F0-9D37-3E092342C2D4},0.302,0.721
5,2019/09/07,09:51:44,0,0,"Zach Kammin",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,40.163,-2.747,-0.870,2369.00,210.280,1:0,1.841,0.332,2.215,-0.281,0.354,0.207,0.571,0.185,36.883,-6.652,-0.162,0.411,,,,,,,,,,,,-0.152,0.260,-0.350,15.240,1.798,0.979,-39.964,-2.282,-3.193,7.920,-4.342,"Coe College","Coe College",,,,,{1E789F98-3DF1-4EF7-861B-6B2901E60372},-0.210,0.597
6,2019/09/07,09:51:57,0,0,"Zach Kammin",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,Changeup,,"Called Strike",,,,,,,34.593,-0.840,-0.986,1597.00,214.794,1:15,1.798,0.357,2.073,-0.457,0.399,0.277,0.823,0.333,31.585,-6.494,0.831,0.479,,,,,,,,,,,,-0.203,0.293,-0.349,15.240,1.832,0.720,-34.435,-1.110,-3.177,5.875,-5.238,"Coe College","Coe College",,,,,{597A7865-BE1D-42B2-BCE3-2FCD6BAD5D74},-0.345,0.812
7,2019/09/07,09:52:09,0,0,"Zach Kammin",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,Changeup,,Ball,,,,,,,34.654,-1.450,-2.711,1697.00,207.687,1:0,1.844,0.413,1.963,-0.574,0.274,0.144,0.447,-0.174,31.996,-8.816,-1.367,0.478,,,,,,,,,,,,-0.105,0.199,-0.340,15.240,1.866,1.523,-34.558,-1.682,-1.663,5.280,-6.641,"Coe College","Coe College",,,,,{ACEC43A6-2892-4DCE-BC2C-E9CEE82341C3},0.172,0.467
8,2019/09/07,09:52:24,0,0,"Zach Kammin",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,Changeup,,Ball,,,,,,,34.675,-1.979,-1.817,1501.00,211.954,1:0,1.819,0.336,2.019,-0.572,0.286,0.179,0.337,-0.038,31.766,-8.901,-0.614,0.480,,,,,,,,,,,,-0.130,0.209,-0.310,15.240,1.787,1.235,-34.497,-1.730,-2.041,5.886,-6.537,"Coe College","Coe College",,,,,{5CF20E2E-F431-43F4-826F-97F4A81F1D47},0.038,0.364
9,2019/09/07,09:52:39,0,0,"Zach Kammin",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Wind Up",,Top,,,,Fastball,,"Called Strike",,,,,,,40.030,-0.652,-3.121,2277.00,206.340,1:0,1.860,0.397,2.288,-0.282,0.350,0.173,1.121,-0.220,36.743,-4.958,-1.364,0.409,,,,,,,,,,,,-0.129,0.260,-0.336,15.240,1.887,1.977,-39.826,-1.064,-2.691,7.855,-4.374,"Coe College","Coe College",,,,,{58D56DEA-04FD-4AFC-A6D0-F9283D64AEB6},0.227,1.149
10,2019/09/07,09:52:51,0,0,"Zach Kammin",{02B4B91D-E816-4EA7-8B5E-D6754BDF04F3},R,"Coe College","Issac Evans",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College",,,Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coe College","Coe College",,,,,{9E00C02F-420C-47C9-B708-C795B78B4755},,
