No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Direction [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]","Hit Spin [rpm]",Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
1,2020/10/13,17:47:11,0,0,"Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Tyler Elliott",{C751F475-2DD6-4A35-9E9F-DB3D744F214B},R,"Coe College",-,,Bottom,,,,"Four Seam Fastball",,,,,,,,,35.995,1.376,-2.484,1810.00,304.691,4:15,1.402,0.558,0.693,-1.569,-0.255,0.392,0.249,0.199,32.865,-9.317,0.208,0.514,28.215,48.477,23.414,326.00,,,,70.454,,,4.810,-0.198,-0.135,-0.457,15.240,1.431,1.285,-34.553,-0.026,-3.173,4.799,-11.976,"Coe College","Coe College",,,,,{8DF499D8-43C2-4883-AD29-BF0031CF56EF},-0.199,0.249
2,2020/10/13,17:47:22,0,0,"Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Tyler Elliott",{C751F475-2DD6-4A35-9E9F-DB3D744F214B},R,"Coe College",-,,Bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coe College","Coe College",,,,,{A91B9C4B-FB13-4D7F-AD76-1CE491649000},,
3,2020/10/13,17:47:39,0,0,"Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College",,,Bottom,,,,Slider,,"Called Strike",,,,,,,31.822,3.912,-1.817,2082.00,33.806,7:15,1.377,0.737,0.582,-1.854,-0.257,-0.160,0.715,0.025,29.229,-8.829,-2.918,0.574,,,,,,,,,,,,0.062,-0.140,-0.651,15.240,1.518,1.077,-31.430,1.220,0.801,5.262,-11.613,"Coe College","Coe College",,,,,{D3214B06-37B9-48A5-B127-9FDAE94A22B1},-0.025,0.715
4,2020/10/13,17:47:50,0,0,"Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College",,,Bottom,,,,Slider,,Ball,,,,,,,32.433,3.484,-0.997,2033.00,33.531,7:0,1.347,0.784,0.429,-1.764,-0.219,-0.140,0.654,0.338,30.124,-8.507,-1.952,0.563,,,,,,,,,,,,0.058,-0.120,-0.733,15.240,1.476,0.637,-32.252,1.013,0.792,5.186,-11.455,"Coe College","Coe College",,,,,{49D5AA3B-8889-43A7-BDD8-FDEFD6437148},-0.338,0.654
5,2020/10/13,17:48:05,0,0,"Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College",,,Bottom,,,,"Four Seam Fastball",,"Swinging Strike",,,,,,,36.860,-1.571,-1.913,1842.00,210.353,1:0,1.665,0.536,0.705,-0.574,0.639,0.383,0.616,0.341,32.989,-5.559,0.757,0.501,,,,,,,,,,,,-0.196,0.323,-0.460,15.240,1.586,0.985,-35.816,-1.300,-3.289,6.920,-4.393,"Coe College","Coe College",,,,,{17C2E34A-8ED3-4035-87BC-010F64337084},-0.341,0.616
6,2020/10/13,17:48:26,0,0,"Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College",,,Bottom,,,,"Four Seam Fastball",,Error,,,,,,,36.267,-1.595,-1.622,1858.00,209.817,1:0,1.724,0.474,0.655,-0.748,0.510,0.293,0.492,0.276,32.952,-6.735,0.402,0.507,41.016,0.381,-9.427,404.00,,,,14.654,,,0.375,-0.149,0.252,-0.408,15.240,1.638,0.837,-35.323,-1.401,-2.450,5.972,-5.659,"Coe College","Coe College",,,,,{68581F15-C61D-487E-A5A5-047C0BFE097B},-0.276,0.492
7,2020/10/13,17:48:59,0,0,"Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Reid Rausch",{E92F47F1-AF4E-4A87-A01A-B4FD2EB310B5},R,"Coe College",,,Bottom,,,,"Four Seam Fastball",,"Swinging Strike",,,,,,,35.284,-0.621,-2.368,1752.00,185.053,12:15,1.647,0.568,0.630,-0.908,0.441,0.040,0.550,-0.110,31.629,-6.878,-2.090,0.527,,,,,,,,,,,,-0.035,0.218,-0.463,15.240,1.601,1.389,-34.119,-0.860,-0.539,6.055,-6.475,"Coe College","Coe College",,,,,{C9A63CE3-C4C0-41C7-BB60-278517875E05},0.110,0.550
8,2020/10/13,17:49:48,0,0,"Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Reid Rausch",{E92F47F1-AF4E-4A87-A01A-B4FD2EB310B5},R,"Coe College",,,Bottom,,,,"Four Seam Fastball",,Ball,,,,,,,36.002,0.066,-1.097,1778.00,184.386,12:15,1.616,0.498,0.623,-0.634,0.647,0.051,1.001,0.216,32.183,-4.327,-0.744,0.515,,,,,,,,,,,,-0.032,0.313,-0.450,15.240,1.606,0.642,-35.004,-0.310,-0.511,6.604,-4.799,"Coe College","Coe College",,,,,{DA1643B6-0BDA-4151-B942-26D05F9BA772},-0.216,1.001
9,2020/10/13,17:50:07,0,0,"Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Reid Rausch",{E92F47F1-AF4E-4A87-A01A-B4FD2EB310B5},R,"Coe College",,,Bottom,,,,Undefined,,Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coe College","Coe College",,,,,{7582457A-DF8C-4CEC-832A-FDA4AE0D16B6},,
10,2020/10/13,17:50:31,0,0,"Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Reid Rausch",{E92F47F1-AF4E-4A87-A01A-B4FD2EB310B5},R,"Coe College",,,Bottom,,,,"Four Seam Fastball",,"Hit by Pitch",,,,,,,36.236,-0.521,0.160,1850.00,183.437,12:0,1.678,0.566,0.617,-0.504,0.760,0.047,1.015,0.661,32.284,-4.021,0.486,0.512,,,,,,,,,,,,-0.021,0.373,-0.574,15.240,1.644,-0.125,-35.234,-0.601,-0.338,6.901,-3.787,"Coe College","Coe College",,,,,{9695BF00-FC9E-493D-BAA7-B1F416451192},-0.661,1.015
11,2020/10/13,17:50:58,0,0,"Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Tyce Johnson",{B6B7971A-4CB1-424E-89E8-FAAE626F4C89},R,"Coe College",,,Bottom,,,,,,Ball,,,,,,,34.779,-1.170,-3.810,1731.00,196.692,12:30,1.755,0.552,0.650,-0.941,0.443,0.137,0.458,-0.467,31.238,-7.650,-2.861,0.534,,,,,,,,,,,,-0.092,0.224,-0.385,15.240,1.684,2.168,-33.647,-1.186,-1.358,5.941,-6.481,"Coe College","Coe College",,,,,{C82DCAAD-E226-4DF1-BC85-0144FD01E7B2},0.467,0.458
12,2020/10/13,17:51:17,0,0,"Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Tyce Johnson",{B6B7971A-4CB1-424E-89E8-FAAE626F4C89},R,"Coe College",,,Bottom,,,,"Four Seam Fastball",,Double,,,,,,,35.878,2.737,-2.561,1762.00,321.744,4:45,1.257,0.668,0.637,-1.663,-0.363,0.285,0.426,0.177,32.632,-8.662,-0.595,0.515,38.009,19.689,11.642,330.00,,,,79.361,,,2.769,-0.150,-0.188,-0.559,15.240,1.346,1.398,-34.785,0.747,-2.408,5.720,-12.815,"Coe College","Coe College",,,,,{9ADF60B7-ECEB-4D09-88A9-7DC368823719},-0.177,0.426
13,2020/10/13,17:52:32,0,0,"Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Creighton Kreshel",{64383C05-F8D1-451C-A3AB-62C2850B805D},R,"Coe College",,,Bottom,,,,"Four Seam Fastball",,Single,,,,,,,35.605,2.021,-2.844,1830.00,322.242,4:45,1.348,0.638,0.628,-1.716,-0.398,0.312,0.247,0.086,32.684,-9.679,-0.699,0.517,36.582,8.782,13.245,390.00,,,,42.461,,,1.313,-0.163,-0.202,-0.516,15.240,1.404,1.546,-34.588,0.274,-2.600,5.349,-13.012,"Coe College","Coe College",,,,,{52EC0D19-F6E0-43F0-A7B4-F0D3E632EFEF},-0.086,0.247
14,2020/10/13,17:52:58,0,0,"Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Jack Allison",{258C8E8B-E0A5-44C0-81F8-A6FFFF79EAFE},R,"Coe College",,,Bottom,,,,Slider,,Ball,,,,,,,31.202,3.541,-3.694,1065.00,45.143,7:30,1.355,0.742,1.121,-1.780,-0.150,-0.163,0.623,-0.512,28.712,-8.904,-4.841,0.574,,,,,,,,,,,,0.060,-0.100,-0.605,15.240,1.459,2.022,-30.264,1.139,0.735,3.950,-11.033,"Coe College","Coe College",,,,,{50040E4D-477F-4AE1-A2ED-A0F9ADF1567B},0.512,0.623
15,2020/10/13,17:53:16,0,0,"Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Jack Allison",{258C8E8B-E0A5-44C0-81F8-A6FFFF79EAFE},R,"Coe College",,,Bottom,,,,"Four Seam Fastball",,"Contact Out",,,,,,,35.119,-1.094,-1.894,1844.00,204.991,12:45,1.569,0.542,0.606,-0.895,0.468,0.220,0.342,0.187,31.694,-7.232,-0.373,0.528,,,,,,,,,,,,-0.116,0.229,-0.460,15.240,1.501,1.005,-34.021,-1.136,-1.769,5.701,-6.307,"Coe College","Coe College",,,,,{A3AD9CBD-2D4B-4908-9880-DFABBED50BCB},-0.187,0.342
16,2020/10/13,17:56:03,0,0,"Tyce Johnson",{B6B7971A-4CB1-424E-89E8-FAAE626F4C89},R,"Coe College","TJ Johnson",{5523E84E-5878-4B20-ACCB-0B59D1E460FC},R,"Coe College",,,Top,,,,"Four Seam Fastball",,Single,,,,,,,36.865,1.267,-0.960,2087.00,355.785,5:45,1.539,0.492,1.131,-1.385,-0.252,0.018,0.527,0.228,33.892,-8.501,-0.830,0.481,39.459,12.655,4.860,386.00,,,,65.845,,,2.032,-0.015,-0.132,-0.458,15.240,1.565,0.598,-36.230,0.123,-0.265,6.391,-12.087,"Coe College","Coe College",,,,,{EA824FBB-CE3A-4801-8344-31ADE49F6D1F},-0.228,0.527
17,2020/10/13,17:56:46,0,0,"Tyce Johnson",{B6B7971A-4CB1-424E-89E8-FAAE626F4C89},R,"Coe College","Jackson Varney",{42704157-3E64-4618-B806-7FA6ECC422CD},R,"Coe College",,,Top,,,,"Four Seam Fastball",,Ball,,,,,,,37.363,-1.569,1.543,2136.00,202.800,12:45,1.576,0.426,1.190,-0.830,0.270,0.119,0.285,0.998,33.872,-7.467,2.398,0.477,,,,,,,,,,,,-0.049,0.154,-0.482,15.240,1.510,-1.044,-36.616,-1.402,-0.856,7.251,-7.107,"Coe College","Coe College",,,,,{BE789A15-5884-4964-939A-1BF9742534E2},-0.998,0.285
18,2020/10/13,17:57:01,0,0,"Tyce Johnson",{B6B7971A-4CB1-424E-89E8-FAAE626F4C89},R,"Coe College","Jackson Varney",{42704157-3E64-4618-B806-7FA6ECC422CD},R,"Coe College",,,Top,,,,"Four Seam Fastball",,Ball,,,,,,,37.245,-2.514,0.064,2179.00,189.027,12:15,1.683,0.577,1.104,-0.344,0.762,0.125,0.597,0.721,33.313,-4.971,0.965,0.481,,,,,,,,,,,,-0.062,0.416,-0.581,15.240,1.586,-0.103,-36.648,-1.778,-1.076,8.171,-2.613,"Coe College","Coe College",,,,,{7663EACF-FB5D-4374-8E3F-5F084D74EF42},-0.721,0.597
19,2020/10/13,17:57:16,0,0,"Tyce Johnson",{B6B7971A-4CB1-424E-89E8-FAAE626F4C89},R,"Coe College","Jackson Varney",{42704157-3E64-4618-B806-7FA6ECC422CD},R,"Coe College",,,Top,,,,"Four Seam Fastball",,"Called Strike",,,,,,,37.324,-1.210,-0.397,2140.00,179.981,12:0,1.709,0.676,1.111,-0.568,0.539,0.000,0.784,0.559,33.721,-5.250,-0.398,0.478,,,,,,,,,,,,-0.003,0.285,-0.662,15.240,1.657,0.254,-36.648,-1.055,-0.049,7.278,-4.814,"Coe College","Coe College",,,,,{3E7A35FA-2220-4EE9-A672-E232A81E2E14},-0.559,0.784
