No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Direction [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]","Hit Spin [rpm]",Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
1,2021/09/08,16:04:35,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Jackson Varney",{045EB90B-4992-4443-AEF7-921EAA57C857},L,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,35.468,-0.388,-2.981,1897.00,246.829,2:15,1.609,0.455,1.804,-0.955,0.143,0.432,0.544,0.043,32.130,-7.472,0.238,0.482,,,,,,,,,,,,-0.258,0.103,-0.386,15.240,1.593,1.679,-35.071,-0.564,-4.094,7.263,-8.168,"Coe College","Coe College",,,,,{0AC72536-B54B-4772-BDCF-FD765FDD3A9B},-0.043,0.544
2,2021/09/08,16:05:01,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Jackson Varney",{045EB90B-4992-4443-AEF7-921EAA57C857},L,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,35.420,2.566,-1.638,1828.00,230.113,1:45,1.664,0.302,1.768,-0.951,0.164,0.263,1.441,0.101,31.391,-4.549,0.333,0.489,,,,,,,,,,,,-0.157,0.096,-0.263,15.240,1.722,0.906,-34.855,1.237,-2.431,7.957,-8.324,"Coe College","Coe College",,,,,{218249D5-62D0-42C9-9300-9C422F7D69CD},-0.101,1.441
3,2021/09/08,16:05:20,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Jackson Varney",{045EB90B-4992-4443-AEF7-921EAA57C857},L,"Coe College","Wind Up",,Top,,,,Slider,,Ball,,,,,,,32.486,4.604,-0.355,1917.00,34.840,7:15,1.570,0.390,1.632,-1.647,-0.294,-0.167,1.243,0.122,29.195,-7.521,-1.593,0.535,,,,,,,,,,,,0.086,-0.166,-0.379,15.240,1.683,0.255,-31.944,2.011,1.129,6.191,-11.987,"Coe College","Coe College",,,,,{D6D45CA0-6920-40A9-8122-54A4A2FA998E},-0.122,1.243
4,2021/09/08,16:05:41,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Jackson Varney",{045EB90B-4992-4443-AEF7-921EAA57C857},L,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Single,,,,,,,35.851,0.712,-2.110,1766.00,227.996,1:30,1.659,0.405,1.791,-0.845,0.236,0.304,1.016,0.111,32.411,-5.556,0.148,0.478,42.801,-4.194,2.736,,,,,8.394,,,0.205,-0.180,0.142,-0.355,15.240,1.671,1.198,-35.378,0.146,-2.926,7.125,-7.500,"Coe College","Coe College",,,,,{AFE2D473-1AAF-4A87-8E27-CD4B976CC478},-0.111,1.016
5,2021/09/08,16:06:18,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Tyce Johnson",{B6B7971A-4CB1-424E-89E8-FAAE626F4C89},L,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Swinging Strike",,,,,,,35.662,3.075,-1.591,2007.00,302.940,4:0,1.529,0.404,1.790,-1.356,-0.259,0.330,1.045,0.284,32.066,-7.006,0.875,0.482,,,,,,,,,,,,-0.192,-0.141,-0.367,15.240,1.596,0.862,-35.113,1.421,-3.045,7.436,-12.052,"Coe College","Coe College",,,,,{2F1F733B-765C-4F11-ADD6-3F527D15CD8E},-0.284,1.045
6,2021/09/08,16:07:00,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Tyce Johnson",{B6B7971A-4CB1-424E-89E8-FAAE626F4C89},L,"Coe College","Wind Up",,Top,,,,Slider,,Ball,,,,,,,32.150,3.499,0.112,2170.00,95.714,9:15,1.646,0.346,1.581,-1.364,0.012,-0.367,1.287,0.012,29.606,-6.412,-2.563,0.534,,,,,,,,,,,,0.193,-0.004,-0.346,15.240,1.733,0.068,-31.830,1.463,2.579,5.040,-9.858,"Coe College","Coe College",,,,,{2626CAF1-8C8E-448A-AF2F-CAA4901E392C},-0.012,1.287
7,2021/09/08,16:07:40,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Tyce Johnson",{B6B7971A-4CB1-424E-89E8-FAAE626F4C89},L,"Coe College","Wind Up",,Top,,,,Slider,,"Swinging Strike",,,,,,,33.197,2.255,-1.323,2179.00,100.479,9:15,1.645,0.424,1.596,-1.287,0.000,-0.212,1.004,-0.167,30.258,-7.152,-2.878,0.520,,,,,,,,,,,,0.102,0.004,-0.386,15.240,1.697,0.835,-32.841,0.831,1.427,6.059,-9.754,"Coe College","Coe College",,,,,{5B6B7F4D-4F63-4FB2-A4B1-6C6CE1259267},0.167,1.004
8,2021/09/08,16:08:04,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Tyce Johnson",{B6B7971A-4CB1-424E-89E8-FAAE626F4C89},L,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Contact Out",,,,,,,36.467,1.165,-2.636,2149.00,239.382,2:0,1.650,0.408,1.819,-0.800,0.240,0.453,1.179,0.116,33.208,-4.760,0.724,0.467,33.912,41.225,19.053,,,,,92.928,,,4.951,-0.264,0.136,-0.348,15.240,1.673,1.500,-36.034,0.453,-4.478,6.869,-7.489,"Coe College","Coe College",,,,,{5BBF8DB1-235D-458A-91C0-93F1A2F6171D},-0.116,1.179
9,2021/09/08,16:08:55,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","James VanHooser",{3CCEB3E4-7E2D-437B-8ED8-206D2AA42EA7},L,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Contact Out",,,,,,,36.075,-1.160,-3.002,2068.00,212.103,1:0,1.703,0.354,1.779,-0.637,0.432,0.294,0.737,-0.203,32.635,-5.875,-0.817,0.475,,,,,,,,,,,,-0.182,0.262,-0.281,15.240,1.670,1.764,-35.611,-0.947,-2.990,7.240,-5.502,"Coe College","Coe College",,,,,{5CEF6D92-A2C3-466F-89B6-18D184D11394},0.203,0.737
10,2021/09/08,16:09:31,0,0,"Jacob Jones",{A3E6529F-172E-487A-8F62-F184E7478F5A},R,"Coe College","Anthony Ranallo",{E1B41505-4205-4EF5-B7F9-BFD8A5AC0C27},R,"Coe College","Wind Up",,Top,,,,Slider,,"Called Strike",,,,,,,32.848,1.666,-1.322,2112.00,120.278,10:0,1.622,0.366,1.661,-1.228,0.085,-0.225,0.870,-0.236,29.712,-7.365,-2.981,0.527,,,,,,,,,,,,0.109,0.057,-0.329,15.240,1.657,0.824,-32.377,0.523,1.479,6.156,-9.038,"Coe College","Coe College",,,,,{3DD4BC24-2CA3-421C-9C73-62897C16498D},0.236,0.870
