No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Direction [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]","Hit Spin [rpm]",Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
1,2021/09/12,10:09:36,0,0,"Drew Osterman",{C3761812-4954-4529-A01F-25615395B63B},R,"Coe College","Joey Sartain",{93C73A6B-2679-498F-90CE-7CA6D97FF73B},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,35.740,-0.258,-3.362,2124.00,329.567,5:0,1.517,0.712,1.793,-1.296,-0.206,0.117,0.148,-0.124,33.566,-9.654,-2.505,0.473,,,,,,,,,,,,-0.081,-0.105,-0.630,15.240,1.502,2.033,-35.318,-0.620,-1.355,5.215,-11.565,"Coe College","Coe College",,,,,{460F155D-0572-4500-92D2-1D3B4FC1E9B9},0.124,0.148
2,2021/09/12,10:09:52,0,0,"Drew Osterman",{C3761812-4954-4529-A01F-25615395B63B},R,"Coe College","Joey Sartain",{93C73A6B-2679-498F-90CE-7CA6D97FF73B},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,35.699,0.889,-3.329,2186.00,196.921,12:30,1.594,0.814,1.721,-0.671,0.428,0.136,1.176,0.003,32.754,-4.031,-2.328,0.478,,,,,,,,,,,,-0.094,0.233,-0.729,15.240,1.611,2.003,-35.290,0.303,-1.549,6.064,-5.977,"Coe College","Coe College",,,,,{ACE8A049-595C-43BE-ADF1-DFCDACD75122},-0.003,1.176
3,2021/09/12,10:10:09,0,0,"Drew Osterman",{C3761812-4954-4529-A01F-25615395B63B},R,"Coe College","Joey Sartain",{93C73A6B-2679-498F-90CE-7CA6D97FF73B},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,35.361,-1.610,-4.058,2100.00,206.704,1:0,1.482,0.761,1.785,-0.828,0.284,0.156,0.196,-0.234,32.530,-7.678,-2.912,0.482,,,,,,,,,,,,-0.111,0.177,-0.662,15.240,1.436,2.424,-34.940,-1.273,-1.783,6.220,-6.967,"Coe College","Coe College",,,,,{631A5842-8FF1-4054-A889-7D28893FF411},0.234,0.196
4,2021/09/12,10:10:27,0,0,"Drew Osterman",{C3761812-4954-4529-A01F-25615395B63B},R,"Coe College","Joey Sartain",{93C73A6B-2679-498F-90CE-7CA6D97FF73B},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Called Strike",,,,,,,35.384,-0.355,-2.848,2151.00,201.737,12:45,1.629,0.772,1.705,-0.623,0.494,0.203,0.905,0.163,32.731,-4.902,-1.367,0.480,,,,,,,,,,,,-0.125,0.272,-0.699,15.240,1.615,1.669,-35.059,-0.447,-2.037,5.612,-5.369,"Coe College","Coe College",,,,,{4AFEE274-672C-4448-8E61-8731AFDDF208},-0.163,0.905
5,2021/09/12,10:10:42,0,0,"Drew Osterman",{C3761812-4954-4529-A01F-25615395B63B},R,"Coe College","Joey Sartain",{93C73A6B-2679-498F-90CE-7CA6D97FF73B},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Swinging Strike",,,,,,,36.513,-0.889,-3.490,2150.00,202.124,12:45,1.597,0.745,1.770,-0.512,0.529,0.223,0.833,-0.022,33.565,-4.654,-1.849,0.465,,,,,,,,,,,,-0.142,0.300,-0.659,15.240,1.571,2.122,-36.138,-0.749,-2.450,6.345,-4.639,"Coe College","Coe College",,,,,{E7B7A128-604E-4D65-845C-FDA45B170F9D},0.022,0.833
6,2021/09/12,10:11:00,0,0,"Drew Osterman",{C3761812-4954-4529-A01F-25615395B63B},R,"Coe College","Joey Sartain",{93C73A6B-2679-498F-90CE-7CA6D97FF73B},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,35.677,0.883,-1.517,2110.00,221.267,1:30,1.580,0.691,1.676,-0.760,0.344,0.327,1.073,0.585,32.515,-4.696,0.891,0.481,,,,,,,,,,,,-0.185,0.192,-0.653,15.240,1.598,0.813,-35.291,0.261,-3.009,6.602,-6.681,"Coe College","Coe College",,,,,{75AD4BBA-03E7-4679-8C1A-A97B6C028584},-0.585,1.073
7,2021/09/12,10:11:34,0,0,"Drew Osterman",{C3761812-4954-4529-A01F-25615395B63B},R,"Coe College","Daniel Hawes",{FA841584-9742-4351-A30A-4D84AAB259FD},R,"Coe College","Wind Up",,Top,,,,Changeup,,Ball,,,,,,,32.864,2.732,-3.076,1965.00,283.705,3:30,1.302,1.004,1.642,-1.461,-0.141,0.415,0.624,0.539,29.855,-7.966,-0.023,0.526,,,,,,,,,,,,-0.243,-0.075,-0.924,15.240,1.365,1.594,-32.342,1.040,-3.307,5.800,-10.822,"Coe College","Coe College",,,,,{05C17FC6-2481-4ED0-B70F-A5C7C528B56C},-0.539,0.624
8,2021/09/12,10:11:56,0,0,"Drew Osterman",{C3761812-4954-4529-A01F-25615395B63B},R,"Coe College","Daniel Hawes",{FA841584-9742-4351-A30A-4D84AAB259FD},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Called Strike",,,,,,,36.291,-0.024,-3.642,2277.00,222.972,1:30,1.570,0.791,1.775,-0.711,0.348,0.352,0.852,0.110,32.973,-5.276,-1.036,0.471,,,,,,,,,,,,-0.216,0.203,-0.703,15.240,1.564,2.153,-35.806,-0.269,-3.615,6.903,-6.402,"Coe College","Coe College",,,,,{71182135-CD91-48FD-B197-A44BA8492C70},-0.110,0.852
9,2021/09/12,10:12:20,0,0,"Drew Osterman",{C3761812-4954-4529-A01F-25615395B63B},R,"Coe College","Daniel Hawes",{FA841584-9742-4351-A30A-4D84AAB259FD},R,"Coe College","Wind Up",,Top,,,,Slider,,"Called Strike",,,,,,,30.181,4.208,-2.729,2111.00,72.460,8:30,1.315,0.918,1.783,-1.687,-0.154,-0.414,0.822,-0.269,27.978,-8.133,-5.766,0.564,,,,,,,,,,,,0.205,-0.097,-0.848,15.240,1.407,1.544,-29.810,1.692,2.398,4.365,-10.944,"Coe College","Coe College",,,,,{27337429-F13E-4BAA-9927-C67AF49A2A5B},0.269,0.822
10,2021/09/12,10:13:01,0,0,"Drew Osterman",{C3761812-4954-4529-A01F-25615395B63B},R,"Coe College","Daniel Hawes",{FA841584-9742-4351-A30A-4D84AAB259FD},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Swinging Strike",,,,,,,35.895,-0.762,-4.741,2163.00,209.522,1:0,1.543,0.843,1.776,-0.725,0.360,0.215,0.602,-0.288,33.041,-6.071,-3.168,0.474,,,,,,,,,,,,-0.145,0.208,-0.727,15.240,1.519,2.860,-35.414,-0.731,-2.407,6.008,-6.365,"Coe College","Coe College",,,,,{A15B0A96-7466-4AC0-A126-1B40B7943EC2},0.288,0.602
