No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]","Hit Spin [rpm]",Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s˛]","ay [m/s˛]","az [m/s˛]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
1,2020/02/04,14:39:49,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Cody Deardorff",{5825CA3E-8C65-4A22-BB6F-34970076BD73},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,37.694,-0.861,-1.246,1826.00,208.982,1:0,1.401,-0.627,1.701,-0.743,0.255,0.130,0.413,-0.402,34.072,-6.349,-0.283,0.456,,,,,,,,,,,,-0.080,0.155,-0.595,15.240,1.373,0.762,-37.346,-0.847,-1.430,8.374,-7.022,"Coe College","Coe College",,,,,{A9D5DF47-3506-4798-BF5E-9EFCE09307FC},-0.402,0.413
2,2020/02/04,14:40:01,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Cody Deardorff",{5825CA3E-8C65-4A22-BB6F-34970076BD73},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Called Strike",,,,,,,37.555,0.665,-3.244,1925.00,251.087,2:15,1.377,-0.680,1.621,-0.900,0.118,0.260,0.668,-0.011,33.614,-5.988,-1.316,0.462,,,,,,,,,,,,-0.167,0.072,-0.592,15.240,1.388,2.001,-37.120,0.075,-2.937,8.808,-8.531,"Coe College","Coe College",,,,,{92679610-5FBB-4862-9E40-8640DC3DE4EF},-0.011,0.668
3,2020/02/04,14:40:15,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Cody Deardorff",{5825CA3E-8C65-4A22-BB6F-34970076BD73},R,"Coe College","Wind Up",,Top,,,,Slider,,"Swinging Strike",,,,,,,33.698,1.303,-2.555,2379.00,270.465,3:0,1.509,-0.756,1.537,-1.262,0.015,0.063,0.622,-0.084,30.639,-7.901,-2.093,0.515,,,,,,,,,,,,-0.053,0.010,-0.683,15.240,1.535,1.464,-33.335,0.286,-0.764,6.464,-9.669,"Coe College","Coe College",,,,,{111CBC6C-01DE-4552-8378-1F9BB7F4C224},-0.084,0.622
4,2020/02/04,14:40:27,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Cody Deardorff",{5825CA3E-8C65-4A22-BB6F-34970076BD73},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,Ball,,,,,,,38.416,0.006,-5.544,2067.00,275.071,3:15,1.379,-0.628,1.785,-1.032,-0.073,0.410,0.348,0.536,34.650,-7.648,-2.495,0.447,,,,,,,,,,,,-0.268,-0.028,-0.494,15.240,1.372,3.527,-37.910,-0.379,-4.956,8.781,-10.319,"Coe College","Coe College",,,,,{B1D0C5EE-3569-4137-A46B-22BDAED4CF27},0.536,0.348
5,2020/02/04,14:40:41,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Cody Deardorff",{5825CA3E-8C65-4A22-BB6F-34970076BD73},R,"Coe College","Wind Up",,Top,,,,Slider,,"Called Strikeout",,,,,,,34.156,1.527,-2.047,2471.00,216.882,1:15,1.477,-0.857,1.686,-1.151,0.068,-0.027,0.762,-0.247,30.911,-6.968,-2.243,0.504,,,,,,,,,,,,-0.002,0.038,-0.803,15.240,1.509,1.218,-33.815,0.498,-0.037,6.872,-9.248,"Coe College","Coe College",,,,,{22F6CC12-23C4-4A22-8C23-A93E699F53CA},-0.247,0.762
6,2020/02/04,14:41:10,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Reid Rausch",{E92F47F1-AF4E-4A87-A01A-B4FD2EB310B5},R,"Coe College","Wind Up",,Top,,,,Slider,,Ball,,,,,,,33.822,0.227,-1.398,2451.00,64.858,8:15,1.596,-0.696,1.706,-1.308,-0.070,-0.143,0.352,-0.155,30.724,-9.411,-2.460,0.509,,,,,,,,,,,,0.065,-0.023,-0.658,15.240,1.592,0.867,-33.504,-0.316,0.935,6.938,-10.139,"Coe College","Coe College",,,,,{0D26B7A3-5295-4AA8-9F29-2B1FBAFB20C7},-0.155,0.352
7,2020/02/04,14:41:24,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Reid Rausch",{E92F47F1-AF4E-4A87-A01A-B4FD2EB310B5},R,"Coe College","Wind Up",,Top,,,,Slider,,Ball,,,,,,,33.692,1.242,-4.428,2273.00,243.295,2:0,1.549,-0.834,1.688,-1.203,0.056,-0.045,0.701,0.475,30.515,-7.608,-4.761,0.512,,,,,,,,,,,,-0.012,0.035,-0.717,15.240,1.572,2.593,-33.279,0.309,-0.176,6.719,-9.312,"Coe College","Coe College",,,,,{C0289199-0670-4EA1-81BC-772FA665E58E},0.475,0.701
8,2020/02/04,14:41:38,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Reid Rausch",{E92F47F1-AF4E-4A87-A01A-B4FD2EB310B5},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Called Strike",,,,,,,37.648,0.566,-4.116,2014.00,260.257,2:45,1.345,-0.698,1.674,-0.948,0.061,0.264,0.558,0.213,33.851,-6.442,-2.161,0.459,,,,,,,,,,,,-0.176,0.041,-0.590,15.240,1.352,2.574,-37.199,0.001,-3.123,8.574,-9.084,"Coe College","Coe College",,,,,{65CB31A7-F48F-4820-AA08-BB31CDF1F349},0.213,0.558
9,2020/02/04,14:41:52,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Reid Rausch",{E92F47F1-AF4E-4A87-A01A-B4FD2EB310B5},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Swinging Strike",,,,,,,38.356,0.407,-3.115,2068.00,280.486,3:15,1.398,-0.623,1.608,-1.041,-0.063,0.228,0.474,0.042,34.849,-7.218,-1.440,0.450,,,,,,,,,,,,-0.145,-0.028,-0.538,15.240,1.401,1.972,-37.952,-0.159,-2.700,8.301,-10.331,"Coe College","Coe College",,,,,{0868508D-1F04-4A97-912F-D0EEF825C6D0},0.042,0.474
10,2020/02/04,14:42:07,0,0,"TJ Deardorff",{6A29FB93-962B-45F0-A55E-F36B60F13EC7},R,"Coe College","Reid Rausch",{E92F47F1-AF4E-4A87-A01A-B4FD2EB310B5},R,"Coe College","Wind Up",,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,38.567,0.791,-2.267,1936.00,251.306,2:30,1.605,-0.551,1.700,-0.861,0.093,0.203,0.969,-0.108,34.624,-5.600,-0.760,0.447,,,,,,,,,,,,-0.128,0.056,-0.493,15.240,1.619,1.432,-38.177,0.190,-2.390,9.125,-8.752,"Coe College","Coe College",,,,,{19796273-CF14-49E1-B4DC-93A24028AA7F},-0.108,0.969
