No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Col28,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
1,2019/02/12,14:40:55,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Dvante Glenn",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College",Stretch,,Top,,,,"Four Seam Fastball",,Ball,,,,,,,28.450,2.851,-6.462,1653.00,100.308,9:15,1.259,0.675,2.111,-1.701,0.057,-0.313,0.355,-1.439,25.419,-9.946,-8.312,0.599,,,,,,,,,,,,-0.306,0.523,-0.563,15.240,1.298,3.391,-27.991,1.086,0.730,5.615,-9.950,"Coe College","Coe College",,,,,{A406979E-8F2E-40A1-A018-324BAAE1899F},1.434,0.365
2,2019/02/12,14:41:09,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Dvante Glenn",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College",Stretch,,Top,,,,"Four Seam Fastball",,"Swinging Strike",,,,,,,35.383,2.017,-2.752,1799.00,30.146,7:0,1.267,0.463,2.320,-1.138,-0.038,-0.022,0.682,-0.313,31.458,-6.659,-2.640,0.474,,,,,,,,,,,,-0.399,0.195,-0.476,15.240,1.252,2.399,-34.903,1.307,-3.354,8.228,-11.795,"Coe College","Coe College",,,,,{A1EDBDD7-50B0-4501-A441-92AF34FD7127},0.260,0.666
3,2019/02/12,14:41:23,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Dvante Glenn",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College",Stretch,,Top,,,,"Four Seam Fastball",,Ball,,,,,,,35.408,2.436,-3.599,1885.00,280.638,3:15,1.233,0.737,2.346,-1.215,-0.127,0.675,0.686,0.428,31.567,-6.949,1.253,0.471,,,,,,,,,,,,-0.589,0.086,-0.701,15.240,1.234,2.158,-34.991,1.619,-7.175,8.140,-13.226,"Coe College","Coe College",,,,,{8A81EA8D-5AC1-40B5-8EE9-2CEE0BCE03F7},-0.450,0.652
4,2019/02/12,14:41:38,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Dvante Glenn",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College",Stretch,,Top,,,,"Four Seam Fastball",,Ball,,,,,,,36.348,2.596,-7.833,1764.00,281.399,3:30,1.274,0.555,2.050,-1.276,-0.155,0.770,0.729,-0.870,31.783,-6.883,-2.195,0.478,,,,,,,,,,,,-0.981,0.270,-0.428,15.240,1.331,5.027,-35.036,1.029,-9.836,7.968,-10.805,"Coe College","Coe College",,,,,{529CD558-44A9-43A3-B2AA-2F7760925036},0.833,0.733
5,2019/02/12,14:41:58,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Dvante Glenn",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College",Stretch,,Top,,,,"Four Seam Fastball",,Ball,,,,,,,36.185,1.921,-5.127,1707.00,235.341,1:45,1.330,0.522,2.012,-0.939,0.191,0.277,0.930,-0.636,31.594,-5.140,-3.088,0.480,,,,,,,,,,,,-0.643,0.277,-0.475,15.240,1.353,3.688,-35.004,1.253,-5.780,8.334,-10.359,"Coe College","Coe College",,,,,{D5FD3F97-E252-4F07-B56F-A7B4C9642591},0.591,0.892
6,2019/02/12,14:42:12,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Dvante Glenn",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College",Stretch,,Top,,,,"Four Seam Fastball",,Ball,,,,,,,36.143,2.218,-3.982,1812.00,122.939,10:0,1.282,0.546,2.062,-0.952,0.150,-0.231,0.949,-0.795,31.946,-5.015,-5.423,0.474,,,,,,,,,,,,-0.500,0.235,-0.511,15.240,1.295,3.504,-35.332,1.475,-3.598,8.501,-10.667,"Coe College","Coe College",,,,,{4DCE416E-5589-4998-89D3-730CD77B674D},0.681,0.915
7,2019/02/12,14:42:27,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Dvante Glenn",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College",Stretch,,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,34.989,2.927,-3.382,1793.00,236.696,2:0,1.256,0.569,2.194,-0.953,0.190,0.290,1.113,-0.076,30.960,-4.361,-1.282,0.483,,,,,,,,,,,,-0.286,0.235,-0.466,15.240,1.281,1.712,-34.502,1.854,-2.333,8.191,-10.346,"Coe College","Coe College",,,,,{0F3E8B20-A51F-4611-84F1-4F61538BCD96},0.069,1.067
8,2019/02/12,14:42:49,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Dvante Glenn",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College",Stretch,,Top,,,,"Four Seam Fastball",,"Called Strikeout",,,,,,,35.912,2.193,-4.547,1846.00,266.535,3:0,1.289,0.536,2.282,-1.047,0.021,0.343,0.846,-0.372,31.998,-5.802,-2.058,0.467,,,,,,,,,,,,-0.515,0.160,-0.479,15.240,1.298,2.941,-35.453,1.503,-4.787,8.582,-11.981,"Coe College","Coe College",,,,,{29A65476-C7DE-4DFA-B3E1-1286330F8331},0.350,0.807
9,2019/02/12,14:43:22,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Michael Jahnke",{26748E14-6DFD-400F-84BB-1E75C1A1DBD5},R,"Coe College",Stretch,,Top,,,,"Four Seam Fastball",,"Called Strike",,,,,,,36.459,2.031,-4.083,1802.00,244.450,2:15,1.316,0.563,2.188,-0.911,0.143,0.299,0.967,-0.267,32.359,-4.897,-1.861,0.464,,,,,,,,,,,,-0.462,0.219,-0.493,15.240,1.325,2.649,-35.798,1.406,-4.454,8.325,-10.928,"Coe College","Coe College",,,,,{CB85C6AA-E801-4223-BADB-BA8E64A4D1FE},0.236,0.910
10,2019/02/12,14:43:36,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Michael Jahnke",{26748E14-6DFD-400F-84BB-1E75C1A1DBD5},R,"Coe College",Stretch,,Top,,,,"Four Seam Fastball",,Ball,,,,,,,35.565,1.979,-5.580,1703.00,313.215,4:30,1.271,0.541,2.335,-1.259,-0.172,0.183,0.555,-0.807,31.737,-7.534,-3.926,0.471,,,,,,,,,,,,-0.649,0.176,-0.475,15.240,1.287,3.935,-35.043,1.075,-5.458,8.597,-12.451,"Coe College","Coe College",,,,,{98E1C2FA-A614-4BF0-9BE5-A4F9A3CA425F},0.734,0.536
11,2019/02/12,14:43:50,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Michael Jahnke",{26748E14-6DFD-400F-84BB-1E75C1A1DBD5},R,"Coe College",Stretch,,Top,,,,Slider,,Single,,,,,,,28.274,3.333,-1.078,1695.00,144.769,10:45,1.358,0.575,2.001,-1.183,0.606,-0.428,1.108,-0.155,24.971,-5.620,-4.445,0.604,39.024,8.400,7.727,,,,,57.996,,,1.805,0.192,0.641,-0.539,15.240,1.409,0.482,-27.947,1.579,2.780,5.599,-8.011,"Coe College","Coe College",,,,,{AD31E5F6-E2A9-458D-9764-F9AF75C0B26E},0.159,1.049
12,2019/02/12,14:44:21,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Colton Knox",{49B61A5C-1745-4445-9ADC-3312A5A6F38B},L,"Coe College",Stretch,,Top,,,,"Four Seam Fastball",,"Foul Ball",,,,,,,36.287,1.071,-3.736,1736.00,264.848,2:45,1.411,0.631,2.233,-1.030,0.037,0.414,0.676,0.016,32.143,-6.747,-0.658,0.466,,,,,,,,,,,,-0.377,0.332,-0.528,15.240,1.418,2.022,-35.630,0.507,-3.752,8.940,-10.335,"Coe College","Coe College",,,,,{290C2C74-9F10-4281-A9A7-E0C4EBDBE7F4},-0.003,0.655
13,2019/02/12,14:44:35,0,0,"Jared Gordon",{BAB0D9E0-A7CE-4460-B335-32D3A8E5EB91},R,"Coe College","Colton Knox",{49B61A5C-1745-4445-9ADC-3312A5A6F38B},L,"Coe College",Stretch,,Top,,,,"Four Seam Fastball",,Ball,,,,,,,36.339,1.229,-10.119,1324.00,275.921,3:15,1.325,0.752,2.111,-1.261,-0.158,1.526,0.410,-0.559,32.035,-8.129,0.849,0.474,,,,,,,,,,,,-1.780,0.412,-0.553,15.240,1.341,6.836,-35.061,0.087,-21.644,7.513,-9.698,"Coe College","Coe College",,,,,{FE6EA9DD-1F2B-4F3D-B91A-AD90A4BA4ED5},0.359,0.440
