No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]","Hit Spin [rpm]",Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
1,2020/02/15,08:37:31,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","JT Henry",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Wind Up",,Bottom,,,,"Four Seam Fastball",,Ball,,,,,,,37.007,-1.555,-3.035,1761.00,252.966,2:30,1.682,-0.493,1.651,-0.967,0.079,0.363,0.270,0.011,33.791,-8.622,-0.359,0.465,,,,,,,,,,,,-0.216,0.062,-0.414,15.240,1.632,1.800,-36.621,-1.372,-3.761,7.598,-8.733,"Coe College","Coe College",,,,,{C0DCEE81-BD7F-49BF-AA6A-919688D75B30},0.011,0.270
2,2020/02/15,08:37:45,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","JT Henry",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Wind Up",,Bottom,,,,"Four Seam Fastball",,Ball,,,,,,,36.608,1.404,-1.151,1903.00,285.739,3:30,1.645,-0.421,1.678,-1.137,-0.076,0.310,0.908,-0.403,33.189,-6.982,1.143,0.470,,,,,,,,,,,,-0.175,-0.041,-0.393,15.240,1.673,0.612,-36.264,0.458,-2.965,7.776,-10.497,"Coe College","Coe College",,,,,{1606FD63-5087-4CFE-A5AD-A7D505248AD1},-0.403,0.908
3,2020/02/15,08:38:00,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","JT Henry",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Wind Up",,Bottom,,,,"Four Seam Fastball",,Ball,,,,,,,37.106,-1.226,-5.096,1805.00,260.060,2:45,1.647,-0.459,1.731,-0.975,0.060,0.459,0.322,0.534,33.889,-8.382,-1.716,0.462,,,,,,,,,,,,-0.284,0.048,-0.332,15.240,1.608,3.097,-36.654,-1.152,-4.960,7.443,-8.974,"Coe College","Coe College",,,,,{917CC67C-15E1-4145-8EFF-75DA1F4737BB},0.534,0.322
4,2020/02/15,08:38:16,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","JT Henry",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Wind Up",,Bottom,,,,"Four Seam Fastball",,Ball,,,,,,,36.815,1.174,-2.591,1810.00,260.462,2:45,1.635,-0.478,1.693,-0.973,0.077,0.288,0.997,-0.028,33.311,-6.010,-0.456,0.467,,,,,,,,,,,,-0.175,0.042,-0.412,15.240,1.659,1.540,-36.448,0.380,-2.999,7.802,-9.087,"Coe College","Coe College",,,,,{62CE8F5A-78B9-4F67-9164-97859F67426A},-0.028,0.997
5,2020/02/15,08:38:35,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","JT Henry",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Wind Up",,Bottom,,,,Slider,,"Called Strike",,,,,,,30.625,0.976,-2.241,2164.00,24.886,6:45,1.729,-0.643,1.604,-1.705,-0.173,-0.148,0.304,0.147,28.188,-11.410,-3.325,0.564,,,,,,,,,,,,0.060,-0.085,-0.579,15.240,1.742,1.235,-30.318,-0.045,0.719,5.344,-10.813,"Coe College","Coe College",,,,,{C32BC358-8109-42AD-897C-D1F5384DDB54},0.147,0.304
6,2020/02/15,08:38:52,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","JT Henry",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Wind Up",,Bottom,,,,"Four Seam Fastball",,"Called Strikeout",,,,,,,37.584,-1.188,-3.017,1848.00,259.306,2:45,1.644,-0.401,1.680,-0.989,0.020,0.261,0.316,0.198,34.401,-8.427,-1.094,0.456,,,,,,,,,,,,-0.161,0.026,-0.323,15.240,1.605,1.859,-37.212,-1.159,-2.909,7.670,-9.337,"Coe College","Coe College",,,,,{11B55F8D-A75D-4E1B-B0D9-61EA330459E8},0.198,0.316
7,2020/02/15,08:39:17,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","JT Henry",{0D9F25CD-2CFF-4600-A512-164EBCF4B760},R,"Coe College","Wind Up",,Bottom,,,,Slider,,"Swinging Strike",,,,,,,31.319,-0.214,-3.456,2233.00,318.588,4:30,1.726,-0.658,1.582,-1.585,-0.113,-0.010,0.080,0.344,29.103,-11.632,-3.526,0.550,,,,,,,,,,,,-0.020,-0.051,-0.560,15.240,1.706,1.875,-30.997,-0.660,-0.246,5.109,-10.453,"Coe College","Coe College",,,,,{198F13E6-81F6-46A0-AE5E-A9F347A4E97B},0.344,0.080
8,2020/02/15,08:39:32,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Jared White",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College","Wind Up",,Bottom,,,,"Four Seam Fastball",,Ball,,,,,,,37.351,-1.283,-2.241,1925.00,280.444,3:15,1.687,-0.436,1.681,-1.174,-0.153,0.503,0.147,-0.300,34.321,-9.847,1.469,0.459,,,,,,,,,,,,-0.285,-0.065,-0.380,15.240,1.644,1.253,-37.000,-1.284,-5.067,7.640,-10.962,"Coe College","Coe College",,,,,{AC22654C-FEE2-4D15-9B16-46EE7529E3D3},-0.300,0.147
9,2020/02/15,08:39:47,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Jared White",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College","Wind Up",,Bottom,,,,Changeup,,Ball,,,,,,,34.042,-1.704,-3.339,1173.00,250.875,2:15,1.680,-0.474,1.543,-1.175,0.078,0.310,0.013,0.177,31.286,-10.201,-1.073,0.509,,,,,,,,,,,,-0.187,0.061,-0.380,15.240,1.619,1.847,-33.662,-1.449,-2.764,6.259,-8.904,"Coe College","Coe College",,,,,{6225B192-74BD-4992-B25E-6FF780CABB1F},0.177,0.013
10,2020/02/15,08:40:01,0,0,"Alex Timp",{9182D56F-DF6F-47EC-8B03-157C22AE79F6},R,"Coe College","Jared White",{2931A5E4-AF8B-41F2-B2DD-179D1E7E7993},R,"Coe College","Wind Up",,Bottom,,,,"Four Seam Fastball",,Ball,,,,,,,37.190,-0.320,-3.886,1789.00,263.629,2:45,1.665,-0.506,1.717,-0.989,0.038,0.424,0.585,0.177,33.951,-7.591,-0.757,0.461,,,,,,,,,,,,-0.256,0.029,-0.408,15.240,1.649,2.339,-36.803,-0.580,-4.507,7.501,-9.288,"Coe College","Coe College",,,,,{4B3CCF8D-4AB0-4B49-9998-1A8CF7627590},0.177,0.585
