No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Notes,"Pitch Speed [m/s]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Direction [°]","Pitch Spin Tilt","Pitch Release Height [m]","Pitch Release Side [m]","Pitch Extension [m]","Pitch Break (V) [m]","Pitch Break Ind (V) [m]","Pitch Break (H) [m]","Pitch Strike Zone - Height [m]","Pitch Strike Zone - Offset [m]","Pitch Zone Speed [m/s]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [m/s]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]","Hit Spin [rpm]",Col51,Col52,Col53,"Hit Carry Distance [m]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [m]","pfxz [m]","x0 [m]","y0 [m]","z0 [m]","vx0 [m/s]","vy0 [m/s]","vz0 [m/s]","ax [m/s²]","ay [m/s²]","az [m/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [m]","pz [m]"
1,2022/02/16,12:30:21,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Wind Up",,Bottom,,,,"Four Seam Fastball",,,,,,,,,25.075,7.821,1.037,1944.00,154.090,11:15,2.309,0.679,1.221,-2.205,0.246,-0.145,,,22.544,-7.904,-0.006,,,,,,,,,,,,,0.081,0.095,-0.713,15.240,2.552,-0.395,-24.375,2.652,0.627,3.226,-9.071,"Coe College","Coe College",,,,,{EECD1C6F-9815-4496-A174-28F9C7AA3A0A},-0.838,2.410
2,2022/02/16,12:30:34,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Wind Up",,Bottom,,,,"Four Seam Fastball",,,,,,,,,25.705,3.731,-5.323,2025.00,291.553,3:45,1.944,0.926,1.318,-2.471,-0.198,0.333,0.565,-0.296,23.635,-13.848,-2.927,0.691,,,,,,,,,,,,-0.211,-0.097,-0.755,15.240,2.038,2.240,-25.152,0.875,-1.733,3.625,-10.602,"Coe College","Coe College",,,,,{7D2D9886-34CC-4EA0-A31E-FF55E9ECF6E2},0.296,0.565
3,2022/02/16,12:30:58,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Wind Up",,Bottom,,,,"Four Seam Fastball",,,,,,,,,25.618,1.081,-0.148,1733.00,185.196,12:15,2.432,0.656,1.290,-1.727,0.566,0.056,1.020,0.669,23.429,-11.220,0.258,0.692,,,,,,,,,,,,-0.030,0.308,-0.652,15.240,2.447,0.047,-25.085,-0.073,-0.244,3.414,-7.279,"Coe College","Coe College",,,,,{BFFEA246-31DE-4320-95C1-17E5507D0001},-0.669,1.020
4,2022/02/16,12:31:20,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Wind Up",,Bottom,,,,"Four Seam Fastball",,,,,,,,,26.860,1.371,-0.783,2228.00,202.165,12:45,2.198,0.644,1.345,-1.809,0.261,0.125,0.788,0.541,24.653,-11.537,0.118,0.657,,,,,,,,,,,,-0.069,0.147,-0.620,15.240,2.222,0.319,-26.324,0.042,-0.629,3.697,-8.476,"Coe College","Coe College",,,,,{137652C2-DA5B-4D5C-B6F6-63737AD6263A},-0.541,0.788
5,2022/02/16,12:31:55,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Wind Up",,Bottom,,,,Curveball,,,,,,,,,22.577,6.874,-2.056,1678.00,52.038,7:45,2.136,0.888,1.441,-3.309,-0.412,-0.389,0.826,-0.096,20.929,-16.787,-4.895,0.783,,,,,,,,,,,,0.185,-0.217,-0.820,15.240,2.314,0.894,-22.119,1.814,1.158,3.062,-11.167,"Coe College","Coe College",,,,,{C7600EF6-A1CB-4E13-BBCE-82DB444FB691},0.096,0.826
6,2022/02/16,12:32:10,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Wind Up",,Bottom,,,,Curveball,,,,,,,,,23.736,2.177,-4.163,2312.00,114.863,9:45,2.223,0.716,1.433,-2.392,0.198,-0.630,0.463,-1.120,,,,0.740,,,,,,,,,,,,0.292,0.134,-0.581,15.240,2.265,1.877,-23.410,0.236,2.052,3.425,-8.866,"Coe College","Coe College",,,,,{C4CE3BCC-45BA-4D6F-AFFE-D4A859745A85},1.120,0.463
7,2022/02/16,12:32:47,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Wind Up",,Bottom,,,,"Four Seam Fastball",,,,,,,,,25.382,1.031,-2.591,1682.00,146.813,11:0,2.197,0.494,1.244,-1.748,0.598,-0.432,0.750,-0.696,23.286,-11.345,-5.680,0.701,,,,,,,,,,,,0.199,0.327,-0.400,15.240,2.210,1.262,-24.858,-0.110,1.602,3.437,-7.182,"Coe College","Coe College",,,,,{A85BFE63-26AF-40C0-86FD-51BAB8287617},0.696,0.750
8,2022/02/16,12:33:01,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Wind Up",,Bottom,,,,"Four Seam Fastball",,,,,,,,,25.964,3.631,-4.996,2143.00,332.602,5:0,1.989,0.514,1.300,-2.623,-0.408,0.175,0.431,-0.771,24.036,-14.968,-3.736,0.683,,,,,,,,,,,,-0.129,-0.202,-0.350,15.240,2.079,2.173,-25.499,0.790,-1.085,3.825,-11.500,"Coe College","Coe College",,,,,{F7B2A085-EA75-4508-8122-7DCE2F677946},0.771,0.431
9,2022/02/16,12:33:32,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Wind Up",,Bottom,,,,"Four Seam Fastball",,,,,,,,,26.411,0.308,-1.456,2572.00,141.332,10:45,2.193,0.487,1.294,-1.557,0.585,-0.509,0.726,-0.447,24.271,-10.755,-5.116,0.669,,,,,,,,,,,,0.249,0.322,-0.432,15.240,2.185,0.826,-25.963,-0.369,2.182,3.715,-6.983,"Coe College","Coe College",,,,,{DFDD5101-3CD4-4EB6-98DB-34826086D467},0.447,0.726
10,2022/02/16,12:34:15,0,0,"Ryan Baranowski",{CCB698DA-817E-466D-AF5F-77FCC3E3F24F},R,"Coe College","Matthew Mittlemark",{F1CA4E41-9289-433F-B1A9-C61AA504C0DA},R,"Coe College","Wind Up",,Bottom,,,,"Four Seam Fastball",,,,,,,,,26.329,-1.014,-0.984,1710.00,139.216,10:45,2.355,0.444,1.420,-1.519,0.596,-0.568,0.543,-0.409,24.227,-11.855,-5.106,0.666,,,,,,,,,,,,0.286,0.348,-0.408,15.240,2.308,0.620,-25.912,-0.926,2.492,3.839,-6.774,"Coe College","Coe College",,,,,{210A7474-48A4-4522-9EAD-1AFA7D39F196},0.409,0.543
