"batterID","Year","Runs.Created","Runs.Start","Runs.End","Avg.Runs","N"
"",2017,-14.12,0.75,0.44,0.1,69
"",2018,-8.72,0.66,0.38,0.1,49
"alleghenyBonnett",2017,0.45,1.13,1.35,0,2
"alleghenyBristol",2017,-0.87,0.6,0.33,0.14,7
"alleghenyCarone",2017,-2.15,0.79,0.43,0,6
"alleghenyDawson",2017,1.07,0.93,0,2,1
"alleghenyDiMaggio",2017,2.64,0.63,0.73,0.29,7
"alleghenyFlaherty",2017,1.36,0.77,0.53,0.43,7
"alleghenyOrr",2017,-0.4,1.15,0.66,0.4,5
"alleghenyPawlak",2017,3.15,0.63,0.86,0.4,5
"alleghenyShannon",2017,0.5,0.7,0.82,0,4
"alleghenyShick",2017,0.6,0.46,0.56,0,6
"alleghenyWagner",2017,0.75,0.85,0.82,0.12,8
"andersonButcher",2017,-1.32,0.5,0.17,0,4
"andersonButcher",2018,1.11,0.64,0.92,0,4
"andersonCain",2017,-0.33,0.22,0.06,0,2
"andersonCain",2018,0.15,0.37,0.42,0,3
"andersonCornelius",2017,0.31,0.88,1.19,0,1
"andersonDavis",2017,-0.44,0.39,0.17,0,2
"andersonHall-Manley",2017,-1.35,1.71,1.04,0,2
"andersonKidd",2017,1.15,1.13,1.71,0,2
"andersonMorgan",2017,-0.41,0.94,0.23,0.5,2
"andersonMorgan",2018,-0.07,0.36,0.34,0,4
"andersonPaschal",2017,-0.25,1.32,1.19,0,2
"andersonPaschal",2018,-1,0.7,0.55,0,7
"andersonRolfsen",2017,0.48,0.66,1.13,0,1
"andersonSanders",2017,-0.59,0.82,0.67,0,4
"andersonSanders",2018,2.91,0.44,0.17,1,4
"andersonSchebler",2017,-0.99,1.43,0.94,0,2
"andersonTurner",2017,-0.32,0.66,0.33,0,1
"andersonWilloughby",2017,-0.09,0.73,0.7,0,3
"andersonWilson",2017,0.41,0.58,0.68,0,4
"augustanaAmundsen",2017,1.37,0.54,0.61,0.2,5
"augustanaAvella",2017,-0.48,1.13,0.65,0,1
"augustanaJoy",2017,0.82,0.52,0.73,0,4
"augustanaKairis",2017,0.96,0.6,0.59,0.2,5
"augustanaLoeffl",2017,0.85,0.71,0.42,0.5,4
"augustanaMoraski",2017,-0.35,0.5,0.43,0,5
"augustanaMosele",2017,-0.49,0.76,0.55,0.14,7
"augustanaNunez",2017,0.1,0.6,0.45,0.17,6
"augustanaRuh",2017,-0.55,0.68,0.25,0.33,6
"augustanaWallace",2017,-0.15,0.69,0.66,0,5
"auroraBeale",2017,-0.49,0.62,0.38,0,2
"auroraCherven",2017,-0.55,1.32,0.82,0.4,5
"auroraDavis",2017,1.93,0.95,0.85,0.3,10
"auroraDavis",2018,1.93,0.96,0.94,0.5,4
"auroraDeSpain",2017,-0.89,1.47,0.58,0,1
"auroraDeSpain",2018,-2.57,0.74,0.37,0,7
"auroraFidler",2017,-0.56,0.91,0.66,0.2,10
"auroraGregory",2017,0.04,0.65,0.65,0,5
