Player ,teamID,avg ,gp,gs ,ab ,r ,h ,2b ,3b ,hr ,rbi ,tb ,slg% ,bb ,hbp ,so ,gdp ,ob% ,sf ,sh ,sb,att ,year
Tony Coppola,SIM,0.471,38,38,136,43,64,10,2,10,32,108,0.794,9,3,11,2,0.503,3,0,13,20,2002
Greg Torgerson,WAR,0.457,43,43,138,59,63,12,2,10,61,109,0.79,33,12,18,1,0.587,1,0,1,2,2002
Emile Shaffer,UIU,0.429,31,29,105,26,45,9,0,7,39,75,0.714,9,0,12,0,0.474,0,0,1,2,2002
Andy Walker,SIM,0.427,38,38,124,38,53,5,5,4,31,80,0.645,14,4,13,2,0.497,1,1,11,13,2002
Nick Beard,BVU,0.422,38,38,135,48,57,17,4,12,58,118,0.874,20,6,22,0,0.512,1,1,19,22,2002
Bobby Glaser,UIU,0.421,37,37,145,41,61,12,0,11,52,106,0.731,10,1,7,1,0.462,0,0,3,6,2002
Kyle Bassett,COE,0.407,41,41,145,46,59,14,1,8,34,99,0.683,14,12,14,1,0.491,2,1,4,7,2002
Travis Wielenga,BVU,0.4,37,35,135,44,54,10,0,1,18,67,0.496,15,5,34,0,0.474,1,0,26,28,2002
P.J. Garcia,UIU,0.397,39,39,136,35,54,13,1,3,31,78,0.574,19,4,13,0,0.47,5,1,3,6,2002
Ian Harden,COR,0.396,36,36,106,24,42,7,0,2,20,55,0.519,12,3,7,2,0.467,1,0,3,5,2002
Nate Iverson,COE,0.396,41,41,134,32,53,16,0,4,38,81,0.604,18,6,13,1,0.484,1,3,14,17,2002
Tim Vinyard,COE,0.389,41,41,131,35,51,13,3,11,38,103,0.786,24,0,27,0,0.478,2,0,7,8,2002
Jude Burger,WAR,0.385,44,44,161,59,62,8,2,2,37,80,0.497,24,9,13,2,0.485,2,0,34,40,2002
J.R. Taylor,UIU,0.382,38,38,136,35,52,12,1,6,35,84,0.618,14,3,19,2,0.448,1,0,1,2,2002
Chet Knake,COR,0.367,36,36,120,32,44,11,1,4,29,69,0.575,9,6,15,2,0.437,0,0,8,10,2002
John Jaeger,LUT,0.366,33,33,112,24,41,6,0,9,29,74,0.661,9,3,18,0,0.427,0,0,6,6,2002
Brett Firzlaff,DBQ,0.366,31,31,93,22,34,5,1,1,17,44,0.473,8,1,17,0,0.417,1,2,8,9,2002
Scott Sibbel,SIM,0.364,38,38,132,38,48,6,8,6,39,88,0.667,12,2,13,1,0.422,1,3,4,6,2002
Matt Menninga,CEN,0.36,36,36,125,22,45,9,0,7,39,75,0.6,7,4,14,2,0.403,3,0,1,4,2002
