Team  ,teamID,avg ,G ,ab ,r ,h ,2b ,3b ,hr ,rbi ,tb ,slg% ,bb ,hbp ,so ,gdp ,ob% ,sf ,sh ,sb,att ,a ,e ,fld% ,year
Buena Vista Univ.,BVU,0.33,38,1188,296,392,78,9,29,252,575,0.484,138,43,205,3,0.415,11,13,79,91,339,81,0.935,2002
Buena Vista Univ.,BVU,0.304,39,1195,250,363,72,5,31,220,538,0.45,148,40,214,8,0.396,9,18,43,56,397,94,0.93,2003
Buena Vista Univ.,BVU,0.296,39,1132,271,335,61,4,22,226,470,0.415,162,34,210,7,0.396,12,21,50,61,357,85,0.932,2004
Buena Vista Univ.,BVU,0.308,41,1239,274,382,67,16,26,236,559,0.451,129,48,209,20,0.39,16,24,67,79,398,74,0.945,2005
Buena Vista Univ.,BVU,0.282,38,1154,187,326,44,1,21,169,435,0.377,110,39,203,25,0.361,11,16,31,41,361,79,0.939,2006
Buena Vista Univ.,BVU,0.288,34,1046,177,301,49,4,11,151,391,0.374,140,29,208,15,0.382,14,33,31,46,386,53,0.957,2007
Buena Vista Univ.,BVU,0.296,34,1003,206,297,53,7,26,176,442,0.441,125,26,195,13,0.383,16,21,54,67,321,62,0.945,2008
Buena Vista Univ.,BVU,0.322,41,1287,347,415,78,21,27,297,616,0.479,154,49,221,13,0.409,22,28,92,107,439,81,0.944,2009
Buena Vista Univ.,BVU,0.346,45,1462,370,506,89,11,29,336,704,0.482,157,43,193,25,0.419,23,38,92,108,502,64,0.96,2010
Buena Vista Univ.,BVU,0.304,52,1679,322,511,92,20,27,301,724,0.431,155,46,260,18,0.374,22,53,77,92,570,91,0.953,2011
Buena Vista Univ.,BVU,0.294,43,1397,255,411,57,13,8,219,518,0.371,132,34,214,23,0.366,13,33,70,86,432,84,0.946,2012
Buena Vista Univ.,BVU,0.295,42,1364,214,403,70,14,6,178,519,0.38,117,34,207,20,0.363,12,30,43,59,425,63,0.959,2013
Buena Vista Univ.,BVU,0.322,46,1548,330,498,91,23,16,299,683,0.441,160,49,241,20,0.399,15,28,58,72,452,72,0.957,2014
Buena Vista Univ.,BVU,0.301,41,1291,219,389,62,18,17,190,538,0.417,103,34,226,14,0.365,12,32,33,52,431,61,0.959,2015
Buena Vista Univ.,BVU,0.327,44,1466,360,480,101,16,46,329,751,0.512,177,60,277,15,0.417,18,24,63,81,496,67,0.959,2016
Buena Vista Univ.,BVU,0.286,43,1438,226,411,74,13,16,207,559,0.389,130,46,266,22,0.36,17,23,55,68,450,73,0.955,2017
