Team  ,teamID,era ,w,l ,cg ,sho ,cbo,ip ,ha,ra,er ,bb ,so ,2b ,3b ,hr ,ab ,b/avg ,wp ,hbp ,bk ,sfa ,sha ,year
Buena Vista Univ.,BVU,7.43,24,14,12,3,0,276,372,280,228,167,202,70,7,34,1174,0.317,33,27,2,5,21,2002
Buena Vista Univ.,BVU,7.29,15,24,8,1,1,281.1,422,319,228,140,190,81,5,34,1238,0.341,25,38,4,9,17,2003
Buena Vista Univ.,BVU,6.71,18,21,3,0,0,271,370,257,202,152,187,67,9,29,1162,0.318,28,41,4,8,24,2004
Buena Vista Univ.,BVU,6.25,18,22,7,2,0,291,326,261,202,169,169,57,17,31,1171,0.278,43,48,3,17,17,2005
Buena Vista Univ.,BVU,5.99,14,24,10,1,0,282.1,370,282,188,158,185,71,14,24,1180,0.314,26,55,5,15,22,2006
Buena Vista Univ.,BVU,5.36,18,16,7,3,1,267,336,187,159,108,140,61,11,10,1093,0.307,33,35,4,12,18,2007
Buena Vista Univ.,BVU,5.64,17,17,3,2,1,249,296,205,156,146,170,61,8,15,1008,0.294,59,50,6,11,19,2008
Buena Vista Univ.,BVU,5.25,27,14,2,1,0,312,354,245,182,142,158,68,8,24,1267,0.279,17,56,7,11,20,2009
Buena Vista Univ.,BVU,4.33,32,13,4,1,1,349.1,390,214,168,146,233,52,4,22,1383,0.282,36,47,2,12,18,2010
Buena Vista Univ.,BVU,3.82,34,18,6,3,1,426.2,425,241,181,159,341,59,10,9,1653,0.257,38,52,8,9,46,2011
Buena Vista Univ.,BVU,3.97,24,19,11,6,0,342.1,348,226,151,147,296,62,7,9,1355,0.257,22,57,3,9,22,2012
Buena Vista Univ.,BVU,3.45,23,19,5,3,2,344.1,333,179,132,151,264,57,8,2,1315,0.253,31,42,4,10,31,2013
Buena Vista Univ.,BVU,2.64,37,9,10,6,3,378.2,315,172,111,150,408,46,4,5,1413,0.223,50,24,1,15,22,2014
Buena Vista Univ.,BVU,3.65,25,16,5,1,1,327.2,332,183,133,132,284,59,0,9,1266,0.262,36,45,1,10,30,2015
Buena Vista Univ.,BVU,4.54,33,11,7,3,2,356.2,366,227,180,166,265,75,8,16,1380,0.265,38,44,1,16,26,2016
Buena Vista Univ.,BVU,3.46,26,17,2,4,3,364,354,197,140,148,231,61,3,10,1372,0.258,49,46,6,20,27,2017
Central College,CEN,6.05,15,23,11,2,0,269.1,330,237,181,119,175,57,8,27,1097,0.301,18,30,4,16,22,2002
Central College,CEN,6.99,12,24,5,1,0,249.2,321,239,194,142,172,68,5,29,1046,0.307,24,45,3,13,12,2003
Central College,CEN,7.99,20,22,10,1,0,305.1,420,321,271,148,173,73,12,41,1288,0.326,20,52,1,18,31,2004
Central College,CEN,5.8,21,17,10,1,0,276,352,251,178,118,149,66,7,33,1159,0.304,26,38,6,16,21,2005
Central College,CEN,4.7,26,14,9,2,1,310,375,212,162,98,194,52,5,12,1253,0.299,20,28,6,15,30,2006
Central College,CEN,4.24,19,20,10,2,0,312,324,194,147,153,197,54,7,16,1200,0.27,39,33,4,16,33,2007
Central College,CEN,5.17,22,21,7,5,3,325.2,393,241,187,147,223,62,8,13,1303,0.302,39,37,10,24,25,2008
