"count" "Runs.Created" "Runs.Start" "Runs.End" "Avg.Runs" "Hit" "Walk" "Single" "Double" "Triple" "HR" "N" "RC.AB" "BA" "Slg"
"0-0" 86.84 0.75 0.62 0.2 420 69 289 94 14 23 1209 0.07 0.368 0.536
"0-1" 20.25 0.72 0.58 0.17 198 33 146 39 7 6 647 0.03 0.322 0.438
"0-2" -97.78 0.71 0.42 0.13 107 9 80 19 4 4 612 -0.16 0.177 0.242
"1-0" 28.31 0.69 0.57 0.17 215 28 152 47 7 9 658 0.04 0.341 0.481
"1-1" 17.52 0.66 0.52 0.16 198 20 138 48 7 5 622 0.03 0.329 0.457
"1-2" -167.41 0.67 0.42 0.09 178 30 144 31 2 1 1052 -0.16 0.174 0.211
"2-0" 11.61 0.63 0.51 0.18 73 5 55 15 2 1 208 0.06 0.36 0.468
"2-1" 10.22 0.75 0.58 0.2 125 9 91 25 5 4 373 0.03 0.343 0.473
"2-2" -123.78 0.66 0.43 0.09 169 29 133 33 2 1 887 -0.14 0.197 0.244
"3-0" 61.05 0.66 0.99 0.04 1 163 1 0 0 0 170 0.36 0.143 0.143
"3-1" 96.73 0.69 0.81 0.11 57 234 33 17 2 5 418 0.23 0.31 0.505
"3-2" 75.8 0.66 0.63 0.11 143 298 106 29 4 4 847 0.09 0.26 0.35
