No,Date,Time,"PA of Inning","Pitch of PA",Pitcher,"Pitcher ID","Pitcher Handedness","Pitcher Team",Batter,"Batter ID","Batter Handedness","Batter Team","Pitch Set",Col15,Top/Bottom,Col17,Col18,Col19,"Pitch Type",Col21,"Pitch Call",Col23,Col24,Col25,Col26,Col27,Col28,"Pitch Speed [mph]","Pitch Launch (V) [°]","Pitch Launch (H) [°]","Pitch Spin [rpm]","Pitch Spin Axis [°]","Pitch Spin Tilt","Pitch Release Height [ft]","Pitch Release Side [ft]","Pitch Extension [ft]","Pitch Break (V) [in]","Pitch Break Ind (V) [in]","Pitch Break (H) [in]","Pitch Strike Zone - Height [ft]","Pitch Strike Zone - Offset [ft]","Pitch Zone Speed [mph]","Pitch Approach (V) [°]","Pitch Approach (H) [°]","Pitch Time [s]","Hit Ball Speed [mph]","Hit Ball Launch (V) [°]","Hit Ball Launch (H) [°]",Col50,Col51,Col52,Col53,"Hit Carry Distance [ft]",Col55,Col56,"Hit Ball Flight Time [s]","pfxx [in]","pfxz [in]","x0 [ft]","y0 [ft]","z0 [ft]","vx0 [ft/s]","vy0 [ft/s]","vz0 [ft/s]","ax [ft/s²]","ay [ft/s²]","az [ft/s²]","Home Team","Away Team",Col71,Col72,Col73,Col74,GUID,"px [ft]","pz [ft]"
1,2018/11/09,12:58:48,0,0,"Leroy Jenkins (#99)",{5FC70E33-B934-4C81-992F-99B56A097ECC},R,Test,"Luke ",{C21D94AD-B6B3-4083-95E6-2674830A93FC},R,Test,-,,Bottom,,,,,,,,,,,,,67.663,0.626,0.550,1568.00,175.792,11:45,5.464,0.321,1.449,-11.886,61.757,-4.543,5.103,0.496,59.304,-1.770,-0.207,0.618,,,,,,,,,,,,5.678,44.690,-0.292,50.001,5.607,-1.393,-97.693,0.534,4.418,19.992,-6.475,Test,Test,,,,,{EA600007-E457-42BD-9ED4-5705F039111A},-0.423,5.024
2,2018/11/09,12:58:55,0,0,"Leroy Jenkins (#99)",{5FC70E33-B934-4C81-992F-99B56A097ECC},R,Test,"Luke ",{C21D94AD-B6B3-4083-95E6-2674830A93FC},R,Test,-,,Bottom,,,,,,,,,,,,,66.361,4.185,2.110,1627.00,102.707,9:30,4.029,0.329,1.598,-67.993,7.624,-33.814,2.573,-0.371,58.846,-7.906,-3.214,0.626,,,,,,,,,,,,9.379,17.610,-0.712,50.001,4.519,-0.717,-96.150,4.691,9.142,18.949,-31.621,Test,Test,,,,,{AA2DFA90-B844-488A-8DAD-7A07C5BECB25},0.162,2.649
3,2018/11/09,12:59:01,0,0,"Leroy Jenkins (#99)",{5FC70E33-B934-4C81-992F-99B56A097ECC},R,Test,"Luke ",{C21D94AD-B6B3-4083-95E6-2674830A93FC},R,Test,-,,Bottom,,,,,,,,,,,,,66.141,4.714,1.075,1563.00,158.709,11:15,3.900,-0.502,1.528,-62.262,14.546,-5.668,3.459,0.106,58.251,-6.243,0.056,0.631,,,,,,,,,,,,11.570,20.939,0.349,50.001,4.495,-2.694,-95.485,5.346,8.730,18.518,-27.504,Test,Test,,,,,{75582A47-303A-467D-BD70-1803D5DDD04C},0.141,3.500
4,2018/11/09,12:59:07,0,0,"Leroy Jenkins (#99)",{5FC70E33-B934-4C81-992F-99B56A097ECC},R,Test,"Luke ",{C21D94AD-B6B3-4083-95E6-2674830A93FC},R,Test,-,,Bottom,,,,,,,,,,,,,65.730,2.944,1.205,,162.823,11:30,4.443,-0.209,1.576,-42.475,34.907,-10.790,3.862,0.102,57.885,-4.656,-0.852,0.633,,,,,,,,,,,,12.299,27.584,0.039,50.001,4.792,-2.520,-94.818,3.987,9.591,17.950,-22.670,Test,Test,,,,,{AA693EE4-92DD-43C8-A8E8-4FD3614E77FE},0.049,3.724
5,2018/11/09,12:59:13,0,0,"Leroy Jenkins (#99)",{5FC70E33-B934-4C81-992F-99B56A097ECC},R,Test,"Luke ",{C21D94AD-B6B3-4083-95E6-2674830A93FC},R,Test,-,,Bottom,,,,,,,,,,,,,65.568,6.485,-0.692,1565.00,270.073,3:0,2.998,0.089,1.594,-78.214,-0.017,13.597,3.015,0.527,57.720,-7.184,1.655,0.636,,,,,,,,,,,,-5.746,10.776,-0.023,50.001,3.847,0.564,-94.456,7.819,-5.267,17.167,-35.376,Test,Test,,,,,{FBF40D39-2DDC-4F43-BCE4-93CFD61FEAF1},-0.466,3.011
6,2018/11/09,12:59:23,0,0,"Leroy Jenkins (#99)",{5FC70E33-B934-4C81-992F-99B56A097ECC},R,Test,"Luke ",{C21D94AD-B6B3-4083-95E6-2674830A93FC},R,Test,-,,Bottom,,,,,,,,,,,,,66.817,-0.165,4.556,1612.00,147.452,11:0,5.549,-1.139,1.472,-15.566,60.450,-38.582,4.085,0.237,58.540,-3.312,-1.907,0.627,,,,,,,,,,,,25.311,44.871,0.500,50.001,5.506,-6.258,-96.076,-0.419,18.794,19.780,-9.275,Test,Test,,,,,{4B4B22A6-4EEE-4782-85E4-7D3559A8214A},-0.199,4.013
7,2018/11/09,12:59:35,0,0,"Leroy Jenkins (#99)",{5FC70E33-B934-4C81-992F-99B56A097ECC},R,Test,"Luke ",{C21D94AD-B6B3-4083-95E6-2674830A93FC},R,Test,-,,Bottom,,,,,,,,,,,,,67.551,3.707,0.263,1616.00,181.819,12:0,4.221,0.312,1.396,-49.131,25.051,0.796,3.864,0.642,59.320,-5.019,0.439,0.620,,,,,,,,,,,,1.174,25.754,-0.329,50.001,4.707,-0.639,-97.329,4.240,0.434,19.420,-22.674,Test,Test,,,,,{6F8E27DE-C70A-4603-A6B9-D20D84EDF12B},-0.601,3.874
8,2018/11/09,12:59:42,0,0,"Leroy Jenkins (#99)",{5FC70E33-B934-4C81-992F-99B56A097ECC},R,Test,"Luke ",{C21D94AD-B6B3-4083-95E6-2674830A93FC},R,Test,-,,Bottom,,,,,,,,,,,,,66.412,4.737,-0.729,1563.00,197.527,12:30,3.515,0.300,1.575,-56.397,18.433,5.821,3.581,0.054,58.880,-5.244,0.277,0.622,,,,,,,,,,,,-4.561,19.425,-0.197,50.001,4.148,1.142,-96.439,5.984,-3.444,17.465,-27.694,Test,Test,,,,,{99A0A217-47D2-4E05-AEB2-24AFC530DFCF},-0.068,3.518
9,2018/11/09,12:59:51,0,0,"Leroy Jenkins (#99)",{5FC70E33-B934-4C81-992F-99B56A097ECC},R,Test,"Luke ",{C21D94AD-B6B3-4083-95E6-2674830A93FC},R,Test,-,,Bottom,,,,,,,,,,,,,66.397,6.017,-1.963,1647.00,265.974,2:45,3.124,0.530,2.019,-72.662,1.810,25.710,3.087,0.717,58.723,-6.632,2.822,0.621,71.020,31.921,-0.128,,,,,242.736,,,3.802,-13.590,12.688,-0.274,50.001,3.915,2.350,-95.843,7.150,-11.530,16.751,-33.733,Test,Test,,,,,{F88D3581-7483-425C-9F1B-7FEB70DDD9BE},-0.621,3.043
10,2018/11/09,13:00:05,0,0,"Leroy Jenkins (#99)",{5FC70E33-B934-4C81-992F-99B56A097ECC},R,Test,"Luke ",{C21D94AD-B6B3-4083-95E6-2674830A93FC},R,Test,-,,Bottom,,,,,,,,,,,,,67.017,4.068,0.591,1613.00,151.601,11:0,4.037,0.121,1.435,-55.488,19.457,-10.520,3.513,-0.161,59.034,-5.679,-1.508,0.623,,,,,,,,,,,,5.742,21.251,-0.247,50.001,4.567,-0.636,-96.703,4.895,5.424,18.577,-27.072,Test,Test,,,,,{E4A3F16A-6D8D-433A-AAB1-AE7BFBE85F30},0.153,3.461
