attendance,date,game_id,game_number,home_batter_1,home_batter_10,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_10,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_10,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_10,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,winning_pitcher
135,"Mar 16, 2008",loruwsp2,2,Adam Gross,NA,Nick Olberding,Alex Miklo,Don Pirkle,Clark Egdorf,John Schroeder,Brock Schneden,Tyler Shireman,Ben Kuebel,4,6,Clark Egdorf,7,0030030,cf,NA,ss,2b,1b,dh/p,c,rf,lf,3b,Kevin Moriarity,"loras college
",Loras College, (1-0),,7.0,Y,Moriarity (1-1),"Port Charlotte, FLA (N. Charlotte County)",1:45 PM   ,2:40   ,,#9 wis.-stevens point,#9 Wis.-Stevens Point,J. Hojnacki,NA,Archambeau,B. Frank,D. Coe,J. Surman,T Schlosser,S. Larsen,G. Bloom,J. Bushong,3,17,K. Thompson,15,4140233,cf,NA,rf,1b,dh,lf,2b,3b,c,ss,J. Delorit,J
115,"Mar 18, 2008",cenaug1,1,Anthony Bazant,NA,Jake Jadlowski,Michael Edwards,Derek Knutson,Jeremy Kippley,Caleb Rangel,Blake Smith,B.J. Pilling,Ben Tressel,2,5,Jeremy Kippley,3,0212000,cf,NA,ss,lf,c,1b/p,rf,dh,2b,3b,Adam Squires,"central college
",Central College,Squires (0-2),,7.0,Y,Urseth,"Mesa, Ariz. (Gene Autry Field)",11:30 am   ,2:30   ,,augsburg (minn.),Augsburg (Minn.),Stomberg,NA,E.Olson,Henry,Andersen,Ludwig,Davis,Blunt,Williamson,Rasmussen,2,6,Urseth,11,0005100,cf,NA,ss,c,1b,dh,3b,2b,rf,lf,Urseth,None
100,"Mar 13, 2008",coesew,,Irwin,NA,Morris,Burns,Pogue,Hinkle,Dean,Cassedy,Pederson,Reilly,3,6,Burns,9,410001000,3b,NA,cf,p,ss,c,lf,1b,rf,2b,Burns,sewanee,Sewanee,Burns (),,9.0,Y,Gaynor (4),"Orlando, Fla. (Sperling Park)",1:30 pm   ,  ,,"coe college
",Coe College,Tyler McAllister,NA,R Baranowski,Cody Smith,Pat Richmond,Ryan Schisler,Nick McKenzie,Trent Svehla,Nick Robertson,Eric Hanna,3,10,Mike Gaynor,18,230020120,c,NA,2b/ss,cf,1b,dh,3b,lf,rf,ss,Alec Lewis,Lewis (1-1)
299,"Apr 26, 2008",corlor2,2,Adam Gross,NA,Nick Olberding,Clark Egdorf,Don Pirkle,John Schroeder,Brock Schneden,Tim Andrews,Alex Miklo,Ben Kuebel,1,13,Nick Miller,14,228001X,cf,NA,ss,dh,1b,c,rf,lf,2b,3b,Kevin Moriarity,"loras college
",Loras College,Bose (4-2),,7.0,Y,,"Dubuque, Iowa (Petrakis Park)",3:40   ,2:15   ,,"cornell college
",Cornell College,Michael Tierney,NA,Ben Rudman,Casey Korn,Tyler Downing,Anthony Cozzi,Michael Thompson,Matthew Bliven,Cameron Gallegos,,1,3,Jeff Boyle,8,2010000,cf,NA,lf,3b/ss,1b,rf,c,ss,2b,,Jim Bose,Moriarity (5-4)
97,"Apr 13, 2008",cordbq1,1,Michael Tierney,NA,Tad Barry,Casey Korn,Tyler Downing,Matthew Shimanovsky,Ben Rudman,Andy Krekel,Matthew Bliven,Cameron Gallegos,0,8,Michael Bartine,11,01000250X,cf,NA,rf,3b,1b,dh,lf,c,ss,2b,Jim Bose,"cornell college
",Cornell College,"Doonan, C",,9.0,Y,,"Mount Vernon, Iowa (Ash Park Field)",3:10 PM   ,2:27   ,HP: Ted Timbrook  2B: Woody Mill,"dubuque, univ. of","Dubuque, Univ. of",Stryder Morissette,NA,Michael Ramos,Alex Martinez,Danny Cantu,Chris Duran,Alex Larson,Theodore Bishop,Ron Manthe,Chris Dahle,4,6,Tony Bladel,16,011001120,2b,NA,cf,1b,ss,3b,rf,dh,c,lf,Cody Doonan,Bose (4-1)
98,"May 04, 2008",cendbq2,1,Stryder Morissette,NA,Michael Ramos,Alex Martinez,Danny Cantu,Chris Duran,Alex Larson,Matt Lampugnano,Bill Albee,Justin Shaffer,3,2,Andy Crane,4,0020000,2b,NA,cf,3b,ss,1b,c,rf,dh,lf/rf,Cody Doonan,"dubuque, univ. of","Dubuque, Univ. of","Doonan, C",,7.0,Y,,"Dubuque, Iowa (Chlapaty Field)",1 p.m.   ,2:00   ,HP: Blair Gleason  1B: Kyle Knutt,"central college
",Central College,Ben Tressel,NA,Caleb Rangel,Michael Edwards,Derek Knutson,Anthony Bazant,Jake Jadlowski,Blake Smith,Justin Owens,Jared Lackey,0,7,Dayton Glasgow,11,0222001,3b,NA,dh,1b,lf,cf,ss,c,2b,rf,Dayton Glasgow,Glasgow (6-1)
55,"Apr 01, 2008",cenlor1,1,Adam Gross,NA,Alex Miklo,Nick Olberding,Tim Andrews,John Schroeder,Don Pirkle,Brock Schneden,Nathan Roling,Ben Kuebel,2,10,Matt Barilla,9,321103X,cf,NA,2b,ss,lf,c,1b,rf,dh,3b,Bryan Geertgens,"loras college
",Loras College,Squires (1-3),,7.0,Y,,"Dubuque, IA (Petrakis Park)",3:30   ,1:55   ,,"central college
",Central College,Ben Tressel,NA,Anthony Bazant,Jake Jadlowski,Michael Edwards,Caleb Rangel,Derek Knutson,Blake Smith,Justin Owens,Aaron Heffernan,4,6,Jeremy Kippley,7,5001000,3b,NA,rf,ss,1b,lf,c,dh,2b,cf,Adam Squires,Barilla (2-3)
100,"Mar 09, 2008",bvumidl2,,Jacoby,NA,Womack,Huggins,Koehn,Willis,Hampton,McCain,Drumm,Stouffer,2,2,Stosich,4,00011000,2b,NA,lf,1b,3b,rf,cf,dh,ss,c,Burdine,midland lutheran,Midland Lutheran,Stosich (),,8.0,Y,,Omaha Westside HS,12:00 pm   ,2:20   ,,"buena vista university
",Buena Vista Univ.,Brad Blum,NA,Michael Stephenson,Brandon Pietrzyk,Mark Blum,Kevin Kloewer,Jeff Weisenborn,Steve Johnston,Andy Compton,Tyler Case,2,4,Brandon Pietrzyk,8,00110002,ss,NA,2b,lf,3b,c,dh,1b,rf,cf,Christian Dekker,Pietrzyk (1-0)
75,03/21/08,lorstev,,Rasulo,NA,Skocypec,Ackermann,Frustaci,Meerendonk,Daniele,Andrews,Silva,Girnys,2,0,Sota,6,000000000,cf,NA,rf,c,1b,3b,ss,lf,dh,2b,Picerno,stevens ins. of tech,Stevens Ins. of Tech,Picerno (0-5),,9.0,Y,,"Sarasota, Fla. (Twin Lakes Park)",9:30 am   ,2:20   ,,"loras college
",Loras College,Adam Gross,NA,Alex Miklo,Nick Olberding,Don Pirkle,John Schroeder,Tim Andrews,Brock Schneden,Tyler Shireman,Ben Kuebel,1,6,Tim Carty,13,100100310,cf,NA,2b,ss,1b,c,dh,rf,lf,3b,Tim Carty,Carty (2-0)
105,"Mar 16, 2008",cenham3,,Anthony Bazant,NA,Jake Jadlowski,Michael Edwards,Derek Knutson,Jeremy Kippley,Caleb Rangel,Blake Smith,David Lakin,Ben Tressel,2,8,Dayton Glasgow,12,0010130012,cf,NA,ss,lf,c,1b,rf,dh,2b,3b,Kyle Fuerstenburg,"central college
",Central College,"Martin, B ()",,10.0,Y,,"Chandler, Ariz. (Sneidler Field)",9:10 am   ,2:35   ,,hamline (minn.),Hamline (Minn.),"Kaczrowski,",NA,"Grupe, J","Bennett, A","Smith, B",Humerickhous,"Hughes, L","Rogers, T","McGee, J","Fuller, S",3,7,"Martin, B",12,2101001101,ss,NA,lf,cf,rf,1b,c,dh,2b,3b,"Huls, K",Glasgow (1-0)
