attendance,date,game_id,game_number,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
100,"Mar 15, 2009",bvugac2,2,Brad Blum,Mark Blum,Michael Hoffman,Kevin Kloewer,Steve Johnston,Garrett Hill,Tyler Case,Michael Stephenson,,1,11,Chris Bireline,9,001046X,ss,3b,lf,c,1b,rf,cf,2b,,Brandon Pietrzyk,"buena vista university
",Buena Vista Univ.,A. Bren,,7.0,Y,,"Storm Lake, Iowa (BVU/SL Baseball Fiel)",3:30pm   ,2:30   ,,"gustavus adolphus
",Gustavus Adolphus,M. DesLaurie,N. Ruff,T. Herman,Al. Woitas,M. Morgan,An. Woitas,C. Eul,A. Bartz,G. Lane,1,8,K. Hagen,8,0300320,ss,2b,3b,1b,c,cf,dh,lf,rf,B. Knoll,,Chris Bireline
203,"May 02, 2009",corlor2,1,David Bartine,Matt Pfister,Michael Tierney,Casey Korn,Andrew Patzke,Ryan Clausen,Matthew Shimanovsky,Andy Krekel,Ryan Fincham,2,18,Justin Brown,14,112112(10),rf,dh,cf,ss,3b,1b,2b,c,lf,Jeff Boyle,"cornell college
",Cornell College,Nick Olberding,,7.0,Y,,"Mount Vernon, Iowa (Ash Park Field)",1:00 PM   ,2:40   ,,"loras college
",Loras College,Alex Miklo,Nick Olberding,Ben Kuebel,Clark Egdorf,John Schroeder,Austin Brown,BJ Juergens,Tyler Shireman,Adam Gross,4,17,Nick Olberding,17,0124064,2b,ss/p,3b/ss,1b,c,lf,dh,rf,cf,Austin Safranski,,Justin Brown
93,"Apr 24, 2009",cordbq1,,Chris Duran,Bill Albee,Evan Bierman,Shadi Abuhakmeh,Alex Larson,Jeffrey Stevens,Michael Hoppman,Caleb Russell,Orlando Mejia,6,3,Cole Freese,9,100200000,rf,1b,3b,c,cf,lf,dh,2b,ss,Mark Hennessy,"dubuque, univ. of","Dubuque, Univ. of",Jordan Skaar,,9.0,Y,,"Dubuque, Iowa (Chlapaty Field)",3 p.m.   ,2:20   ,HP: Paul Keitel  1B: Taylor Umand,"cornell college
",Cornell College,David Bartine,Matt Pfister,Casey Korn,Andrew Patzke,Matthew Shimanovsky,J.T. Pells,Andy Krekel,Jesse Searls,Ryan Fincham,1,10,David Bartine,17,000110044,rf/p,lf,1b,3b,ss,dh,c,2b,cf,Jeff Boyle, sunny 82,David Bartine
150,"Apr 11, 2009",cendbq2,1,Ben Tressel,Mike Furlong,Caleb Rangel,Derek Knutson,Jarred Lackey,Anthony Miller,Jason Hassman,Josh Stanton,Tyler Wivinis,2,8,Doug Eisenman,8,1070000,cf,2b,lf,dh,rf,3b,1b,c,ss,Corey Eisenmann,"central college
",Central College,Doug Eisenman,,7.0,Y,,"Pella, Iowa (A.N. Kuyper Field)",1 p.m.   ,2:35   ,HP: Eric Thornton  1B: Jay Wichmann,"dubuque, univ. of","Dubuque, Univ. of",Chris Duran,Richard Garcia,Evan Bierman,Jesse Ramirez,Shadi Abuhakmeh,Alex Larson,Chris Hylland,Orlando Mejia,,0,12,Blayke Conway,13,2002206,1b,lf,3b,c,rf,cf,2b,ss,,Justin Ramos,,Blayke Conway
100,"Mar 27, 2009",cenlor1,,Ben Tressel,Mike Furlong,Caleb Rangel,Jarred Lackey,Derek Knutson,Anthony Miller,Blake Smith,Dave Lakin,Tyler Wivinis,0,9,D.J. Glasgow,12,03000330X,cf,2b,lf,rf,1b,3b,c,dh,ss,D.J. Glasgow,"central college
",Central College,Cole Boge,,9.0,Y,,"Pella, Iowa (Kuyper Athl. Complex)",3 pm   ,4:57   ,HP: Kevin Benzing  1B: Randy Schult,"loras college
",Loras College,Adam Gross,Ben Kuebel,Nick Olberding,Clark Egdorf,John Schroeder,BJ Juergens,Austin Brown,Tyler Shireman,Alex Miklo,1,2,Jay Martin,9,000200000,cf,3b,ss,1b,c,dh,lf,rf,2b,Cole Boge,,D.J. Glasgow
50,"Feb 28, 2009",cenbet2,2,T. Churchill,P. Anderson,S. Flaherty,M. Therrien,B. Tokar,E. Anderson,T. Oesterlin,R. Doheny,Littlefield,4,5,A. Beck,9,2000003,ss,2b,lf,dh,1b,c,cf,rf,3b,K. McCracken,bethel univ. (minn.),Bethel Univ. (Minn.),Caleb Rangel,,7.0,Y,,"Minneapolis, Minn. (Metrodome)",7:58 am   ,2 hrs   ,,"central college
",Central College,Ben Tressel,Mike Furlong,Caleb Rangel,Derek Knutson,Jarred Lackey,Anthony Miller,Dave Lakin,Quinn O'Brien,B.J. Pilling,1,4,Caleb Rangel,6,1100200,cf,ss,lf/p,1b,rf,3b,2b,c,dh,Corey Eisenmann,,A. Beck
,"Mar 14, 2009",simjhu1,1,Corey Rasmussen,Jesse Reis,Chris Jones,Cory Dawson,Dave Johnson,Curt Bjork,Jared Swim,Scott Ethell,Jason Hayes,2,10,Mike Huyser,13,10003420,ss,2b,lf,dh,1b/3b,c,cf,3b,rf,Clint Rhodes,"simpson college
",Simpson College,Mike Huyser,,8.0,Y,,"Phoenix, AZ (Salt River HS)",  ,  ,,#5 johns hopkins univ.,#5 Johns Hopkins Univ.,D Merzel,J Teta,B Youchak,T Emr,J Sikorski,B Walsh,C Huisman,M Aspegren,J Swarr,3,12,R Kahn,18,10204212,2b,ss,cf,3b,1b,rf,dh,lf,c,D Fioretti,,R Kahn
60,"Mar 13, 2009",censov,,Ben Tressel,Mike Furlong,Caleb Rangel,Jarred Lackey,Derek Knutson,Anthony Miller,Blake Smith,Tyler Wivinis,Dave Lakin,0,17,Jarred Lackey,18,505223X,cf,ss,lf,rf/p,1b,dh,c,3b,2b,D.J. Glasgow,"central college
",Central College,Ben Naak.,,7.0,Y,,"Fort Myers, Fla.",4 pm   ,2 hours   ,,southern vermont,Southern Vermont,Dave Gage,Brett Pawlak,Dan Cook,Adam Northup,Eric Wells,P.Warrington,Tim Johnson,Will Warner,Rob Murawski,4,2,Andrew Morin,5,0010010,2b/ss,ss,c,1b,dh,cf,rf,lf,3b,Ben Naak.,,D.J. Glasgow
56,"Apr 01, 2009",corgrn1,,Michael Tierney,Matthew Shimanovsky,Casey Korn,Andrew Patzke,Ryan Clausen,J.T. Pells,Andy Krekel,Nick Weinmeister,Ryan Fincham,2,4,David de Besche,9,000001201,cf,2b/ss,ss/3b,lf,1b,dh,c,3b,rf,Chris Handke,"cornell college
",Cornell College,David Bartine,,9.0,Y,,"Mount Vernon, Iowa (Ash Park Field)",5:09 PM   ,2:28   ,,"grinnell college
",Grinnell College,Takabuki,Sollo,Mendoza,Roder,Suryn,B. Maloney,Nodzenski,Pierce,Prouty,3,5,Pope,8,001100120,2b,3b,ss,rf,lf,1b,c,dh,cf,Harris,,Bogard
110,"Mar 14, 2009",warwebs,,Raetzloff,Bielanski,Biagini,Schaefer,Huey,Fuiten,Pisani,Kienker,Little,3,6,Gebhardt,9,010100130,2b,lf,dh,c,cf,3b,1b,rf,ss,Law,"webster university
",Webster University,Law,,9.0,Y,,"Sauget, IL (GCS Ballpark)",5:20 p.m   ,2:56   ,,"wartburg college
",Wartburg College,Ben Roemmich,Danny Rose,Jerrold Martijn,Mike Johnson,Patrick Grau,A.J. Lewis,Kyle Jones,Zach Nagle,Steve Chamberlin,0,11,Nate Rost,16,011440001,dh,ss,cf,1b,rf,c,lf,3b,2b,Billy Schmitt,,Billy Schmitt
