attendance,date,game_id,game_number,home_batter_1,home_batter_10,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_10,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_10,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_10,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
53,"Apr 18, 2010",bvugac2,2,An. Woitas,NA,T. Miller,Al. Woitas,C. Eul,T. Herman,C. Sukalski,K. Rains,D. Block,M. Johnson,2,6,T. Miller,11,10020021,rf,NA,cf,3b,lf,p,ss,2b,1b,c,T. Herman,"gustavus adolphus
",Gustavus Adolphus,Reggie Kock,,8.0,Y,,"St.Peter,Minn. (Gustie Field)",3:35   ,2:05   ,,"buena vista university
",Buena Vista Univ.,Brad Blum,NA,Michael Stephenson,Brandon Pietrzyk,Michael Hoffman,Kevin Kloewer,Brett Wilson,Mark Blum,Neil Eddie,Andy Compton,1,5,Reggie Kock,10,12010100,ss,NA,2b,cf,lf,dh,3b,1b,c,rf,Michael Dirkx," Sunny, 60's",T. Miller
130,"Apr 17, 2010",corlor2,,Ben Kuebel,NA,Clay Henricksen,John Schroeder,Calvin Rea,BJ Juergens,Austin Brown,Kyle Soeder,Derek Bergan,Jordan Ries,2,10,Eric Rife,11,600202X,3b,NA,dh,c,lf,1b,cf,rf,ss,2b,Kevin Moriarity,"loras college
",Loras College,Charlie Muir,,7.0,Y,,"Dubuque,IA (Petrakis Park)",1:00PM   ,1:48   ,,"cornell college
",Cornell College,Matt Pfister,NA,Ryan Fincham,David Bartine,Ryan Clausen,J.T. Pells,Zach Rogers,Ryan Nordtvedt,Milton Kurschner,Matthew Bliven,2,0,Andrew Patzke,10,0000000,lf,NA,cf,rf,1b,dh,3b,c,2b,ss,Charlie Muir,,Kevin Moriarity
92,"Mar 26, 2010",cordbq1,,Matt Pfister,NA,David Bartine,Andrew Patzke,Ryan Clausen,Matthew Shimanovsky,Zach Rogers,J.T. Pells,Andy Krekel,Matthew Bliven,3,11,Jesse Searls,9,11120006X,rf,NA,cf,lf,1b,2b,3b,dh,c,ss,Charlie Muir,"cornell college
",Cornell College,Todd Whited,,9.0,Y,,"Mount Vernon, Iowa (Ash Park Field)",6:05 PM   ,3:00   ,HP: Toby Formiller  2B: Daniel Graw,"dubuque, univ. of","Dubuque, Univ. of",Andrew Danna,NA,Nicholas Martin,Nathan Lucas,Todd Whited,Aaron Laskowski,Brock Grubbs,Alexander Larson,Kyle Duggan,Jesse Lawler,3,10,Austin Linderwell,12,004014001,ss,NA,2b,1b,rf/p,3b,dh,c,lf,cf,Mark Hennessy,,Justin Brown
130,"Apr 02, 2010",cendbq2,1,Andrew Danna,NA,Nicholas Martin,Alexander Larson,Brock Grubbs,Nathan Lucas,Todd Whited,Philip Elking,Jeffrey Stevens,Jesse Lawler,2,2,Nicholas Martin,5,0000200,ss,NA,2b/p,c,dh,1b,lf,3b,rf,cf,Kalen Mace,"dubuque, univ. of","Dubuque, Univ. of",Kalen Mace,,7.0,Y,,"Dubuque, Iowa (Chlapaty Field)",1 p.m.   ,2   ,,"central college
",Central College,Mike Furlong,NA,Ben Tressel,Caleb Rangel,Jarred Lackey,Josh Stanton,Ryan Allison,Anthony Miller,Jason Hassman,Allen Mann,0,7,Doug Eisenman,9,2100103,ss,NA,2b,p,rf,c,cf,3b,1b,lf,Caleb Rangel," cloudy, mild",Caleb Rangel
300,"May 1, 2010",cenlor1,1,Ben Kuebel,NA,Clay Henricksen,John Schroeder,Calvin Rea,BJ Juergens,Kyle Soeder,Austin Brown,Jordan Ries,Derek Bergan,7,13,Spencer Radabaugh,15,202405X,3b/ss,NA,dh,c,lf,1b,rf,cf,2b,ss,Kevin Moriarity,"loras college
",Loras College,Bret Bell,,7.0,Y,,"Dubuque, Iowa (Petrakis Park)",1:00 PM   ,2:17   ,,"central college
",Central College,Mike Furlong,NA,Ben Tressel,Caleb Rangel,Jarred Lackey,Ryan Allison,Anthony Miller,Josh Stanton,Jason Hassman,Allen Mann,0,12,Bret Bell,13,4240110,ss,NA,2b,lf,rf,dh,3b,c,1b,cf,Corey Eisenmann,,Cole Boge
,"Mar 10, 2010",lorsjme1,,Campbell,NA,Saunders,Lee,Grant-Roy,Keneborus,Moran,LaBatte,Brown,Burdin,0,2,Murray,5,0100001,ss,NA,dh,c,1b,cf/rf,lf,rf,3b,2b,Murray,st. joseph's (me.),St. Joseph's (Me.),Murray,,7.0,Y,,"Auburndale, FL (Lake Myrtle #4)",12:30 PM   ,2:47 PM   ,,"loras college
",Loras College,Mike Canevello,NA,John Schroeder,Ben Kuebel,Calvin Rea,Austin Brown,BJ Juergens,Travis Olson,Kyle Soeder,Kevin Harlander,1,3,Kyler Laurie,8,1000020,ss,NA,c,3b,dh,cf,1b,2b,lf,rf,Austin Safranski," Sunny, 75 degrees",Austin Safranski
50,"Mar 13, 2010",cengetty,,Mike Furlong,NA,Anthony Miller,Caleb Rangel,Jarred Lackey,Ryan Allison,Ben Chestnut,Josh Stanton,Jason Hassman,Ben Tressel,1,4,Dirk Lindaman,10,000001003,ss,NA,3b,lf,rf,cf,dh,c,1b,2b,Corey Eisenmann,"central college
",Central College,Corey Eisenmann,,9.0,Y,,"Vero Beach, Fla. (Field 5)",3:30 pm   ,3:00   ,,gettysburg (pa.),Gettysburg (Pa.),K Langhauser,NA,C Riera,M Backus,M Karis,D Roy,C Simard,C O'Brien,C Barrows,Stadtmueller,3,11,K Conklin,16,301002131,cf,NA,rf,3b,p,lf,ss,1b,c,2b,M Karis,,M Karis
,"Mar 06, 2010",corgvle2,2,Hobar,NA,Mondragon,Neece,Hobbie,Hubbard,Covert,Wallace,Massengill,,3,14,Voyles,10,4320401,2b,NA,ss,1b,cf,3b,lf,c,rf,,Winter,greenville college,Greenville College,Nick Norris,,7.0,Y,,"Greenville, Ill. (Robert E Smith Field)",3:35 PM   ,2:25   ,,"cornell college
",Cornell College,Matt Pfister,NA,Matthew Shimanovsky,Andrew Patzke,Ryan Clausen,Zach Rogers,Mark Corbeil,Ryan Nordtvedt,David Bartine,Matthew Bliven,1,13,Nick Norris,13,2203402,rf,NA,2b,lf,dh,3b,1b,c,cf,ss,Charlie Muir,,Voyles
115,"Feb 20, 2010",simozrk2,,Turner,NA,Driedric,Dietz,Hogan,Briggs,Powers,Schmeck,J. Robbins,Clark,2,5,B. Smith,15,000031010,2b,NA,cf,c,1b,3b,ss,lf,dh,rf,Conner,univ of the ozarks,Univ of the Ozarks,Conner,,9.0,Y,,Clarksville Ark. (Lonnie Qualls Field),2:30   ,2:50   ,,"simpson college
",Simpson College,Corey Rasmussen,NA,Zach Smith,Scott Ethell,Dave Johnson,Brad Agan,Colton Calvert,Bobby Bieniek,Grant Thomas,Tyler Pearson,1,9,Mike Huyser,15,000350010,cf,NA,2b,3b,ss,dh,rf,1b,c,lf,Kyle Hanna,,Kyle Hanna
392,"May 14, 2010",iiacbb06,,Corey Rasmussen,NA,Dave Johnson,Scott Ethell,Colton Calvert,Tyler Crandell,Drew Yarkosky,Justin Svehla,Ethan Hale,Zach Smith,3,10,Paul Brown,13,11311300X,cf,NA,ss,3b,rf,lf,c,1b,2b,dh,Paul Brown,"simpson college
",Simpson College,Darin Schneider,,9.0,Y,,"Cedar Rapids, Iowa (Veterans Mem. Stad.)",7:15 pm   ,2:25   ,HP: Todd Franzen  1B: Scott Forsberg  3B: Ted Timbrook,"luther college
",Luther College,Jeff Riddle,NA,Chris Reynolds,Ben Schott,Zack Topping,Steve Beckman,Mitchel Obey,Ryan Bahnemann,Joe Thompson,Kevin Bradley,1,4,Max Flaig,5,010000300,2b,NA,cf,1b,dh,ss,lf/rf,3b,rf,c,Darin Schneider," 61, Fair, Winds W at 6 mph",Paul Brown
