attendance,date,game_id,game_number,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_10,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_10,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
50,"Apr 03, 2013",bvugac2,2,Brandon Wessels,Weston Foxx,Joe Paletta,Ryan Scheetz,Jesse Munsterman,Jeremy Lambert,Dillon Plath,Neil Eddie,Nick Schlect,1,10,Kendall Hazel,16,5000230,lf,2b,1b,dh,ss,3b,rf,c,cf,Adam Bernstorf,"buena vista university
",Buena Vista Univ.,Tim Miller,,7,Y,,"Storm Lake, Iowa (BVU/SL HS Complex)",4:30pm   ,1:30   ,HP: Jim Pfeifer  1B: Mark Ha,"gustavus adolphus
",Gustavus Adolphus,Taylor Bigandt,NA,Scott Benjamin,Drew Block,Kellan Euerle,Sam Warner,Garrett Fuchs,Max Fidler,Boyden Lee,,3,1,Kellan Euerle,6,0010000,rf,NA,2b/lf,1b,cf/p,lf/c,3b,ss,c/dh,,Tim Miller,,Adam Bernstorf
100,"Apr 05, 2013",cendbq2,2,Sam Stetzel,Seth Carson,Jordan Judkins,Robbie Rushing,Adam Ariola,Jace Ahrendsen,Andrew O'Toole,Allen Mann,,0,4,Judson McKown,10,002100001,cf,1b,ss,2b,3b,c,lf,rf,,Michael Jontz,"central college
",Central College,Alan Kopp,,9,Y,,"Pella, Iowa (Kuyper Athl. Complex)",2:40   ,2:00   ,HP: Mike Kelly  1B: Rich Chopon,"dubuque, univ. of","Dubuque, Univ. of",Noah Mahlik,NA,Andy Danna,Jordan Gawronski,Chris Briggs,Michael Campbell,Michael Riordan,Spencer Kuehn,Vince Parisi,Nick Martin,2,3,Alan Kopp,8,100010100,cf/lf,NA,ss,rf,1b,3b,lf,dh,c,2b,Tyler Trifiletti,,Judson McKown
75,"Apr 01, 2013",cenlor1,1,Michael Jontz,Sam Stetzel,Adam Ariola,Jordan Judkins,Robbie Rushing,Andrew O'Toole,Seth Carson,Grant Seuferer,Jace Ahrendsen,4,0,Robbie Rushing,3,0000000,lf,cf,2b,ss,3b/p,rf,1b,dh,c,Dirk Lindaman,"central college
",Central College,Dirk Lindaman,,7,Y,,"Pella, Iowa (Kuyper Athl. Complex)",1 p.m.   ,2:00   ,HP: Dean Kirkpatrick  1B: Mikah Schull,"loras college
",Loras College,Mike Pudlo,NA,Mike Canevello,Jordan Ries,Patrick Walsh,Alex Rodrigues,Eric DeSousa,Danny Fahlgren,Nick Battalini,Mark Jablonski,0,11,Will Petrosky,9,0500051,ss,NA,dh,lf,1b,2b,3b,c,rf,cf,Will Petrosky," 34 degrees, wind NNW 17 mph",Will Petrosky
100,"Mar 09, 2013",cennewb2,,Michael Jontz,Sam Stetzel,Robbie Rushing,Seth Carson,Jordan Judkins,Adam Ariola,Andrew O'Toole,Zach Zylstra,Trent Smith,0,4,Mark Schroeder,3,002002X,lf,cf,ss,1b,3b,2b,dh,rf,c,Matt Schissel,"central college
",Central College,Travis Wade,,7,Y,,"Fort Myers, Fla.",Noon   ,2:30   ,,newbury college,Newbury College,Michael Dwyer,NA,Justin MacCutcheon,Ryan Zahornasky,Matthew Clawson,Steven Broy,Ryan Sinclair,Cameron D'Agostino,Tommy Robertson,Mack Flynn,1,2,Danny Lumb,8,0000110,cf,NA,1b,3b,rf,ss,dh,2b,c,lf,Travis Wade, Sunny and warm,Mark Schroeder
78,"May 09, 2013",iiac1,,Sam Stetzel,Jordan Judkins,Robbie Rushing,Adam Ariola,Zach Zylstra,Seth Carson,Andrew O'Toole,Jace Ahrendsen,Kirby Coppess,1,6,Mark Schroeder,9,000000402,cf,ss,dh,3b,lf,1b,rf,c,2b,Dirk Lindaman,"central college
",Central College,Dirk Lindaman,,9,Y,,"Cedar Rapids, Iowa (Daniels Park)",1:20 pm   ,2:14   ,HP: Kevin Farris  1B: Scott Behn  3B: Alec Clark,"simpson college
",Simpson College,Brett Crable,NA,Jake Barr,Tyler Craig,Blake Heitmeier,Tyler Crandell,Jake Esdohr,Ethan Hale,Michael Chia,Josh Pirtle,0,10,Brett Crable,18,140102020,cf/p,NA,lf,1b,3b,ss,c,2b,dh,rf/cf,Junior Rodriguez,,Gage Reis
145,"Mar 30, 2013",simwar4,2,Andrew Krehbiel,Ryan Doty,Ryan Powers,Drew Yoder,Blake Wilson,Tony Stenberg,Michael Schinstock,Levi Montague,Ryan Kemp,2,5,Parker Bolt,12,020000111,cf,2b,3b,1b,c,dh,rf,ss,lf,Marcus Walczyk,"wartburg college
",Wartburg College,Marcus Walczyk,,9,Y,,"Indianola, Iowa (McBride Field)",3:38   ,2:29   ,HP: Dan Grawe  1B: Mike Kelly,"simpson college
",Simpson College,Jake Barr,NA,Tyler Crandell,Tyler Craig,Blake Heitmeier,Jake Esdohr,Jake Scieszinski,Michael Chia,Pedro Rosa,Brett Crable,2,8,Matt Pennings,15,220200002,lf,NA,ss,1b,2b/3b,c,dh,3b,rf,cf,Junior Rodriguez,,Junior Rodriguez
175,"May 05, 2013",dbqsim1,1,Brett Crable,Jake Barr,Tyler Craig,Blake Heitmeier,Tyler Crandell,Ethan Hale,Pedro Rosa,Jake Esdohr,Josh Pirtle,2,8,Jake Scieszinski,13,2001050,cf,lf,1b,3b,ss,2b,dh,c,rf,Gage Reis,"simpson college
",Simpson College,Gage Reis,,7,Y,,"Dubuque, Iowa (UD Baseball Field)",1:00   ,1:55   ,HP: M.Gansmer  1B: R.Johnson,"dubuque, univ. of","Dubuque, Univ. of",Aaron Laskowski,NA,Andy Danna,Spencer Kuehn,Chris Briggs,Michael Riordan,Austin Monfross,Jordan Gawronski,Vince Parisi,Nick Martin,1,10,Spencer Kuehn,11,1005130,cf,NA,ss,dh/p,1b,lf,3b,rf,c,2b,Josh Eastman," 70, sunny",Josh Eastman
125,"Apr 26, 2013",bvucen2,2,Michael Jontz,Sam Stetzel,Robbie Rushing,Adam Ariola,Zach Zylstra,Jordan Judkins,Seth Carson,Trent Smith,Kirby Coppess,1,3,Ryan Dusil,7,111000X,rf,cf,dh,3b,lf,ss,1b,c,2b,Ryan Dusil,"central college
",Central College,Ian Grigsby,,7,Y,,"Pella, Iowa (Kuyper Athl. Complex)",4:30 p.m   ,1:40   ,HP: JP Richardson  1B: Eric Thornton,"buena vista university
",Buena Vista Univ.,Weston Foxx,NA,Nick Schlect,Joe Paletta,Brandon Wessels,Jesse Munsterman,Dillon Plath,Neil Eddie,Alex Davis,Ryan Duncan,2,1,Brennan Holm,6,1000000,2b,NA,cf,1b,c,ss,rf,dh,3b,lf,Ian Grigsby," 65 degrees, wind S at 13 mph",Ryan Dusil
92,"Apr 27, 2013",lorlut4,2,Eric Pittman,Andy Briggs,Zach Hendrikson,David Lowe,Mitch Knippenberg,Thomas Weber,Brian Paulsrud,Daniel Schoess,Austen Graham,3,6,Matt McKinney,4,10000230X,ss,cf,c/rf,3b,dh,lf,1b,rf/lf,2b,Nate Whitham,"luther college
",Luther College,Danny Baran,,9,Y,,"Decorah, Iowa (Luther College)",3:10   ,2:35   ,HP: Jeff Freese  1B: Brant Bruhn,"loras college
",Loras College,Mark Jablonski,NA,Mike Pudlo,Mike Canevello,Niko Andriotis,Patrick Walsh,Justin Montalvo,Eric DeSousa,Danny Fahlgren,Alex Rodrigues,2,5,Connor Schreck,9,300101000,cf,NA,ss,rf,dh,1b,lf,3b,c,2b,Jake Norton, sunny,Matt McKinney
110,"Apr 13, 2013",lorwar1,1,Mike Pudlo,Mike Canevello,Jordan Ries,Cody Richter,Alex Rodrigues,Patrick Walsh,Eric DeSousa,Danny Fahlgren,Mark Jablonski,1,0,Matt Kass,2,0000000,ss,rf,lf,dh,2b,1b,3b,c,cf,Will Petrosky,"loras college
",Loras College,Will Petrosky,,7,Y,,"Dubuque, Iowa (Petrakis Park)",2:00   ,1:35   ,HP: Kevin Farris  1B: Bret Miell,"wartburg college
",Wartburg College,Andrew Krehbiel,NA,Ryan Doty,Ryan Powers,Drew Yoder,Blake Wilson,Tony Stenberg,Michael Schinstock,Levi Montague,Craig Kerper,0,6,Scott Benson,5,0020400,cf,NA,2b,3b,1b,c,dh,rf,ss,lf,Scott Benson,,Scott Benson
