attendance,date,game_id,game_number,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,winning_pitcher
125,"Mar 04, 2014",coegmu,,Blount,Marchitto,Cassano,Burns,Elfreth,Saviski,Flemming,Brooks,Hens,0,8,Hill,9,41010020X,cf,lf,1b,c,rf,ss,dh,3b,2b,Minnemeyer,gwynedd mercy univ.,Gwynedd Mercy Univ.,Kragenbrink (0-1),,9,Y,,"Winter Haven, Fla. (Chain of Lakes Park)",10:30 am   ,2:40   ,,"coe college
",Coe College,Ben Larison,Michael Redmond,AJ Reuter,Michael Goerdt,Craig Konrardy,Jory Heckenberg,Cole Tomlinson,Derek Yoder,Brett Slager,3,4,Tyler Hixson,8,000310000,ss,cf,1b,lf,3b,dh,c,2b,rf,Cal Kragenbrink,Minnemeyer (1-0)
,"Mar 24, 2014",bvugac2,,Neil Marshall,Brandon Wessels,Joe Paletta,Tanner Truesdell,Jeremy Lambert,Weston Foxx,Bryce Wessels,Ryan Titman,Ryan Duncan,3,11,Scott Harris,13,10230410X,cf,c,1b,lf,dh,2b,3b,ss,rf,Adam Bernstorf,"buena vista university
",Buena Vista Univ.,S,,9,Y,),"Tucson, Ariz. (Field 5)",10:30am   ,  ,,"gustavus adolphus
",Gustavus Adolphus,D. Carlson,Sam Warner,S. Benjamin,G. Fuchs,T. Bigandt,Soderberg,Max Fidler,Evan Reed,Christensen,1,8,S. Zehms,8,122300000,ss,c,cf,1b,rf,dh,3b,lf,2b,M. Strelow,Harris (2-0)
,"Mar 14, 2014",cendrd,,"Fraley, Nath","Thayer, Jake","Gingerich, C","Wapnick, Jas","Parks, Aaron","Kollbaum, An","Holwerda, Jo","LePlatt, Dan","Wallman, Bry",1,3,"Peterson, Jo",9,020100000,cf,lf,ss,rf,dh,c,3b,2b,1b,"VanKekerix,B",dordt college,Dordt College,"Engbers, Jer",,9,Y,McKown,"Tucson, Ariz. (Kino Sports Complex)",10 am   ,1hr 55   ,,"central college
",Central College,Jordan Judkins,Adam Ariola,Robbie Rushing,Andrew O'Toole,Zach Brown,Jace Ahrendsen,Zach Zylstra,Grant Seuferer,Jake Effron,0,4,Judson McKown,7,003000010,ss,2b,dh,rf,3b,c,lf,1b,cf,Dakotah Wolken,Wolken
160,"Mar 29, 2014",cendbq2,2,Daniel Casanova,Will Fogel,Michael Salazar,Austin McWhite,Steve Ryan,Gaetano Florio,Vince Parisi,Ryan Karrick,,0,8,Tyler Trifiletti,13,04100030X,cf,2b,lf,1b,rf,3b,c,ss,,Dalton Garst,"dubuque, univ. of","Dubuque, Univ. of",Schroeder (0-1),,9,Y,,"Dubuque, Iowa (UD Baseball Field)",3:15   ,2:00   ,HP: N.Betts  1B: S.Liddl,"central college
",Central College,Jordan Judkins,Adam Ariola,Robbie Rushing,Andrew O'Toole,Zach Brown,Jace Ahrendsen,Dakotah Wolken,Kirby Coppess,Jake Effron,1,7,Mark Schroeder,10,000502000,ss,2b,dh,rf,1b/3b,c,cf,3b,lf,Ryan Dusil,Trifiletti (1-1)
81,"Apr 25, 2014",cenlor1,1,Mike Pudlo,Spencer Bonner,Patrick Walsh,Niko Andriotis,Eric DeSousa,Nick Battalini,Danny Fahlgren,Alex Rodriguez,Mark Jablonski,0,4,Will Petrosky,9,3000010,ss,1b,3b,lf,dh,rf,c,2b,cf,Will Petrosky,"loras college
",Loras College,Petrosky (3-4),,7,Y,,"Dubuque, Iowa (Petrakis Park)",3:30 PM   ,1:20   ,HP: Scott Forsberg  1B: Alec Clark,"central college
",Central College,Jordan Judkins,Andrew O'Toole,Robbie Rushing,Adam Ariola,Grant Seuferer,Zach Zylstra,Kirby Coppess,Dakotah Wolken,Jace Ahrendsen,0,7,Judson McKown,8,5001001,ss,rf,dh,2b,1b,lf,3b,cf,c,Judson McKown,McKown (4-3)
100,"Feb 22, 2014",warrhod,,Bill Munson,Justin Genter,Walker McWherter,Patrick Kilkenny,Will Gietema,Andrew Wallis,Ryan Olive,Josh Goodwin,Josh Keen,0,4,Max Halasz,4,01200100X,ss,2b,rf,1b,dh,lf,cf,c,3b,Adam Putnam,rhodes college,Rhodes College,Bolt (0-1),,9,Y,Halasz (1),"Memphis, Tenn. (Stauffer Field)",11 a.m.   ,2 hr 20   ,,"wartburg college
",Wartburg College,Jackson Litterer,Ryan Kemp,Ryan Powers,DJ Utley,Blake Wilson,Jacob Thumann,Michael Schinstock,Joe Grote,Craig Kerper,4,3,Michael Schinstock,5,100100100,ss,cf,3b,1b,c,dh,rf/p,2b,lf,Parker Bolt,Putnam (2-1)
126,"Apr 06, 2014",simwar4,2,Jake Barr,Michael Chia,Tyler Craig,Nick Anderson,Jake Scieszinski,Jake Esdohr,Bud Smith,Austin Burlin,Jordan Bahl,4,9,Brock Borgeson,10,02410200X,cf,3b,1b,dh,2b,ss,c,rf,lf,Michael Wilson,"simpson college
",Simpson College,Chafa (0-1),,9,Y,Borgeson (2),"Indianola, Iowa (McBride Field)",3:17 pm   ,2:44   ,HP: Jason Kramer  1B: Aaron Perez,"wartburg college
",Wartburg College,Jackson Litterer,Tyler Mougin,Ryan Powers,Ryan Kemp,DJ Utley,Blake Wilson,Jake Raecker,Joe Grote,Craig Kerper,7,8,Gavin Nadermann,11,200113100,1b,ss,3b,cf,dh,c,rf,2b,lf,Chase Hirschauer,Richman (1-1)
515,"May 08, 2014",14iiac04,,Neil Marshall,Brandon Wessels,Joe Paletta,Weston Foxx,Jeremy Lambert,Tanner Truesdell,Bryce Wessels,Ryan Titman,Nick Schlecht,0,6,Jon Ringblom,12,00000132X,cf,c,1b,2b,dh,rf,3b,ss,lf,Jon Ringblom,"buena vista university
",Buena Vista Univ.,Walsh (4-4),,9,Y,,"Cedar Rapids, Iowa (Veterans Mem. Stad.)",6:50 pm   ,2:04   ,HP: Matt Moore  1B: Bret Miell  3B: Jay Wiechmann,"loras college
",Loras College,Mike Pudlo,Spencer Bonner,Nick Battalini,Niko Andriotis,Alex Rodriguez,Danny Fahlgren,Anthony Flattery,Mark Jablonski,,0,1,Matt Kass,5,000100000,ss,1b,rf,lf,2b,c,3b,cf,,Patrick Walsh,Ringblom (7-2)
160,"Apr 25, 2014",dbqsim1,1,Daniel Casanova,Will Fogel,Austin McWhite,Vince Parisi,Eddie Pablo,Michael Salazar,Steve Ryan,Austin Monfross,Gaetano Florio,2,4,Trent Van Egtern,6,1001101,cf,2b,1b,c,ss,dh,lf,rf,3b,Josh Eastman,"dubuque, univ. of","Dubuque, Univ. of",Eastman (3-4),,7,Y,Pennings (2),"Dubuque, Iowa (UD Baseball Field)",1:00 pm   ,2:00   ,HP: Phil Puppilo  1B: Nicholas Baff,"simpson college
",Simpson College,Josh Pirtle,Brett Crable,Tyler Craig,Jake Barr,Michael Chia,Jake Scieszinski,Jake Esdohr,Bud Smith,Taylor Harmon,0,6,Matt Pennings,11,1031001,rf,cf,1b,lf,3b,dh,ss,c,2b,Kyle Helmerson,Helmerson (2-4)
85,"Mar 09, 2014",cengrn2,1,Kainoa Inafuku,Anthony Mack,Eli Freese,Walker Bell,Matt Hammond,Matt Godinsky,Niko Takayesu,Ryan Penaflor,Adam Renfro,2,12,Eli Freese,10,170031X,3b,ss,dh/p,1b,c,rf,2b,lf,cf,Graham Fisher,"grinnell college
",Grinnell College,Dusil (0-1),,7,Y,,"Springfield, Ill. (Sacred Heart-Griffin)",12:45 pm   ,2:15   ,HP: Terry Wolpert  1B: Dave Logan,"central college
",Central College,Dakotah Wolken,Jordan Judkins,Robbie Rushing,Adam Ariola,Zach Zylstra,Zach Brown,Andrew O'Toole,Jace Ahrendsen,Grant Seuferer,2,8,Greg Harris,11,2001140,cf,ss,dh,2b,lf,3b/1b,rf,c,1b,Ryan Dusil,Fisher (1-0)
82,"Apr 06, 2014",bvucen2,2,Neil Marshall,Brandon Wessels,Joe Paletta,Tanner Truesdell,Weston Foxx,Jeremy Lambert,Bryce Wessels,Ryan Titman,Nick Schlecht,1,5,Lucas Hadaway,7,012000002,cf,c,1b,rf,2b,dh,3b,ss,lf,Scott Harris,#25 buena vista univ.,#25 Buena Vista Univ., (3-0),,9,Y,McKown (1-3),"Storm Lake, Iowa (BVU/SL Field)",4:00pm   ,2:40   ,HP: Aaron Christians  1B: Randy Burtru,"central college
",Central College,Jordan Judkins,Jake Effron,Robbie Rushing,Adam Ariola,Zach Brown,Andrew O'Toole,Zach Zylstra,Kirby Coppess,Jace Ahrendsen,2,4,Judson McKown,6,102001000,ss,cf,dh,2b,1b,rf,lf,3b,c,Dakotah Wolken,L
66,"Apr 06, 2014",lorlut4,2,Mark Jablonski,Mike Pudlo,Patrick Walsh,Eric DeSousa,Danny Fahlgren,Nick Battalini,Niko Andriotis,Anthony Flattery,Alex Rodriguez,4,14,Zach Forkenbrock,13,01200(11)00X,cf,ss,dh,1b,c,rf,lf,3b,2b,Kody Massner,"loras college
",Loras College,Reimer (1-1),,9,Y,,"Dubuque, Iowa (Petrakis Park)",3:05 PM   ,1:59   ,HP: Eric Olson  1B: Tim Seward,"luther college
",Luther College,Andy Briggs,Eric Pittman,Czenvic Rojer,Brian Paulsrud,David Lowe,Matt Larson,Carlos Pineda,Zach Lashbrook,Joel Martin,4,11,Andrew Withers,19,111500111,cf,ss,rf,1b,3b,lf,dh,c,2b,Nate Witham,Kass (1-0)
150,"Apr 19, 2014",lorwar1,1,Jackson Litterer,Tyler Mougin,Ryan Powers,Ryan Kemp,DJ Utley,Clay Emmrich,Blake Wilson,Michael Schinstock,Joe Grote,0,1,Ben Rettenmeier,6,0010000,lf,ss,3b,cf,1b,dh,c,rf,2b,Ben Rettenmeier,"wartburg college
",Wartburg College,Rettenmeier (5-1),,7,Y,Gerardy (2),"Waverly, Iowa (Hertel Field)",1:00 pm   ,1:42 HR   ,HP: Jeff Frese  1B: Jason Kra,"loras college
",Loras College,Mark Jablonski,Mike Pudlo,Patrick Walsh,Eric DeSousa,Niko Andriotis,Nick Battalini,Danny Fahlgren,Spencer Bonner,Alex Rodriguez,1,2,Jeremy Gerardy,7,0000200,cf,ss,3b,dh,lf,rf,c,1b,2b,Will Petrosky,Petrosky (3-3)
50,"Apr 01, 2014",lutwar2,2,Jackson Litterer,Blake Wilson,Ryan Powers,Ryan Kemp,DJ Utley,Clay Emmrich,Michael Schinstock,Joe Grote,Tyler Mougin,2,11,Michael Knouse,13,82000001X,lf/1b,c,3b,cf,1b,dh,rf,2b,ss,Alex Sharp,"wartburg college
",Wartburg College,Pineda,,9,Y,,"Waverly, Iowa (Hertel Field)",  ,2:47 HR   ,HP: Matt Lukan  1B: Jon Radmach,"luther college
",Luther College,Andy Briggs,Eric Pittman,Czenvic Rojer,Mitch Knippenberg,Matt Larson,Aldon Severson,Brian Paulsrud,David Lowe,Joel Martin,4,2,Mitch Adams,7,000002000,cf,ss/3b,rf,c,lf,1b,dh/1b,3b,2b,Carlos Pineda,Sharp
100,"Mar 20, 2014",cenha,,Connell,Moro,Smith,Thompson,Cordell,Sammon,Zeller,Torgerson,Kiefer,2,9,Arch,10,000203121,1b,cf,rf,dh,lf,2b,ss,3b,c,Eickman,"hamline university
",Hamline University,Eickman,,9,Y,McKown,"Tucson, Ariz. (Kino Sports Complex)",10:00   ,2:43   ,HP: John Anderson  1B: Del Blunc,"central college
",Central College,Jordan Judkins,Adam Ariola,Robbie Rushing,Andrew O'Toole,Zach Brown,Jace Ahrendsen,Zach Zylstra,Jake Effron,Kirby Coppess,2,12,Judson McKown,18,510020022,ss,2b,dh/p,rf,1b,c,lf,cf,3b,Dakotah Wolken,Wolken
78,"Mar 09, 2014",warrfrd,,Craig Kerper,Joe Grote,Ryan Powers,Ryan Kemp,DJ Utley,Blake Wilson,Clay Emmrich,Michael Schinstock,Tyler Mougin,0,4,Alex Steines,10,00010201X,lf,2b,3b,cf,1b,c,dh,rf,ss,Ben Rettenmeier,"wartburg college
",Wartburg College,"Pisano, K",,9,Y,,"Auburndale, Fla. (Lake Myrtle Park)",12:00 PM   ,1:55   ,,"rockford university
",Rockford University,"Logemann, Cole","McHugh, Connor","Senn, Chris","Holke, Chris","LaMore, Kyle","Swiderek, Scott","Barrera, Bobby","Gorsuch, Jacob","Gameros, Adrian",0,0,"Fell, Bill",4,000000000,3b,lf,2b,c,dh,1b,ss,rf,cf,"Pisano, Kyle",Rettenmeier
,"Mar 09, 2014",lutncc2,2,"DeRango, Vito","Paparone, Joe","Pacanowski, Zac","Carius, Sam","Klein, Sam","Rone, Jake","Concialdi, Richard","Jarosz, Zach","Khoury, Alex",2,10,"Brown, Connor",11,02103220X,3b,rf,dh,lf,cf,1b,c,2b,ss,"Houser, Andrew",north central (ill.),North Central (Ill.),Voss (0-1),,9,Y,,"Jacksonville, Ill. (Lenz Field)",  ,  ,,"luther college
",Luther College,Andy Briggs,Matt Larson,Czenvic Rojer,Carlos Pineda,David Lowe,Joe Silversmith,Aldon Severson,Dakotah Rostad,Jon Opdahl,5,5,Andrew Withers,8,000000122,cf,lf/cf,dh,c,rf,ss,1b,3b,2b,Ben Voss,Houser (1-0)
,"Mar 08, 2014",lorncc1,,Mark Jablonski,Mike Pudlo,Patrick Walsh,Niko Andriotis,Spencer Bonner,Nick Battalini,Eric DeSousa,Danny Fahlgren,Alex Rodriguez,4,2,Zach Forkenbrock,9,0000002,cf,ss,1b,lf,dh,rf,3b,c,2b,Will Petrosky,"loras college
",Loras College,Petrosky (0-1),,7,Y,,"Jacksonville, Ill. (Lenz Field)",  ,3:00   ,,north central (ill.),North Central (Ill.),"DeRango, Vito","Paparone, Joe","Pacanowski, Zac","Ciolkosz, John","Carius, Sam","Klein, Sam","Rone, Jake","Jarosz, Zach","Khoury, Alex",3,6,"Cahill, Kyle",8,0030030,2b,rf,c,1b,lf,cf,dh,3b,ss,"Krusen, Ben",Krusen (1-0)
,"Mar 26, 2014",bvulaw,,Neil Marshall,Brandon Wessels,Joe Paletta,Tanner Truesdell,Weston Foxx,Jeremy Lambert,Bryce Wessels,Alex Brown,Schuyler Radke,3,20,Justin Lange,21,433109X,cf,rf,1b,lf/rf,2b,3b,ss,dh,c,Kendall Hazel,#25 buena vista univ.,#25 Buena Vista Univ.,Gay (),,7,Y,,"Tucson, Ariz. (Field 5)",12:00pm   ,  ,,"lawrence university
",Lawrence University,Gabe Warshaw,Jake Gordon,Joel Birch,Aaron Benz,Sam Kossow,Davis Ogilvie,Brandon Vamarasi,Marc Linger,Dan Taylor,2,3,Gene Shipanik,6,3000000,2b,cf,dh,rf,1b,ss,3b,c,lf,Atley Gay,Valentine (1-0)
500,"Apr 26, 2014",bvuwar3,1,Craig Kerper,Tyler Mougin,Ryan Powers,Ryan Kemp,DJ Utley,Clay Emmrich,Blake Wilson,Joe Grote,Jacob Thumann,0,6,Michael Schinstock,6,010500X,rf/lf,ss,3b,cf,1b,dh,c,2b,lf,Michael Schinstock,"wartburg college
",Wartburg College,L,,7,Y, (4-1),"Waverly, Iowa (Hertel Field)",1 p.m.   ,1:53 hr   ,HP: Jay Mara  1B: Ryan Ecklund,#18 buena vista univ.,#18 Buena Vista Univ.,Neil Marshall,Brandon Wessels,Joe Paletta,Weston Foxx,Jeremy Lambert,Tanner Truesdell,Bryce Wessels,Ryan Titman,Nick Schlecht,0,3,Cam Beatty,6,0021000,cf,c,1b,2b,dh,rf,3b,ss,lf,Justin Lange,Schinstock (6-0)
150,"May 03, 2014",cenwar4,2,Jordan Judkins,Andrew O'Toole,Robbie Rushing,Adam Ariola,Zach Brown,Zach Zylstra,Grant Seuferer,Jake Effron,Jace Ahrendsen,2,13,Mack Boothe,11,06014200X,ss,rf,dh,2b,3b,lf,1b,cf,c,Matt Schissel,"central college
",Central College,Langheinrich (0-1),,9,Y,,"Pella, Iowa (Kuyer Athl. Complex)",3:45   ,2:16   ,HP: Kevin Ferris  1B: Paul Keitel,"wartburg college
",Wartburg College,Craig Kerper,Ryan Powers,Ryan Kemp,Clay Emmrich,Blake Wilson,Michael Schinstock,Tyler Mougin,Joe Grote,,2,9,Alex Sharp,13,101510100,lf,3b,cf,1b,c,rf,ss,2b,,DJ Utley,Dusil (2-2)
125,"Apr 11, 2014",cenlut1,1,Jordan Judkins,Jake Effron,Robbie Rushing,Adam Ariola,Zach Brown,Andrew O'Toole,Grant Seuferer,Dakotah Wolken,Jace Ahrendsen,4,1,James Longo Jr,9,0001000,ss,lf,dh,2b,3b,rf,1b,cf,c,Blake Judkins,"central college
",Central College,"Judkins, B",,7,Y,,"Pella, Iowa (Kuyper Athl. Complex)",1 p.m.   ,2:00   ,HP: Brandon Moore  1B: Troy Soola,"luther college
",Luther College,Andy Briggs,Eric Pittman,Czenvic Rojer,David Lowe,Carlos Pineda,Matt Larson,Brian Paulsrud,Mitch Knippenberg,Joel Martin,1,4,Alec Knop,2,4000000,cf,ss,rf,3b,dh,lf,1b,c,2b,Alec Knop,Knop (4-1)
68,"May 09, 2014",14iiac08,,Mike Pudlo,Spencer Bonner,Patrick Walsh,Nick Battalini,Niko Andriotis,Eric DeSousa,Alex Rodriguez,Danny Fahlgren,Mark Jablonski,0,12,Jake Norton,12,25010004,ss,1b,3b,rf,lf,dh,2b,c,cf,Jake Norton,"loras college
",Loras College,Scieszinski,,8,Y,,"Cedar Rapids, Iowa (Veterans Mem. Stad.)",7:00 PM   ,1:45   ,HP: Jay Wiechmann  1B: Matt Moore  3B: Bret Miell,"simpson college
",Simpson College,Josh Pirtle,Brett Crable,Tyler Craig,Michael Chia,Jake Barr,Jake Esdohr,Bud Smith,Taylor Harmon,,6,1,Daultan Gibson,9,00010000,rf,cf,1b,3b,lf,ss,c,2b,,Jake Scieszinski,Norton
