attendance,date,game_number,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
,"Mar 13, 2016",,McReynolds,Kressner,Havel,Struck,"Compton, A",Conroy,Ott,Berliner,Wick,5,5,Modesitt,9,100000031,3b,ss,dh,1b,cf,rf,lf,2b,c,MacMillan,"elmhurst
",Elmhurst,MacMillan (0-1),,9,Y,,"Jacksonville, Ill. (Lenz Field)",1:00 PM   ,  ,,"loras college
",Loras College,Danny Weis,Tony Heiser,Patrick Walsh,Lucas Jacque,Ryan Koester,Thomas Johnson,Adrian Nunez,Luke Leibforth,Nolan Ritter,1,9,Robert Hovey,13,012141000,cf,rf,3b,c,1b,lf,dh,2b,ss,Brad Schwind,NA,Schwind (1-0)
345,"Apr 03, 2016",2,Craig Konrardy,Kevin DeLaney,Michael Redmond,Grant Henning,Andrew Brierton,Ben Larison,Brett Slager,Ben Jacobson,Alec Zwanziger,1,7,Lucas Robbins,13,0122100001,ss,lf,cf,c,dh,3b,rf,1b,2b,David Keaton,"coe college
",Coe College,,,10,Y,Erwin (0-1),"Cedar Rapids, Iowa (Bill Quinby Field)",3:10 pm   ,2:30   ,HP: Bret Miell  1B: Scott Behn,"dubuque, univ. of","Dubuque, Univ. of",Jarad Clevenger,Dalton Garst,Eric Hall,Tyler Lewan,Thomas Kempf,Will Doherty,Gaetano Florio,Jacob Evans,Ryan Karrick,0,6,Derek Erwin,15,0000203100,rf,3b,cf,dh,1b,c,ss,lf,2b,Daniel Karnick,NA,"Robbins, L"
,"Apr 12, 2016",1,Austin Burlin,Bud Smith,Gage Reis,Trey Kehoe,Taylor Harmon,Trevor Dudar,Jonathan Greiner,Luke Anctil,Nick Carlisle,0,11,Brock Borgeson,11,320006X,rf,c,ss,1b,2b,dh,3b,lf,cf,Brock Borgeson,"simpson college
",Simpson College,Mauro (0-2),,7,Y,,"Indianola, Iowa (McBride Field)",3:34 pm   ,1:36   ,HP: Patrick McIlhon  1B: Todd Savag,"central college
",Central College,Garrett Saunders,Spencer Gritsch,Ryan Garrett,Michael Reuter,Noah Stochl,Ryan Bouwman,Zach Brown,Adam Lindell,Seth Griffiths,1,0,Zach Brown,2,0000000,ss,lf,1b,c,2b,dh,3b/p,rf,cf,Frankie Mauro,NA,Borgeson (4-2)
277,"Apr 16, 2016",1,Jarad Clevenger,Dalton Garst,Austin McWhite,Thomas Kempf,Tyler Lewan,Jacob Evans,Will Doherty,Gaetano Florio,Kyle May,2,4,Brian Sholty,6,0020002,rf,3b,cf,1b,dh,lf,c,ss,2b,Jacob Padilla,"dubuque, univ. of","Dubuque, Univ. of",Padilla (2-2),,7,Y,,"Dubuque, Iowa (UD Baseball Field)",1 p.m.   ,2:25   ,HP: Mark  1B: Paul,"wartburg college
",Wartburg College,Blake Mahoney,Clay Henning,Zach Hovick,Jacob Thumann,Ryan Kemp,Tanner Johnson,Milton Croes,Mike Brown,Tyler Willis,3,9,Taylor Gilson,8,3112002,lf,ss,1b,rf,cf,3b,dh,c,2b,Taylor Gilson,NA,Gilson (5-2)
65,"Apr 16, 2016",1,Tony Heiser,Austin Konagel,Patrick Walsh,Ryan Koester,Thomas Johnson,Lucas Jacque,Danny Paluch,Michael Muto,Nolan Ritter,1,0,Nick Petruzzi,6,0000000,rf,2b,3b,1b,lf,dh,cf,c,ss,Alex Steines,"loras college
",Loras College,,,7,Y,Steines (3-3),"Dubuque, Iowa (Petrakis Park)",1:00 pm   ,1:44   ,,"coe college
",Coe College,Craig Konrardy,Kevin DeLaney,Michael Redmond,Grant Henning,Alec Zwanziger,Blake Lishka,Andrew Brierton,Ben Larison,Brandt Ames,0,8,Ben Jacobson,10,1002320,ss,lf,cf,c,2b,dh,rf,3b,1b,Ben Jacobson,NA,"Jacobson, B"
35,"Apr 09, 2016",2,Danny Weis,Tony Heiser,Patrick Walsh,Ryan Koester,Lucas Jacque,Thomas Johnson,Adrian Nunez,Austin Konagel,Nolan Ritter,1,0,Brad Schwind,6,0000000,cf,rf,3b,1b,c,lf,dh,2b,ss,Brad Schwind,"loras college
",Loras College,Schwind (1-4),,7,Y,,"Dubuque, Iowa (Petrakis Park)",3:35   ,2:00   ,,"luther college
",Luther College,Alex Weber,Joe Silversmith,Jon Opdahl,Mitch Knippenberg,Czenvic Rojer,Bryce Hingst,Cody Reimer,Max Uetz,Jake Halverson,1,5,Blake Peterson,8,1001120,cf,ss,2b,c,rf,1b,lf,dh,3b,Blake Peterson,NA,Peterson (3-0)
72,"Mar 05, 2016",,"Williams, C.","Bonner, R.",Lizarraga,"Beasley, T.","Dostal, N.","Jourdan, C.","Holmes, D.",Fitzsimmons,"Baida, R.",4,3,"Hackett, M",8,02000001X,cf,2b,c,1b,dh,lf,ss,rf,3b,"Henke, C",mt. mercy,Mt. Mercy,,,9,Y,Schwind (0-1),"Pleasant Hill, Iowa (Southeast Polk HS)",1:00 pm   ,  ,,"loras college
",Loras College,Danny Weis,Tony Heiser,Patrick Walsh,Ryan Koester,Lucas Jacque,Thomas Johnson,Luke Leibforth,Danny Paluch,Nolan Ritter,1,2,Brad Schwind,3,000100100,cf,dh,3b,1b,c,lf,2b,rf,ss,Alex Steines,NA,"Bell, C"
150,"Apr 29, 2016",1,Blake Mahoney,Clay Henning,Zach Hovick,Jacob Thumann,Ryan Kemp,Tanner Johnson,Milton Croes,Mike Brown,Tyler Willis,1,4,Taylor Gilson,8,0100021,lf,ss,1b,rf,cf,3b,dh,c/3b,2b,Taylor Gilson,#19 wartburg college,#19 Wartburg College,Steines (4-4),,7,Y,,"Waverly, Iowa (Hertel Field)",3:30 p.m   ,1:43 hr   ,HP: Jacob Copp  1B: Jason K,"loras college
",Loras College,Austin Konagel,Thomas Johnson,Tony Heiser,Ryan Koester,Patrick Walsh,Michael Muto,Lucas Jacque,Danny Paluch,Nolan Ritter,2,3,Alex Steines,9,0000201,2b/3b,lf,rf,1b,3b,c,dh,cf,ss,Alex Steines,NA,Gilson (7-2)
456,"Apr 02, 2016",1,Craig Konrardy,Kevin DeLaney,Michael Redmond,Grant Henning,Andrew Brierton,Colton Knox,Alec Zwanziger,Thomas Simon,Nolan Arp,1,5,Ben Jacobson,6,103010X,ss,lf,cf,c,dh,1b,2b,rf,3b,Ben Jacobson,"coe college
",Coe College,,,7,Y,Van Dyke (1-1),"Cedar Rapids, Iowa (Bill Quinby Field)",1:00 pm   ,2:00   ,HP: Paul Keitel  1B: Nick Willenborg,"dubuque, univ. of","Dubuque, Univ. of",Jarad Clevenger,Gaetano Florio,Dalton Garst,Thomas Kempf,Will Doherty,Jacob Evans,Eric Hall,Michael Salazar,Ryan Karrick,4,0,Nick Sewruk,2,0000000,rf,ss,3b,1b,c,lf,cf,dh,2b,Doug Van Dyke,NA,"Jacobson, B"
250,"May 06, 2016",1,Blake Mahoney,Clay Henning,Jacob Thumann,Ryan Kemp,Tanner Johnson,Milton Croes,Zach Hovick,Mike Brown,Tyler Willis,1,14,Gavin Nadermann,15,344102X,lf,ss,rf,cf,3b,dh,1b,c/3b,2b,Taylor Gilson,#15 wartburg college,#15 Wartburg College,"Keaton, D",,7,Y,,"Waverly, Iowa (Hertel Field)",3:30 pm   ,2:06 hr   ,HP: Ron Achina  1B: Jason Kra,"coe college
",Coe College,Kevin DeLaney,Brett Slager,Craig Konrardy,Grant Henning,Michael Redmond,Andrew Brierton,Colton Knox,Ben Larison,Jack Strellner,0,7,Sam Acheson-Adams,10,0101122,lf,rf,ss,c,cf,dh/p,1b,3b,2b,David Keaton,NA,Gilson (7-2)
