date,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
3/12/2018,Garrett Saunders,Coy Moore,Ryan Bouwman,Tanner Wood,Trevor Kimm,Joe Rebik,Chris Riddle,Lucas Farren,Kaiden Fiebelkorn,1,11,Tanner Wood,16,42100004,ss,cf,1b,p,c,lf,2b,rf,3b,Tanner Wood,,central,Hawrylciw,,8,,"Auburndale, Fla. (Lake Myrtle Park)",9:00 AM,2:21,,,becker,Diaz,J. Shepherd,Testa,Pollard,Bianco,Plank,Ventres,Mazzone,Hussey,4,1,Trahan,6,00000100,dh,cf,rf/cf,lf,3b,c,1b,2b/ss,ss,Hawrylciw,"cloudy, 70",Tanner Wood
3/17/2018,Mac Daniel singleton,Kyle O'Connor,Joe White,Alex Toomey,Matt Marquez,Jose Cedano,Brendan Greene,Zac Duval,Pat Fitzgerald,5,1,Alex Toomey,5,0000010,2b,dh,lf,1b/p,3b,rf,ss,c,cf,Andrew McLaughlin,,salem st.,Andrew McLaughlin,Dylan McCorm faced 3 batters in the 7th.,7,,"Tucson, Ariz. (Kino Sports Field 6)","11:20am,",2:05,,BVU,buena vista,Bryce Rheault,Ryley McGregor,Peyton Renning,Devin Wagenman,Tyler Tennyson,Alex Savary,Porter Sartor,Tyler Stoltze,Parker Truesdell,1,13,Nick Henrichs,18,0132115,ss,rf,lf,cf,1b,dh,3b,c,2b,Eric LaRue,,Eric LaRue
3/7/2018,Chris Grillo,Brenden Weiss,Sam Arnold,Billy Brittingham,Matt Riebesell,Stephen Koester,Jon Capra,Robert Cappadona,John Serruto,1,0,Timmy Pilrun,4,000000000,ss,cf,3b,1b,c,rf,dh,lf,2b,Alec Andrews,,muhlenberg,Alec Andrews,,9,,"Auburndale, Fla. (Lake Myrtle Park)",9:10,2:22,Home Plate: Brandon NeeterFirst: Don,NWU,nebraska wesleyan,Owen Gubbels,Tyler Winterstein,Cole Schumacher,Matt Orozco,Jared Scdoris,Kyle Hunter,Joel Maxwell,Bradyn Thomas,Justus Stocks,1,4,Hayden Parker,6,110010100,ss,3b/2b,1b/3b,dh,c,cf,lf,2b,rf,Hayden Parker,60s and breezy,Hayden Parker
4/17/2018,Jake Vogt,Kelby Johnson,Jake Halverson,Trent Athmann,Bryce Hingst,Mitch Bruggers,Joe McKibben,Jared Swanson,Daniel Opdahl,2,2,Nate Loch,5,00110000,cf,ss,dh,lf/c,1b,3b,rf,2b,c,Colin Coffey,,luther college,Sean Westendorf,Westendorf faced 3 batters in the 8th.,8,,"Independence, Iowa (Mustang Field)",3:30 pm,2:20,,,hamline university,Nolan Schoonveld,Nick Kukurich,Tyler Brick,Jeremy Szura,Mitch Benson,Devin Rodgers,Zach Langton,Hunter Messerschmidt,Jake Dujmovic,1,3,Zach Smith,9,00000021,1b,3b,c,dh,cf,rf,lf,2b/ss,ss,Ben Resnick,,Zach Smith
3/31/2018,Jake Vogt,Matt Clark,Trent Athmann,Bryce Hingst,Derek McCready,Mitch Bruggers,Cole Jensen,Kelby Johnson,Jake Halverson,0,10,Tyler Boesel,11,021250X,cf,lf,c,1b,dh,3b,rf,2b,ss,Tyler Boesel,LUT,luther college,Curt Castenson,Kunzer faced 3 batters in the 4th.,7,,"Decorah, Iowa (Luther College)",12 pm,1:40,,SIM,simpson college,Jared Herzog,Scott Meier,Noah Sacco,Hunter Hillygus,Trey Kehoe,Truman Schmitt,Brandon Urias,Nathan Carlin,Alec Hensley,0,0,Michael Sunga,1,0000000,cf,2b,lf,1b,dh,c,3b,ss,rf,Curt Castenson,,Tyler Boesel
3/3/2018,Nick D'Alessandro,Brennan Taylor,Stephen DeBellis,Mike Garofalo,Glenn Seymour,Dylan Peiffer,Dylan Morrissette,Luke Dowdy,Ricky Collings,0,4,Dylan Peiffer,5,01000030X,cf,2b,ss,rf,c,1b/p,dh,lf,3b,Josh Lafferty,,widener,David Keaton,,9,,"Auburndale, Fla. (Lake Myrtle Park #3)",2:00 pm,3:38,,COE,coe college,Isaac Evans,Kevin DeLaney,Jacob Burns,Kyle Alvarado,Grant Henning,Thomas Simon,Nolan Arp,Jordan Kaplan,Tyler Dralle,1,0,Travis Bowman,5,000000000,cf,rf,lf,2b,c,3b,ss,1b,dh,David Keaton,"76, Sunny, Winds N at 11 mph",Josh Lafferty
3/10/2018,Jake Halverson,Jake Vogt,Derek McCready,Bryce Hingst,Mitch Bruggers,Matt Clark,Tommy Gleason,Trent Athman,Jared Swanson,0,5,Ross Hingst,8,0200201,ss,cf,dh,1b,3b,rf,lf,c,2b,Cameron Reed,,luther college,Mitch Nordin,D Rademacher faced 2 batters in the 7th.,7,,"Pleasant Hill, IA (Southeast Polk HS)",2:30 pm,,,,gustavus adolphus,R. Moriarty,C. Pengilly,Ethan Mocchi,B. Panning,C. Clemensen,J. Lundquist,B. Peterson,Matt Berkner,N. Lindberg,3,4,D Rademacher,9,0000103,rf,ss,dh,cf,2b,1b,3b,lf,c,C Hutchinson,,Ross Hingst
4/7/2018,Bryce Rheault,Ryley McGregor,Devin Wagenman,Peyton Renning,Coleman Roberts,Joe Rock,Porter Sartor,Tyler Stoltze,Parker Truesdell,1,2,Eric LaRue,7,00000200000,ss,dh,cf,lf,rf,1b,3b,c,2b,Egan Bonde,,buena vista,Eric LaRue,,11,Nathan Schneiderman,"Storm Lake, Iowa (BV/Storm Lake Field)",4:00pm,2:00,,,univ. of dubuque,Jack Lasswell,Dalton Garst,Thomas Kempf,Tyler Lewan,Zach McCoy,Will Doherty,Jarad Clevenger,Tyler Imrich,Cody Kramschuster,1,4,Nathan Schneiderman,12,02000000002,2b,3b,1b,ss,dh,c,rf,lf,cf,Doug Van Dyke,,Nathan Schneiderman
5/4/2018,Isaac Evans,Kevin DeLaney,Jordan Kaplan,Grant Henning,Jacob Burns,Tyler Dralle,Nolan Arp,Jacob Henry,Matthew Schrader,1,2,TJ Johnson,8,00020000X,cf,rf,1b,c,lf,dh,2b,3b,ss,Josh Gonzales,COE,coe college,Tanner Jansen,,9,TJ Johnson,"Cedar Rapids, Iowa (Bill Quinby Field)",3:00 pm,1:48,Home Plate: Dean KirkpatrickFirst: Brigham Phillips,SIM,simpson,Jared Herzog,Scott Meier,Noah Sacco,Hunter Hillygus,Trey Kehoe,Kolton Arnold,Truman Schmitt,Nathan Carlin,Alec Hensley,0,1,Colin Sexton,7,010000000,cf,2b,lf,1b,dh,3b,c,ss,rf,Tanner Jansen,"78, Sunny, Winds W at 14 mph",Josh Gonzales
3/7/2018,"Sautel, Thomas","Candor, Keaton","Bohman, Evan","Meza, Christian","Geiger, Kaleb","Jacob, Dylan","DePamphilis, Luciano","Taylor, Jake","Woods, Drew",3,6,Buckallew,12,20001010002,3b,cf,dh,2b,1b,lf,rf,ss,c,"Schipper, Jared",,concordia,Tom Kunzer,,11,,"Tucson, Ariz. (Kino Sports Complex)",9:02 am,3:21,,SIM,simpson,Jared Herzog,Nathan Carlin,Hunter Hillygus,Truman Schmitt,Noah Sacco,Scott Meier,Trey Kehoe,Tanner Jansen,Brandon Urias,1,5,Tom Kunzer,12,02020000001,cf,ss,1b,c,lf,2b,dh,rf,3b,Cameron Liston,"62, sunny",Buckallew
