date,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,weather,winning_pitcher
4/28/2017,Jake Vogt,Jon Opdahl,Joe Silversmith,Bryce Hingst,Mitch Bruggers,Cody Reimer,Joey Sullivan,Trent Athmann,Jake Halverson,2,13,Teddy Klingsporn,14,21010045,cf,2b,3b,1b,dh,rf,lf,c,ss,Teddy Klingsporn,LUT,luther college,Brody Murphy,,8,,"Decorah, Iowa (Luther College)",2:00 pm,2:20,Home Plate: Michael FedererFirst: Stacey Dunbar,NWU,nebraska wesleyan u.,Aaron Ochsner,Micah Hoage,Kyle Hunter,Brook Johnson,Matt Orozco,Spencer Scheer,Tyler Winterstein,Owen Gubbels,Cam Lulow,3,3,Sam Condello,7,01000101,lf,1b,cf,rf,dh,3b,2b,ss,c,Brody Murphy,,Teddy Klingsporn
4/11/2017,Kolby Hilgenberg,Noah Paper,Devin Wagenman,Kendall Candor,Ethan McHenry,Peyton Renning,Bryce Rheault,Porter Sartor,Devon Harms,3,8,Dalton Mason,13,41000030X,rf,ss,cf,dh,1b,lf,2b,3b,c,Jake Lewis,BVU,buena vista,Hoage,,9,Dalton Mason,"Storm Lake, Iowa (BVU/SL HS Field)",6:00pm,2:30,Home Plate: Jon FyeFirst: Monty Mathews,NWU,nebraska wesleyan,Johnson,Hunter,Schumacher,Orozco,Winterstein,Scheer,Anguiano,Gubbels,Morris,1,7,Bruno,15,100000024,rf,cf,3b,dh,2b,lf/3b,1b,ss,c,Hoage,,Jake Lewis
3/13/2017,Jarad Clevenger,Jacob Evans,Austin McWhite,Thomas Kempf,Kelvin Medrano,Tyler Lewan,Will Doherty,Jack Lasswell,Gaetano Florio,2,10,Nathan Schneidermann,11,310110004,rf,lf,cf,1b,dh,3b,c,2b,ss,Doug Van Dyke,,"dubuque, univ. of",Matthew Millus,Matt Millus faced 4 batters in the 9th.,9,,"Ft. Myers, FL (PDC Field 4)",12:25pm,2:54,,,new york university,Jack Walter,Ryan Mclaughlin,Colman Hendershot,Jonathan Iaione,Adrian Spitz,Coltrane Tait,Ford Ladd,Jack Elias,Will McKenna,2,9,Jarret Weiss,12,200106000,cf,2b,p/dh,ss,lf,rf,1b,3b,c,Colman Hendershot,"78 degrees, overcast",Nathan Schneidermann
3/19/2017,Austin Konagel,Tony Heiser,Ryan Koester,Danny Weis,Danny Paluch,Michael Muto,Thomas Johnson,Nolan Ritter,Luke Leibforth,3,3,Aidan Wojciehowski,12,000000030,3b,dh,1b,rf,cf,c,lf,ss,2b,Patrick Moriarty,,loras,Aidan Wojciehowski,,9,,"Auburndale, Fla. (Lake Myrtle Park)",,,,,knox,Tristyn Ruiz,Matt McCaffrey,Drake Sykes,Kobe Shutter,Juston Woodard,Ryan  Weitendorf,Matt Mueller,Kam Wells,Kosuke Nishitani,0,5,Tom Janczur,11,000120002,lf,2b,cf,3b,rf,1b,dh,c,ss,Stryker Davies,,Tom Janczur
3/12/2017,"Tucker, Jeff","Appino, Danny","Roehler, Jonathan","Bogucki, Garrett","Lehner, Nick","Nunn, Tim","Gavic, Callen","Engel, Brodie","Fowler, Alex",1,8,"Appino, Danny",9,21004010X,cf,lf/p,ss,c,dh,3b,1b,2b,rf,"Eck, Adam",,edgewood college,Chase Kueter,,9,"Appino, Danny","Fort Myers, Fla. (Terry Park)",3:00 pm,2:42,,,"dubuque, univ. of",Eric Hall,Jacob Evans,Austin McWhite,Thomas Kempf,Will Doherty,Michael Salazar,Jack Lasswell,Tyler Lewan,Gaetano Florio,3,5,Derek Erwin,9,200001110,rf,lf,cf,1b,c,dh,2b,3b/2b,ss,Chase Kueter,,"Eck, Adam"
4/8/2017,Jake Vogt,Cody Reimer,Jon Opdahl,Joe Silversmith,Mitch Bruggers,Joey Sullivan,Bryce Hingst,Trent Athmann,Jake Halverson,2,7,Joe Silversmith,11,400001011,cf,p/rf,2b,rf/p,3b,lf,1b,c,ss,Cody Reimer,LUT,luther college,C. Tomkins,,9,,"Decorah, Iowa (Luther College)",1:00 pm,2:40,,WAR,wartburg college,E. Willis,C. Henning,B. Mahoney,J. Thumann,Z. Hovick,S. Fleet,M. Brown,D. Fitzgeral,C. Hyler,2,6,C. Tomkins,14,300001002,2b,ss,cf,rf,1b,dh,3b,lf,c,M. Langheinr,,Joe Silversmith
3/26/2017,"VanDuser, Bryan","Silva, Joe","Spohr, Brent","Wilson, Mitch","Roberts, Brady","Rodriguez, Justin","Matthews, Doug","Anderson, Joey","Klein, Brendan",2,2,"Arbov, Petar",3,000010010,ss,rf,1b,2b,c,dh,3b,lf,cf,"Schmitt, Adam",,concordia chicago,"Schmitt, Adam",Schmitt faced 1 batter in the 4th.,9,,"Sauget, IL (GCS Ballpark)",10:00 am,2:30,,WAR,wartburg college,Eric Willis,Clay Henning,Blake Mahoney,Jacob Thumann,Mike Brown,Samuel Van Fleet,David Fitzgerald,Cody Hyler,Austin Lechtenberg,1,6,Max Langheinrich,9,210000210,2b,ss,cf,rf,3b,dh,1b,c,lf,Tanner Eckhart,Overcast,Tanner Eckhart
3/26/2017,Wardlaw,Smith,Uhrich,Dinter,Kent,Outlaw,Wollnik,Swanson,DeFreitas,0,1,Elfrink,6,100000000,2b/ss,cf/p,1b,lf,dh,3b/2b,ss,c,rf,Lee,,webster university,Mulhearn,Stern faced 1 batter in the 7th.,9,,"Sauget, IL (GCS Ballpark)",1:05 pm,3:30,,WAR,wartburg college,E. Willis,C. Henning,B. Mahoney,J. Thumann,M. Brown,S. Fleet,D. Fitzgeral,C. Hyler,A. Lechtenbe,0,6,C. Tomkins,7,000100500,2b,ss,cf,rf,3b,dh,1b,c,lf,T. Gilson,Overcast,A. Bohling
5/11/2017,Kevin DeLaney,Kyle Alvarado,Jacob Burns,Andrew Brierton,Ben Jacobson,Nolan Arp,Jordan Kaplan,Blake Lishka,Jack Strellner,1,3,Thomas Schaedel,8,000001101,cf,dh,lf,rf,3b,2b,1b,c,ss,Thomas Schaedel,COE,coe college,Teddy Klingsporn,Klingsporn faced 1 batter in the 9th.,9,,"Cedar Rapids, Iowa (Bill Quinby Field)",2:01 pm,2:02,Home Plate: Josh MaraFirst: Pat McIlhonThird Base: Dave Boever,LUT,luther college,Jake Vogt,Jon Opdahl,Joe Silversmith,Bryce Hingst,Mitch Bruggers,Cody Reimer,Jake Halverson,Joey Sullivan,Trent Athmann,1,1,Joe Silversmith,6,000100000,cf/3b,2b,3b/p,1b,dh,rf,ss,lf,c,Teddy Klingsporn,"70, Cloudy, Winds N 8 mph",Thomas Schaedel
3/10/2017,Kevin DeLaney,Jacob Burns,Andrew Brierton,Jordan Kaplan,Blake Lishka,Grant Henning,Nolan Arp,Ben Jacobson,Kyle Alvarado,1,14,Andrew Schmit,17,0220604,cf,lf,rf,3b,dh,c,2b,1b,ss,Jack Greene,,coe college,Ben Finlan,Myers faced 4 batters in the 7th.,7,,"Auburndale, Fla. (Lake Myrtle - #6)",2:54 pm,2:22,,,grove city,Tyler Graham,Shane Hammel,David Laylock,Andy Fritz,Micah Burke,Matt Dayton,Nick Fryer,Austin Wacker,Cameron Smail,1,4,Nolan Myers,9,0013000,lf,rf,ss,c,3b,1b,dh,cf,2b,Ben Finlan,"84, Sunny, Winds WNW 11 mph",Lucas Robbins
