Player,teamID,IP,k.rate,bb.rate,BABIP,era,FIP,year
Tim Cundiff,LOR,50,17.9,3.6,0.311,2.16,0.33,2002
Chris Goerdt,WAR,73.1,22.4,14.2,0.291,2.58,4.34,2002
Jim Barclay,CEN,64.2,17.8,7.5,0.297,2.78,3.67,2002
Nick Boeset,COR,60,32.1,9.2,0.336,3,2.29,2002
Aaron O'Neill,UIU,54,18.1,8.4,0.291,3.17,3.24,2002
Ryan Conway,LUT,44.1,7.9,6.8,0.273,3.65,2.96,2002
Scott Brown,SIM,40.2,17.2,12.3,0.288,3.98,4.79,2002
Patrick Smith,WAR,72.2,24.1,14.2,0.332,4.21,4.22,2002
Wade Whitcher,UIU,68.1,15.2,3.2,0.338,4.21,2.17,2002
Brandon LaPage,DBQ,50.2,23.3,11.9,0.351,4.44,3.28,2002
JD Hews,SIM,54,20.8,11.1,0.302,4.5,3.23,2002
Nathan Kleve,BVU,54.1,18,8.1,0.33,4.8,2.66,2002
Jason Kuffel,LOR,45.2,17.3,10.1,0.345,4.93,4.03,2002
Jason Roggentien,UIU,43,13.8,18.8,0.27,5.02,4.63,2002
Ash Larsen,WAR,44.1,13.7,8.9,0.291,5.08,4.61,2002
Dan Christiansen,BVU,63.2,31.8,24.4,0.323,5.09,7.53,2002
Mike Donnenwerth,SIM,40.1,18,9.9,0.36,5.13,3.15,2002
Travis Kisner,COE,43.2,10.1,9.5,0.327,5.15,4.81,2002
Josh Jevne,LUT,46.1,6.7,8.3,0.309,5.24,4.25,2002
Tom Hauck,COE,44,15.4,7.1,0.327,5.32,3.45,2002
Caleb Klein,WAR,55.1,21.6,25.1,0.322,5.53,7.51,2002
Mike Wieseler,COE,52.1,7.1,4.7,0.321,5.68,2.56,2002
John Jaeger,LUT,34.2,16,3.3,0.382,6.23,2.22,2002
Nick Poch,CEN,54,13.2,7.5,0.379,6.33,3.28,2002
Matt Loptien,COR,38.2,29.3,33.3,0.33,6.75,11.35,2002
Kevin Corkery,LOR,51.1,9,7.1,0.384,7.01,3.63,2002
Eric Hoffmann,BVU,57,13.6,13.6,0.335,7.26,6.7,2002
Mitch Bockenstedt,COE,46.1,18.2,11.6,0.397,7.38,5.74,2002
Ryan Bishop,CEN,42.1,17,14.6,0.367,7.44,5.46,2002
Chris Pauley,DBQ,40.1,17.8,16.1,0.42,8.7,7.79,2002
Aaron Lund,LUT,34.1,13.1,11.7,0.442,9.44,7.12,2002
Dan Nuehring,BVU,3,20,20,0.25,0,3.37,2002
Epitacio Maciel,UIU,2,33.3,0,0,0,-1.37,2002
Nathan Eichmeyer,COR,2,14.3,28.6,0.167,0,5.74,2002
Mike McMahon,LOR,2,12.5,0,0.286,0,-0.69,2002
Paul Buchheit,BVU,1.2,20,0,0,0,-1.14,2002
Dustin Boerm,COE,1,66.7,33.3,0,0,3.69,2002
Steve Domino,WAR,1,0,25,0,0,6.43,2002
Dan Rieck,SIM,1,25,0,0.667,0,-1.37,2002
Chris Robertson,WAR,1,0,33.3,0.333,0,12.86,2002
Jay Bollman,WAR,1,0,0,0.25,0,0,2002
Austin Lapierre,BVU,0.2,0,0,0,0,0,2002
Tom Andrews,LOR,0.1,33.3,0,1,0,-13.71,2002
Ryan Jensen,UIU,0.1,0,0,1,0,0,2002
